[00000.00-00005.62] 好的,我们来接日来看一下第二个逃控目标,第二个逃控标叫做增加就业。
[00249.36-00251.80] 我是不是在北京确定就越之前
[00251.80-00253.60] 我是没有相应的工作
[00253.60-00255.00] 那我中间的空脑器
[00255.00-00256.04] 他就属于什么
[00256.04-00257.44] 他就属于我们所说的
[00257.44-00258.32] 摩擦性世界
[00258.32-00259.76] 他是不是在人口旅路
[00259.76-00261.48] 动过程当中所导致的
[00261.48-00262.96] 还有就是我们比较常见的
[00262.96-00264.48] 还以中属于摩擦性世界的
[00264.48-00266.84] 就是我们经常会看到的比如说
[00266.84-00269.08] 你因为通情时间你不想去
[00269.08-00271.56] 通情时间你比较确
[00271.56-00273.56] 比如说假设局的简单例子
[00273.56-00275.48] 我那住在北京市海边区
[00275.48-00277.40] 然后我工作的时候是在北京
[00277.40-00278.88] 然后我去找工作最开始的时候
[00278.88-00280.36] 他告诉我在北京大星
[00280.36-00281.48] 那你觉得我愿意去吗
[00281.48-00282.32] 我只能不愿意去
[00282.32-00283.80] 你知道从海边到大星
[00283.80-00285.80] 那通行时间相当长了
[00285.80-00287.40] 那我觉得我说你们这个工作
[00287.40-00288.88] 因为通行时间太长了
[00288.88-00290.40] 所以导致了我不想去
[00290.40-00291.16] 那这些呢
[00291.16-00294.80] 他其实都属于人口正常流动过程当中
[00294.80-00295.96] 也就是我们所说的
[00295.96-00297.60] 他自然而会产生的这种
[00297.60-00299.20] 不可避免的这种现象
[00299.20-00300.80] 那他就叫做我们所说的什么
[00300.80-00301.88] 摩擦性实验
[00301.88-00303.36] 所以在这我们也能够得出来
[00303.36-00304.90] 就是磨擦性事業
[00304.90-00305.92] 他能不能避免
[00305.92-00306.68] 不能避免
[00306.68-00307.84] 你不可能要求一個人
[00307.84-00308.94] 一位子不換工作
[00308.94-00310.44] 你不可能也要求一個人說
[00310.44-00311.44] 你就在這裏工作
[00311.44-00312.78] 一輩子不給我換地點
[00312.78-00313.86] 這是不現實的
[00313.86-00314.88] 所以磨擦性事業
[00314.88-00317.12] 他是一種非常正常的社會現象
[00317.12-00319.78] 本質上他是不能夠避免的
[00319.78-00321.28] 那既然是不能避免
[00321.28-00322.40] 那需不需要避免
[00322.40-00323.58] 既然不能避免
[00323.58-00326.16] 那本質上其實就不需要避免
[00326.16-00329.72] 那這個就是我們所說的第一個叫做磨擦性事業
[00329.72-00332.40] 馬上是一個考我們所說的理解性題目的時候
[00332.40-00335.44] 经常会考察到类似于这种案例
[00335.44-00336.20] 大家注意一下
[00336.20-00338.24] 这是第一个叫做摩擦实业
[00338.24-00340.04] 那除了摩擦性失业之外
[00340.04-00342.84] 第二个叫做什么叫做节购性失业
[00342.84-00343.88] 节购性失业
[00343.88-00347.20] 它产生的原因是因为经济节购的调整
[00348.48-00350.32] 是因为经济节购调整
[00350.32-00351.56] 所以经济节购调整
[00351.56-00353.56] 就是一个国家的产业生级
[00353.56-00355.68] 比如说从原本的第一产业
[00355.68-00356.84] 然后到第二产业
[00356.84-00358.36] 再从第二产业到第三产业
[00358.36-00359.48] 这个就叫做什么
[00359.48-00360.56] 经济节购调整
[00360.56-00365.64] 而在经济结构我们所说的这个调整的过程当中会导致一种情况
[00365.64-00370.68] 这国家采业升级之后它可能需要的是高多人才活进行人才
[00370.68-00375.80] 但是原来我的这种工作的就能力不足以应对它现在的工作要求
[00375.80-00378.20] 所以我所导致的这种失业就叫了什么
[00378.20-00380.28] 就叫做我们所说的结构性失业
[00380.28-00382.32] 所以所谓的结构性失业大主义
[00382.32-00386.36] 第一个它是由于经济结构调整或者采业升级所导致的
[00386.36-00387.56] 导致的结构是什么呢
[00387.56-00389.12] 我刚才已经给大家调调了
[00389.12-00392.00] 本質上是因為我的什麼工作能力
[00392.00-00393.88] 匹配不上這個港位
[00393.88-00395.64] 就工作能力不匹配
[00395.64-00398.20] 那導致我找不到工作
[00398.20-00399.36] 那在這裡面
[00399.36-00401.36] 我們所強調這種叫節目行實驗
[00401.36-00402.32] 我就簡單列雜
[00402.32-00403.68] 假設我以前是幹嘛呢
[00403.68-00405.20] 我以前在一個工廠裡面
[00405.20-00405.96] 去個人家
[00405.96-00407.44] 你有那種壓高貿
[00407.44-00407.84] 對不對
[00407.84-00409.08] 就是做那個女壓高貿
[00409.08-00410.28] 這種工人手動領
[00410.28-00412.48] 我到時候就是我們公司當中的老母
[00412.48-00413.52] 我這場地都領
[00413.52-00415.16] 你壓高貿最厲害的人
[00415.16-00416.72] 我以前都領兩萬個
[00416.72-00417.48] 但是後來呢
[00417.48-00419.28] 大家知道由于产业升级
[00419.28-00421.96] 对吧就引进了很多的这种继续设备
[00421.96-00423.36] 那引进设备之后呢
[00423.36-00425.40] 我就开始跟这个机器去披开嘛
[00425.40-00427.24] 我就看一下我俩一天谁能领了多
[00427.24-00429.24] 结果机器1.24个小时不休息
[00429.24-00432.00] 我能需要休息还需要吃开拉伐
[00432.00-00433.48] 总体领下来领部过人
[00433.48-00434.72] 人家一天你有十万个
[00434.72-00436.36] 为天只能扭两万个
[00436.36-00437.44] 那这种情况之下
[00437.44-00438.48] 他就会导致一个问题
[00438.48-00441.40] 就是机器的工作效率比我的工作效率高
[00441.40-00443.16] 对吧那这种情况之下
[00443.16-00445.68] 老板他其实更愿意用机器而不愿用我
[00445.68-00447.12] 但是老板考虑要一个问题
[00447.12-00450.16] 這是我以前是一個廠當中非常優秀的這種工人
[00450.16-00451.60] 他其實覺得慈退我呢
[00451.60-00453.04] 對我來說整體也不太好
[00453.04-00455.16] 於是他就跟我說了這樣一句話
[00455.16-00456.96] 他說小流啊 他說你看
[00456.96-00459.48] 你那這個人其實也還不錯
[00459.48-00460.96] 說你這個人呢
[00460.96-00463.28] 工作情勞勇敢聰明不要命
[00463.28-00465.00] 對吧 所以我們其實也顯示
[00465.00-00466.32] 挺想把你留下的
[00466.32-00467.12] 他說你看
[00467.12-00469.12] 現在你亞高貿不用你們領了
[00469.12-00471.80] 他說你會不會修數字基礎啊
[00471.80-00473.24] 我當然聽到他這麼疑了
[00473.24-00474.08] 我被唯一笑
[00474.08-00476.20] 要去修理數字基礎而已
[00476.20-00477.04] 我跟你說
[00477.04-00477.76] 不會
[00477.76-00478.96] 然後他就跟我說
[00478.96-00479.92] 他說那不好意思了
[00479.92-00480.44] 修理
[00480.44-00483.00] 我們現在需要的是修理數字基礎
[00483.00-00483.92] 那種工人
[00483.92-00485.48] 但是你現在就不行了
[00485.48-00487.40] 這個港衛就不能留給你了
[00487.40-00488.64] 那同樣來看一下
[00488.64-00490.20] 老闆此推我的原因是
[00490.20-00490.64] 為什麼
[00490.64-00493.20] 是因為我現在的能力
[00493.20-00494.12] 沒有把它匹培到
[00494.12-00494.92] 它港衛的要求
[00494.92-00495.24] 對吧
[00495.24-00497.48] 就是人家需要是修理數字基礎的
[00497.48-00499.12] 而不是單純的手動
[00499.12-00499.92] 你壓高貓的
[00499.92-00501.72] 那這時候我由於工作能力
[00501.72-00502.52] 匹培不到它
[00502.52-00503.28] 那這時候我
[00503.28-00505.04] 产生的失業居稿的什麼失業
[00505.04-00507.60] 這有時候我的失業居稻做結構性失業
[00507.60-00510.12] 所以他如果想說結構性失業同一頂知道
[00510.12-00511.68] 他的落矢點收落在哪
[00511.68-00514.64] 他都落矢點 一定是落在工作能力上
[00514.64-00515.76] 所以大家注意一下
[00515.76-00517.60] 這是我們所說的結構性失業
[00517.60-00519.08] 他還要考理解性提目的時候
[00519.08-00520.44] 你知道落矢點在哪
[00520.44-00521.84] 但是我們剛才有說了
[00521.84-00523.76] 他和另外一種失業特別的像
[00523.76-00526.36] 另外一種失業叫什麼叫做技術性失業
[00527.56-00529.20] 叫做技術性失業
[00529.20-00530.96] 那什麼叫做技術性失業呢
[00530.96-00534.46] 所有的技术性是也通常在旁邊寫上就是純粹的
[00535.66-00537.06] 叫做純粹的
[00537.46-00539.26] 機器替代的人力
[00542.26-00545.26] 純粹的機器替代人力
[00545.56-00548.36] 就是所有的勞動效率沒有人家搞
[00548.36-00549.76] 從而把我給詞推了
[00549.76-00550.96] 那這種據教過什麼
[00550.96-00551.96] 技术性是也
[00551.96-00553.76] 那如果剛才回答講的那家裡
[00553.76-00554.76] 他變成了說
[00554.76-00556.56] 小流說南南PK一下
[00556.56-00557.56] 那些你有多結果
[00557.56-00559.36] 你有沒有過人家這個機器
[00559.36-00562.16] 那这个时候人家你有十万万万零两万
[00562.16-00564.40] 我因为我的这种工作效率
[00564.40-00567.12] 达不到人家那种我纯粹的被奇蹟所体带了
[00567.12-00568.88] 那如果是这种我就叫做什么
[00568.88-00569.60] 技术行事业
[00569.60-00571.52] 但是刚才老板给我留脸了呀
[00571.52-00573.28] 他说你能不能修理数字的讯传
[00573.28-00574.96] 我微微一笑告他不行
[00574.96-00576.96] 那你看一个实际落在能力上
[00576.96-00578.12] 一个实际在什么
[00578.12-00580.00] 一个实际落在销率上
[00580.00-00580.88] 所以在这里面
[00580.88-00583.20] 你看一下不要把这种事业高混了
[00583.20-00585.68] 如果它是纯粹的奇蹟体带人力的话
[00585.68-00587.76] 那这种就叫做技术行事业
[00587.76-00590.98] 如果在这里面他强调的是工作能力不疲惫的话
[00590.98-00593.56] 那这里就叫做结构性试验
[00593.56-00594.84] 同于每一票注意啊
[00594.84-00596.50] 那在这同一票明确
[00596.50-00598.16] 那你说结构性试验咱们刚才说了
[00598.16-00599.18] 它是由于什么
[00599.18-00600.84] 产业升级所导致的
[00600.84-00601.28] 对吧
[00601.28-00603.48] 那如果是由于产业升级所导致的
[00603.48-00605.56] 它就会在T&N当中去给我们去提到
[00605.56-00608.12] 说由于一个不门的企业升级怎么怎么样
[00608.12-00609.36] 那他强调了这个
[00609.36-00611.32] 不门的企业升级
[00611.32-00612.96] 强调工作能力
[00612.96-00615.36] 那这种情况之下它数以结构性试验
[00615.36-00617.56] 那结构形式叶他能不能避免呢
[00618.56-00620.64] 同时想一下结构形式叶可不可以避免
[00620.96-00622.72] 就有时叶是没有办法避免的
[00622.72-00624.88] 你说老师咱咱咱咱咱咱咱咱们咱们
[00624.88-00625.96] 没有办法避免呢
[00625.96-00627.96] 我现在就不让他产生几就行了吧
[00628.16-00630.44] 因为国家如果不进行产生几个创新的话
[00630.44-00631.68] 这个国家还有活路嘛
[00631.68-00632.60] 那活不下去了呀
[00632.76-00634.12] 所以在这里大家注意一下
[00634.40-00637.92] 因为产生几他是一种不可避免的情况
[00637.92-00639.36] 所以结构形式叶
[00639.36-00640.96] 他是不可避免的
[00641.16-00643.40] 不可避免也怎么样也不需要避免
[00643.40-00644.24] 因为没有必要
[00644.24-00651.20] 国家派一定会产生产生几个话就必然会有人在这一批产生几当中面里相的失业
[00651.20-00652.68] 但说老实实业了怎么办
[00652.68-00654.48] 国家在进行条控就可以了
[00654.48-00657.04] 所以在这里面摩擦性失业和结构生实业
[00657.04-00658.16] 他都属于什么
[00658.16-00660.68] 不能避免也不可避免的
[00660.68-00662.00] 这样的一种失业
[00662.00-00664.96] 所以在这里面同时把这两个失业化在一块
[00664.96-00667.00] 他们两个都属于不能避免
[00667.00-00669.28] 也不需要避免的这种情况
[00669.28-00671.88] 我们把这两种失业称这位交给什么
[00671.88-00672.92] 称这位交给什么
[00672.92-00673.92] 自然失业
[00674.24-00678.24] 小左自然失業
[00678.24-00682.24] 不能避免也不需要避免的這種經濟
[00682.24-00684.24] 所以把他們稱之自然失業
[00684.24-00686.24] 這個點打給我們注意一下
[00686.24-00688.24] 好
[00688.24-00691.24] 那這是我們所提到的前兩個失業
[00691.24-00694.24] 提完了我們所說的這兩種失業內行之外
[00694.24-00697.24] 我們再來看一下第三個就做週期省失業
[00697.24-00698.24] 週期省失業大家注意一下
[00698.24-00701.24] 它是在經濟週期當中
[00701.24-00705.00] 也被称着为叫因需求不足而导致的实验
[00705.72-00706.84] 现在旁边
[00706.84-00708.84] 因需求不足
[00708.84-00710.28] 我把它写在后面了
[00710.28-00713.72] 因需求不足而导致的实验
[00717.32-00719.48] 叫因需求不足而导致的实验
[00719.48-00720.44] 那我们都知道
[00720.44-00721.24] 租基础实验
[00721.24-00723.64] 它一般情况下只留事在我们所说的什么
[00723.64-00725.64] 一般情况下只留事在我们所说的
[00725.64-00727.80] 经济也发展不太好
[00727.80-00730.32] 這樣的一個時期所倒說產生的失業
[00730.32-00732.56] 叫做因需求不足而導致的失業
[00732.56-00733.12] 對吧
[00733.12-00736.36] 那這裡面主要是在經濟的摔退區和消討區
[00736.36-00738.04] 經濟摔退區和消討區的話
[00738.04-00740.04] 整體的軌壓的經濟情況都怎麼樣
[00740.04-00740.64] 都不好
[00740.64-00741.96] 那在這種情況之下
[00741.96-00743.96] 你也因為經濟消挑
[00743.96-00744.72] 你被猜完了
[00744.72-00745.56] 你生了沒有錢
[00745.56-00746.32] 你沒有錢之後呢
[00746.32-00747.00] 買不起東西
[00747.00-00748.00] 買不起東西呢
[00748.00-00749.04] 經濟記憶國
[00749.04-00750.20] 我們所說的收縮
[00750.20-00751.48] 那就香港了略性循環
[00751.48-00753.60] 那這種情況下的失業就叫做什麼
[00753.60-00754.40] 出去行失業
[00754.40-00756.28] 它是在經濟中期當中
[00756.28-00757.20] 所表現出來的
[00757.20-00760.14] 比如说美国1929年到1933年的经济危机
[00760.14-00762.12] 当时在社会上其实有很多
[00762.12-00764.54] 或者说我们所说的大量的人员面臨着失业的
[00764.54-00765.24] 对吧
[00765.24-00767.14] 那当然还记得在以前的历史教会
[00767.14-00768.88] 说里面其实就这样的一副画面
[00768.88-00770.76] 就是一个父亲后面挂了个爬
[00770.76-00772.04] 所以I want to do it
[00772.04-00773.52] 就是我想要一分工作
[00773.52-00776.36] 然后下面写了B.C.I.I.I.I.I.I.I.I.I.I.I.I.
[00776.36-00778.72] 他说的是因为我有三个女儿
[00778.72-00779.04] 对吧
[00779.04-00779.84] 所以在这里
[00779.84-00781.58] 在这种经济大环境之下
[00781.58-00783.88] 他所导致的这种失业就叫个什么
[00783.88-00786.00] 就叫做音需求不足而导致的失业
[00786.00-00788.48] 我們把他稱為叫做周期性視野
[00788.48-00790.08] 這裡面大家注意一下
[00790.08-00792.56] 這個你只要看到是在經濟室對區
[00792.56-00793.44] 它所出現的
[00793.44-00795.44] 你就定位在周期性視野就可以了
[00795.44-00797.04] 但這裡面我們要去區分
[00797.04-00799.84] 我們要知道經濟周期是不能避免的
[00799.84-00802.56] 因為它是一個基本規律運行
[00802.56-00805.36] 所以經濟周期不能避免
[00807.04-00808.48] 但是大家注意一下
[00808.48-00810.16] 經濟周期不能避免
[00810.16-00812.56] 並不意味著周期性視野不能避免
[00812.56-00814.00] 經濟周期不能避免
[00814.00-00816.30] 但是周期性失業可避免
[00818.10-00820.66] 你说老师经济周期都不能避免了
[00820.66-00822.76] 为啥经济失業可避免
[00822.96-00826.54] 同时想一下美国1929年到1933年的经济危机
[00826.54-00829.10] 当年经济危机打击可以说是非常大
[00829.10-00830.12] 但是有没有说
[00830.12-00832.64] 因为它经济危机不可避免
[00832.64-00835.76] 所以我们就开始放任这种失業的情况
[00835.76-00836.66] 其实不是的
[00836.66-00838.06] 我们会发现美国政府
[00838.06-00840.62] 他搞了一个以宫代致的这样一个措施
[00840.62-00841.66] 以宫代致的措施
[00841.66-00842.94] 他其实从本身上
[00842.94-00845.14] 就解决了老百姓失業的重慶況
[00845.14-00846.40] 所以就給我們提醒了
[00846.40-00847.88] 週期省失業可以避免
[00847.88-00850.50] 因為它可以進行國家的紅官挑控
[00850.50-00853.64] 所以在這裡面它有的時候就會把這兩個概念回去了
[00853.64-00855.14] 我們在整個失業內閒到中
[00855.14-00857.86] 大家注意一下不能避免的就只有兩種慶況
[00857.86-00859.14] 一個是結構省失業
[00859.14-00860.74] 一個是摩擦省失業
[00860.74-00862.26] 而週期省失業可以避免
[00862.26-00863.58] 只不過是什麼不能避免
[00863.58-00865.90] 是經濟週期規律不能避免
[00865.90-00867.54] 每11到5年會出現一次
[00867.54-00868.62] 對吧經濟危機
[00868.62-00871.10] 就是根據經濟學家的這種測算
[00871.10-00872.78] 所以在這裡面大家一定要注意
[00872.78-00875.02] 这是我们所说的叫做周期形失业
[00875.02-00877.90] 它和经济周期有本之上的区别
[00877.90-00880.38] 它是在经济周期之下所导致的
[00880.38-00883.50] 这两个概念特别喜欢考察在判断提里面
[00883.50-00885.70] 就这两句话特别喜欢给你高混小的
[00885.70-00887.98] 大家注意一下这叫周期形失业
[00887.98-00890.70] 那还有一种失业就叫做继节形失业
[00890.70-00892.54] 继节形失业的话大家要知道
[00892.54-00893.66] 考理电影题目的话
[00893.66-00895.02] 它强调就是音
[00895.02-00897.42] 继节轮换而导致的失业
[00897.42-00898.86] 就是继节变更
[00898.86-00901.34] 所以导致了有部分人失业了
[00901.34-00904.42] 那这种就叫做周期形叫做继节学师
[00904.42-00905.50] 老师好神奇
[00905.50-00908.06] 还有人因为继节的轮幻所试验
[00908.06-00908.90] 那必然有啊
[00908.90-00911.22] 比如说我们提提到的啊
[00911.22-00913.54] 新疆踩着尘尘尘的工人
[00913.54-00915.10] 新疆踩着尘尘的工人
[00915.10-00916.42] 只在什么时候有工作
[00916.42-00917.74] 这在夏天的时候有工作
[00917.74-00919.98] 又或者我们在这家那个内部
[00919.98-00920.54] 很地区
[00920.54-00921.22] 我们干嘛呢
[00921.22-00922.02] 挖偶
[00922.02-00922.90] 挖偶
[00922.90-00923.74] 不是那个挖偶
[00923.74-00924.94] 是挖偶
[00926.54-00927.74] 联罗
[00927.74-00938.94] 那从来看一下我们所说的这个挖偶他只在什么时候有挖偶他只在夏天有而是这个挖偶的话答也都知道他不能什么
[00938.94-00953.40] 他不能积起挖他只能人工吗因为那个我越长然后他越值钱对吧所以在这种情况之下我们所说的像这样的工作他其实也在什么也在夏天那你在说虚龙江我的东北老家东三省我家吉林的对吧
[00953.40-00957.20] 比如说在东北冰标的工人在什么时候有工作
[00957.20-00958.48] 只能是在东天啊
[00958.48-00960.20] 你不能怕往春天和夏天来了
[00960.20-00961.34] 时候还台在冰标的
[00961.34-00962.80] 丢空气嘛 那只能不行
[00962.80-00964.10] 所以他有有不同工作
[00964.10-00966.10] 季节一根换他们就会导致失业
[00966.10-00968.00] 那这样的工作就叫做什么
[00968.00-00970.00] 就叫做季节性失业
[00970.00-00971.10] 就叫季节性失业
[00971.10-00972.10] 那季节性失业
[00972.10-00974.00] 是因季节变工所导致的
[00974.00-00975.80] 那季节性失业大家注意一下
[00975.80-00977.40] 季节性失业可以避免
[00977.40-00982.20] 总避免只要是这种季节性的失业的话
[00982.20-00983.68] 我们就可以做到一个点
[00983.68-00987.44] 这在季节真正开始轮换之前给他们一些什么
[00987.44-00989.44] 给他们一些其他的一些帮服
[00989.44-00991.80] 这种情况之下就可以避免这种季节事业
[00991.80-00995.08] 就像他在季节工房当中做好闲接就行了
[00995.08-00996.76] 这个就是我们所说的
[00996.76-00998.76] 他可以避免的一些剧错识
[00998.76-01001.72] 所以他和周激有失业考察的角度是一样的
[01001.72-01003.08] 就是在旁边季节的话
[01003.08-01005.24] 这是季节可以不可避免
[01005.24-01006.84] 季节工幻不能避免
[01008.12-01009.64] 但季节是失业可以
[01009.64-01013.04] 这两个也总混小出现
[01013.04-01016.64] 但是继续形式叶可避免
[01020.64-01022.64] 所以大家在这里要明确
[01022.64-01025.64] 这个就是我们所强调的
[01025.64-01027.64] 继续形式叶
[01027.64-01029.64] 这次的地方在考试的时候
[01029.64-01031.64] 一般情况就是考理解形的题目
[01031.64-01033.64] 在这里是给你一些具体的案例
[01033.64-01034.64] 让我们去变息
[01034.64-01037.16] 我们刚才所提到的这两句话
[01037.16-01039.72] 同时能够去变弃出来就可以了
[01039.72-01042.80] 这是我们所说的事业类型
[01042.80-01043.80] 这事业的类型
[01043.80-01045.96] 因为它的原因不一样
[01045.96-01049.64] 所以我们才可以提出针对性的调整措施
[01049.64-01051.72] 这是我们所说的事业
[01051.72-01052.84] 了解的事业之后
[01052.84-01053.60] 我们再来看一下
[01053.60-01054.96] 事业相关概念
[01054.96-01057.28] 这个事业的相关概念从总体上
[01057.28-01058.72] 它其实就是一个
[01058.72-01060.24] 一星期的支援考察
[01060.24-01061.64] 它往往就会出现
[01061.64-01063.12] 一些变弃的选项
[01063.12-01064.04] 或者是一些
[01064.04-01066.44] 判案體,我們來看一下首先第一個
[01066.44-01070.44] 他說失業率,衡量用失業力來衡量一個國家的救援情況
[01070.44-01074.44] 咱們剛才已經說了,因為一個國家就業人數更多,失業人數更少
[01074.44-01078.84] 所以反向測量指標,它的計算壓力會小一些
[01078.84-01082.64] 第二個目標是解決失業問題,而不是解決救援問題
[01082.64-01086.04] 對吧,主要的目標是讓失業的人救援
[01086.04-01091.84] 所以我們用失業更為直觀,所以在這裡,它就用失業力,衡量一個國家救援情況
[01091.84-01093.84] 但在这里面有一个小的考点
[01093.84-01095.04] 这个考点就在什么呢
[01095.04-01096.88] 大家知道是月利怎么计算
[01096.88-01097.72] 是月利呢
[01097.72-01099.52] 它等于失业人口
[01099.52-01100.68] 比上什么呢
[01101.32-01103.04] 比上牢动力人口
[01103.04-01105.28] 或者是叫牢动力总人口都行
[01105.28-01107.52] 在这里面把这个给它鞋旁边
[01107.52-01109.92] 是月利是等于是月人口比上牢动力人口
[01109.92-01112.56] 在这里把牢动力人口小完之后给它标注出来
[01112.56-01114.04] 因为这个里面大家注意
[01114.04-01115.60] 我们刚才所说的这个失业里
[01115.60-01116.92] 它只能衡量的是什么
[01116.92-01118.20] 有牢动能力的人
[01118.20-01119.68] 因为我们刚才认为失业
[01119.68-01122.28] 他是有劳动能力有劳动意愿
[01122.28-01123.88] 但是没有工作
[01123.88-01125.38] 所以在这种情况之下
[01125.38-01128.68] 我们认为失业他现定的人口是劳动人口
[01128.68-01130.58] 而并非所有人口
[01130.58-01132.78] 因为有的我们所说的考试
[01132.78-01134.48] 会把这个失业率概念
[01134.48-01136.18] 这个公事拿出来说
[01136.18-01139.18] 失业率他是失业人口于总人口的比众
[01139.18-01139.88] 那就错了
[01139.88-01142.88] 不是总人口而是劳动人口
[01142.88-01144.68] 因为总人口当中可能还包括小孩
[01144.68-01146.18] 还包括公民是行为能量
[01146.18-01147.68] 限制民事行为能力人
