[00000.00-00005.72] 我们讲完了形正处发也讲完了形正娟克
[00159.68-00161.24] 我们所说的行政法当中
[00161.24-00163.80] 他的具体行政行为所包含的所有的种类
[00163.80-00165.20] 全部都被下来了
[00165.20-00168.00] 但是有的时候做体的时候还是会混乡
[00168.00-00170.44] 我记得好像是它属于A里面
[00170.44-00173.24] 但是其实它属于形容虚可当中
[00173.24-00175.88] 为什么会把这些体目加一混乡呢
[00175.88-00177.48] 意思就是各个基本概念
[00177.48-00179.32] 我们可能没有实际到位
[00179.32-00181.20] 或者是在被送规累的时候
[00181.20-00183.88] 我们再去被送的时候也没有规累到位
[00183.88-00184.68] 就是被混了
[00184.68-00185.72] 这是一种情况
[00185.72-00186.68] 第二种情况
[00186.68-00188.56] 同学们再去做体的时候
[00188.56-00190.52] 把这几个具体行为搞混乡
[00190.52-00193.04] 就是因为没有分析它的本质
[00193.04-00195.60] 或他的核心目的会活心要素是什么
[00195.60-00197.84] 我们在前面给大家讲过形容处发
[00197.84-00199.40] 我们说形容处发
[00199.40-00200.72] 他的目的在什么
[00200.72-00202.16] 他在于成界性
[00202.16-00204.28] 他通过相应的方式
[00204.28-00206.24] 要么减損你的权益
[00206.24-00207.32] 要么增加你的意误
[00207.32-00209.40] 反正就是给你增加心的负担
[00209.40-00211.00] 就是给你一些不好的事情
[00211.00-00211.48] 对吧
[00211.48-00212.68] 这种情况之下
[00212.68-00214.28] 他叫做形容处发
[00214.28-00215.68] 而形容取刻是什么
[00215.68-00218.36] 形容取刻是一种受益性的形为
[00218.36-00220.36] 就是听起来就对你有好处
[00220.36-00221.56] 给你一些资格
[00221.56-00222.68] 让你去做什么事
[00222.68-00225.88] 我们常说形容虚可它是一般禁止的解除
[00225.88-00228.48] 而形容强热错试和形容强热之前
[00228.48-00229.98] 也是有特定目的在的
[00229.98-00232.88] 因为我们在形容强制的概念里面刚才就说了
[00232.88-00235.28] 它是为了实现形容目的
[00235.28-00238.98] 那这里面我们来看一下形容强热错试的目的是什么呢
[00238.98-00240.98] 你可以再出上简单标注一下
[00240.98-00246.28] 就要为制止为法行为防止证据回損
[00246.28-00251.48] 避免发生危害或者是控制危险情形扩大
[00251.48-00253.16] 等這種情況出現
[00253.16-00256.22] 說依法對公民的人身自由
[00256.22-00257.64] 實施在時性的限制
[00257.64-00260.46] 或對公民反而或其他組織的財務
[00260.46-00262.06] 實施在時性的控制
[00262.06-00262.92] 所以在這裡面
[00262.92-00264.36] 大家在旁邊標準一下
[00264.36-00266.70] 這是一個非常重要的核心的電壓
[00266.70-00268.44] 這是行政強制措施
[00268.44-00269.68] 考理一些行政題目
[00269.68-00271.64] 他的一個本質就在於什麼呢
[00271.64-00272.90] 同意在旁標準一下
[00272.90-00276.54] 他是為了預防而做出的
[00276.54-00279.00] 他是為了預防而強制
[00281.48-00284.16] 他是为了预防而强制
[00284.16-00286.40] 而这个为了预防而强制可能是什么
[00286.40-00288.20] 可能是预防威胁
[00288.20-00291.00] 你看在这里比如说为了制止维法行为
[00291.00-00292.64] 对吧你在马路上的随便
[00292.64-00294.20] 恒充指状的那这个时候
[00294.20-00295.96] 再时对你进行相应的控制
[00295.96-00297.04] 对吧人生控制
[00297.04-00300.00] 那这种情况之下就是为了制止维法行为
[00300.00-00302.48] 或者为了防止证据回損
[00302.48-00305.28] 对吧我再去相应的进行行政诉讼的
[00305.28-00306.16] 起诉过人当中
[00306.16-00307.40] 形容机关要举征
[00307.40-00310.04] 那这时候为了防止相应的证据被你会損掉
[00310.04-00312.52] 那他也可能会采取标的强制作试
[00312.52-00314.96] 或者是避免危险的扩大
[00314.96-00316.20] 那这种情况之下
[00316.20-00318.16] 我们说了他的本制都在什么呢
[00318.16-00319.16] 同样标准一下
[00319.16-00321.16] 本制制在于预防
[00321.16-00323.96] 你再填浪动说他为了阻止什么什么
[00323.96-00325.40] 为了预防什么什么
[00325.40-00327.60] 他只要是为了预防而是人强制的
[00327.60-00329.68] 他都属于形状强制措施
[00329.68-00330.56] 这是在这里
[00330.56-00331.76] 那形状强制措施
[00331.76-00333.56] 他可以针对的对象是什么呢
[00333.56-00336.24] 只是一方面他可以针对人身自由
[00336.24-00338.36] 我们常见的这种人身自由比例说
[00338.36-00340.42] 對人的身體實際上在實現的控制
[00340.42-00341.92] 廣控隔離都聽過吧
[00341.92-00343.96] 又或者我們所看到的
[00343.96-00345.72] 可以對什麼財務比如說
[00345.72-00349.48] 動節、扣壓、等等這些、查封
[00349.48-00351.68] 這些都是針對財務所實現的
[00351.68-00352.68] 在實現的控制
[00352.68-00353.84] 也就是意味著
[00353.84-00356.28] 它具有一個非常明顯的在實現
[00356.28-00359.60] 那就是意味著當這種危險情形解除之後
[00359.60-00362.64] 那這種強制措施就會解除
[00362.64-00365.44] 所以第二個點就是它具有一定的在實現
[00365.44-00366.40] 所以大家注意下
[00366.40-00368.32] 這是我們所說的行政
[00368.32-00370.30] 墙智 措施
[00370.30-00372.14] 这是我们所说的形成墙的措施
[00372.14-00373.80] 所以大家注意这里面的核心点
[00373.80-00375.80] 就在于它的目的是什么
[00375.80-00377.80] 这是第一个我们所提到的概念
[00377.80-00379.52] 那跟着这个概念我们来看一下
[00379.52-00382.14] 在我们还没有学习形正墙智措施的
[00382.14-00383.54] 具体种类的时候
[00383.54-00385.48] 我们来看一下形正墙智措施
[00385.48-00386.42] 在做提的时候
[00386.42-00387.78] 咱们能不能判断出来
[00387.78-00388.70] A选项
[00388.70-00390.52] 说他这个提说的是
[00390.52-00393.78] 说下列属于形正墙智措施的事
[00393.78-00395.62] 让我们选一个看一下在这里
[00395.62-00396.58] 他说的A选项
[00396.58-00399.66] 官案机关好像是形成机关
[00399.66-00401.66] 关机关在什么过程当中
[00401.66-00404.26] 坏下在形式诉送当中
[00404.26-00406.70] 在这里面他出了一关的词叫形式诉送
[00406.70-00409.14] 说关机关在形式诉送中
[00409.14-00411.50] 限令犯罪闲人在规定的期限内
[00411.50-00414.22] 不得离开注出或者是指定的居所
[00414.22-00415.30] 这是不禁止的
[00415.30-00416.50] 但是我们说了
[00416.50-00418.18] 这个是在形式当中
[00418.18-00420.42] 也就是他犯罪之后
[00420.42-00422.10] 而不是在他围法之后
[00422.10-00426.30] 而形正法调整的是他在围法之后的问题
[00426.30-00427.84] 對吧所以在這裡你看
[00427.84-00430.18] 說關機關在形式訴訟當中
[00430.18-00431.90] 那是形素的管價範圍
[00431.90-00434.22] 和形症法是不是同一個部分法
[00434.22-00434.74] 不是
[00434.74-00436.54] 所以既然不是同一個部分法
[00436.54-00438.64] 那他必然不可能數源
[00438.64-00440.30] 形症強制措施
[00440.30-00441.84] 大家一定要明確
[00441.84-00444.30] 明法調整的是明法的範疇
[00444.30-00446.22] 形法調整的是形法的範疇
[00446.22-00447.58] 我們現在講的是什麼
[00447.58-00448.50] 形症法
[00448.50-00450.74] 所以在這個地方形症強制措施
[00450.74-00453.18] 才是形症法這個部分法裡面的
[00453.18-00454.34] 一個規範
[00454.34-00455.90] 所以在這裡面形式措施
[00455.90-00458.54] 可咱行政法没有一个一毛钱的关系
[00459.38-00460.94] 所以A選相执政派出了
[00460.94-00462.26] B選相来看一下
[00462.26-00464.10] 说交通管理部门对
[00464.10-00466.94] 获车赛乐在高速公路上的西瓜
[00466.94-00468.38] 即使进行清理
[00468.38-00471.42] C選相说消防部门为了阻止火是慢言
[00471.42-00474.78] 而拆除了与着火处相连的防务
[00474.78-00476.10] 那B選相说
[00476.10-00477.34] 依蕾几个我为防止
[00477.34-00478.94] 精神病人并行发作
[00478.94-00482.22] 伤害他人而做出的将器强制约束
[00482.22-00483.66] 那这里面我能够看到
[00483.66-00485.34] 这里面的B選相执政不是
[00485.34-00486.62] 因为我们说了
[00486.62-00488.22] 形容强着措施是什么
[00488.22-00489.94] 是形正机关 对吧
[00489.94-00492.38] 所以在这里面它所给到的地选项
[00492.38-00494.50] 一了机构它不属于形成机关
[00494.50-00496.02] 所以在这里面不可以
[00496.02-00497.66] 那就只剩下了B核塞
[00497.66-00499.70] 所以交通管理部门位
[00499.70-00503.26] 对某货车赛落在高速公路上的西瓜
[00503.26-00505.06] 进行了即使的清理
[00505.06-00506.94] 你看这个时候它的即使清理
[00506.94-00508.38] 是不是为了防止
[00508.38-00509.78] 我们所说的这种什么
[00509.78-00512.18] 这种危险情形的卖盐或者扩大
[00512.18-00519.64] 在这里面,它为了防止危险秦秦的漫严或者是扩大,这种情况之下,它采取的扫持就叫做什么扫持
[00520.34-00525.08] 就叫做行政抢制扫持,所以在这里面发表明确
[00525.08-00528.64] 但是说老师,非常像的,所以交往复门为了阻止扫持漫严
[00528.64-00534.20] 而采取与着火处相联的防估,它属于紧急避险,它属于紧急避险
[00534.20-00538.64] 所以这里面达住形容强确实属于的应该是第二个
[00538.64-00539.64] 所以应该第二个
[00539.64-00543.12] 所以你看它是为了防止危险情形的扩大
[00543.12-00546.52] 有可能说说C-Transciation也是为了防止危险情形的扩大
[00546.52-00550.72] 但是我们说了形容强确确实它是一种暂时性的错误
[00550.72-00552.32] 你都把人防了给人8了
[00552.32-00553.84] 你这还是暂时性的错误
[00553.84-00556.16] 不是了所以C-Transciation它属于什么
[00556.16-00557.56] 它属于紧急必险
[00557.56-00558.84] 它属于紧急必险
[00558.84-00560.60] 所以照题应该选择的是
[00561.60-00563.44] 第二个选项第二个选项
[00563.44-00565.42] 这个就是行政强的措施
[00565.42-00566.42] 你要找感觉
[00566.42-00569.44] 它的核心目的是为了预防而想制
[00569.44-00570.42] 这是第一个
[00570.42-00572.72] 我们要知道行政强的措施的概念
[00572.72-00574.96] 了解了行政强的措施的概念之后
[00574.96-00575.90] 我们来看一下
[00575.90-00579.34] 长间的行政强制措施到底有哪些
[00579.34-00580.16] 实际上第一个
[00580.16-00581.04] 大概来看一看
[00581.04-00581.48] 快一下
[00581.48-00583.92] 叫线紙公民的人身自由
[00583.92-00585.56] 这个线紙公民的人身自由
[00585.56-00588.32] 同学们很容易和哪个知识点相互相
[00588.32-00591.60] 咱们再去学习行政处罚当中
[00591.60-00593.86] 是不是講過一個行政拘留啊
[00594.86-00597.00] 同想一下我們說了那個行政拘留
[00597.20-00600.72] 當個違法行為行政拘留15日最長
[00600.72-00601.02] 對吧
[00601.02-00602.66] 如果是兩個需要和病執行的話
[00602.66-00604.44] 最長不超過20日
[00604.44-00606.38] 所以在這裡面我們能夠看到
[00606.48-00609.18] 我們在行政處罰當中
[00609.18-00610.68] 講過限制人生自由
[00610.68-00613.02] 在這裡面也講了一個限制人生自由
[00613.02-00614.42] 他們兩個有什麼區別
[00614.42-00615.12] 大家注意一下
[00615.12-00618.94] 這個區別就在於核心的目的是不一樣的
[00618.94-00620.78] 大家注意一下核心的目的不同
[00620.78-00622.50] 前面的形容触发是什么
[00622.50-00623.66] 本来你是自由的
[00623.66-00626.18] 但是你非得跑到大经常去那个闹事
[00626.18-00627.74] 你非在我们所说的在
[00627.74-00629.58] 居家环境当中吵来吵去的
[00629.58-00632.54] 然后造因分费达到了一定的这个
[00632.54-00634.30] 超过一定的分费扰名了
[00634.30-00635.26] 那这种情况之下
[00635.26-00636.06] 他就可以报警
[00636.06-00636.86] 那一言中情况下
[00636.86-00638.58] 是不是就可以进行形容触流了
[00638.58-00640.50] 那你看像在这里面
[00640.50-00644.22] 我们所说的这个形容触发当中的形容触流
[00644.22-00648.02] 他本身是对你的一种承计
[00648.02-00650.42] 他是短期剥夺了你的自由
[00650.42-00654.26] 而这里面限制公民的人身自由在行政强制措施当中
[00654.26-00657.22] 它是为了波董你的自由而给你抓起来吗
[00657.22-00658.02] 不是吧
[00658.02-00660.38] 它一定是出于预防为目的
[00660.38-00662.70] 为了防止危险的擴大
[00662.70-00664.98] 可能特不得以采取的一种
[00664.98-00667.50] 再实性的限制措施
[00667.50-00668.90] 这个是我们所说
[00668.90-00671.18] 它可行政触发最本质的地方
[00671.18-00673.42] 比如说合多了
[00673.42-00674.38] 合多了之后
[00674.38-00676.34] 你在大街上红通之装
[00676.34-00678.06] 这个时候没有办法
[00678.06-00679.42] 交警就只能把怎么样
[00679.42-00682.66] 就只能把这个罪举者强制约数起来
[00682.66-00684.60] 一直到他举行再给他放走
[00684.60-00686.46] 你看他在这个过程当中
[00686.46-00688.58] 他喝多了在大网路上红松指挫
[00688.58-00691.26] 给他强制约数起来的目的是为了什么
[00691.26-00692.86] 是为了波罗他的自由吗
[00692.86-00694.46] 不是 是为了什么
[00694.46-00696.82] 是为了预防危险的发生
[00696.82-00698.82] 所以在这里的线日公美人自由
[00698.82-00700.38] 他是就一定的预防性的
[00700.38-00701.94] 或者我们经常看到
[00701.94-00703.46] 在疫情期间的什么
[00703.46-00705.22] 强制格理错失
[00705.22-00707.02] 对于一次变贯
[00707.02-00708.62] 我们在疫情之间採取的是什么
[00708.62-00709.34] 隔離嘛
[00709.34-00712.82] 那這種隔離是為了波躲這個人的人身自由嗎 不是吧
[00712.82-00714.34] 是為了防止這個人
[00714.34-00717.62] 他一但是病毒血帶者造成更大的什麼影響
[00717.62-00720.14] 所以你看這個限制人身自由
[00720.14-00723.90] 和我們前面所提到的行政處罰當中的
[00725.10-00728.06] 後我們前面提到的行政處罰當中的
[00728.06-00729.90] 我們所說的人身自由不一樣
[00729.90-00731.78] 他們的什麼不同目的不同
[00731.78-00734.30] 行政處罰當中的行政居留
[00734.30-00737.74] 是以處罰為目的的波躲自由
[00738.62-00742.02] 我现在旁边一处发为目的的波夺
[00746.22-00749.70] 一处发为目的波夺它相能自由
[00749.70-00751.18] 这个是我们所说的
[00751.18-00753.34] 现组公民这个是形容处发
[00753.34-00755.86] 和形容强确实当中不一样的地方
[00755.86-00757.42] 达出一样 只是第一个点
[00757.42-00759.50] 就是现组公民的人生自由
[00759.50-00760.94] 和我们前面的概念对应上了
[00760.94-00762.70] 就是对它的人生自由
[00762.70-00763.94] 在时性的强制
[00763.94-00765.22] 但是一定在时的
[00765.22-00767.02] 一旦情形借处
[00767.02-00769.06] 那措施就要解除
[00769.06-00770.10] 那这是第一个
[00770.10-00771.62] 就陷入公民人身自由
[00771.62-00773.10] 第二个呢叫查风
[00773.10-00775.02] 尝锁设施和财务
[00775.02-00777.54] 同时标注一下第二个是查风措施
[00777.54-00781.22] 这里面的查风主要是查风尝锁设施和财务
[00781.22-00786.02] 查风是形容机关对相对人的尝锁和物品进行风存
[00786.02-00788.86] 这个风存就是你不能转移也不能处理了
[00788.86-00790.34] 为什么不能转移不能处理
[00790.34-00792.78] 就是防止它在这里面出现什么
[00792.78-00794.38] 毁灭证据的情况
[00794.38-00796.06] 出现毁灭证据的情况
[00796.06-00801.32] 所以对于他的这些比如说生产场所办公场所等等 家里控制
[00801.32-00803.74] 所以在这里面大家注意一下 这叫做查风
[00803.74-00807.58] 比如说你现在要去查一些相应的这种毒品
[00807.58-00809.08] 对吧我们所说的这个
[00809.58-00810.40] 掃毒
[00810.40-00812.42] 那如果假设就以掃毒为例
[00812.42-00815.00] 当然掃毒它可能是社会到形犯罪了
[00815.00-00818.28] 但是如果说这个我们所说的这个
[00819.48-00822.76] KTM也好 或者说我们所说的什么这种场所也好
[00822.76-00824.74] 或者是某个生产的场所也好
[00824.74-00827.66] 你觉得他以一次好像是在生产图片
[00827.66-00828.42] 那这种情况
[00828.42-00830.02] 他这以一次你没有去了罗州局
[00830.02-00831.82] 你也不能定成新华商的犯罪
[00831.82-00834.34] 因为新华商的犯罪必须要符合相的
[00834.34-00835.26] 过程到距
[00835.26-00836.58] 你只是觉得他可能像
[00836.58-00838.34] 那这种情况之下你觉得可能像
[00838.34-00839.30] 带着人去了
[00839.30-00840.90] 你是不要对他进程查呀
[00840.90-00842.18] 那你查他就过程当中
[00842.18-00843.30] 能不能告他来不进去生产
[00843.30-00845.06] 和你们该进行买卖就进行买卖
[00845.06-00845.82] 不行吧
[00845.82-00847.14] 你要查清楚这个事件
[00847.14-00849.06] 就忘了为了防止他毁灭证判
[00849.06-00851.54] 你是不是要把这个生产场子给他查风
[00851.54-00852.94] 那这个时候就要做什么
[00852.94-00854.14] 查风场所
[00854.14-00855.90] 社會或者是財務
[00855.90-00856.94] 但大家一定要注意
[00856.94-00859.66] 這裡的查訪限制的是他的物品
[00859.66-00860.46] 經常封存
[00860.46-00862.62] 所以在這裡大家註下這查訪
[00863.66-00864.74] 造了現在就是
[00864.74-00866.86] 扣壓 扣壓什麼呢
[00866.86-00868.06] 扣壓財務
[00868.06-00869.18] 這個扣壓呢
[00869.18-00871.50] 也叫做扣流
[00871.50-00873.86] 這是為了防止它將自己的財務
[00873.86-00875.66] 轉移到其他的場所
[00875.66-00876.78] 所以在這裡面
[00877.26-00880.82] 不讓背執行人進行向的處分
[00880.82-00881.66] 所以在這裡面
[00881.66-00883.06] 我們可以對他的查訪
[00883.06-00885.36] 我們所說的財務
[00885.36-00886.90] 舉行相用的扣壓
[00886.90-00889.98] 比如說現在你去買超市的這個東西
[00889.98-00891.10] 因為超市東西之後
[00891.10-00893.56] 你發現它受賣的東西已經過去兩年了
[00893.56-00896.62] 有時候超市它在違法銷售過期的食品
[00896.62-00897.64] 那這種情況之下
[00897.64-00898.42] 你可以向閃
[00898.42-00900.22] 向石澳均均均均勻報
[00900.22-00901.50] 你向石澳均勻報
[00901.50-00903.54] 你這個時候它為了防止
[00903.54-00906.10] 它把這些過期的產品繼續對揚銷售
[00906.10-00907.70] 於是它就可以怎麼樣
[00907.70-00909.18] 它就可以對於這一期
[00909.18-00911.22] 你舉報的過期的產品
[00911.22-00915.06] 去进行什么 去进行口牙 只告诉你别再卖了
[00915.06-00918.14] 对吧 所以你看 他这里面的口牙措施是为了什么
[00918.14-00921.46] 是为了防止 他继续消售过期的商品
[00921.46-00923.26] 所以这个就叫做口牙措施物
[00923.26-00927.34] 所以你会发现口牙 他在本质上也是为了防止 对吧
[00927.34-00931.18] 那造了下就是要动节 动节的是什么 同时标注一下
[00931.18-00935.02] 下面就是动节 动节就是存款和会款
[00935.02-00938.22] 冬结是限制金融资产的流动
[00938.22-00940.38] 按照包括你的银行存款的冬结
[00940.38-00943.34] 有争的会换包括你的有家政权等等
[00943.34-00945.26] 这种情况是只叫做冬结
[00945.26-00946.70] 冬结最为场见的市场
[00946.70-00948.30] 我们经常看到在网上
[00948.30-00951.34] 总有一些我们所说的报出来的心明星
[00951.34-00953.50] 他出现一些透睡漏睡的这种情况
[00953.50-00953.98] 对吧
[00953.98-00956.06] 他一旦出现偷漏睡的情况
[00956.06-00961.42] 事务局是一定先给他一个期限让他限期去脚那箱的睡款的
[00961.42-00963.10] 但是你总会发现有一些人
[00963.10-00964.46] 就会挑战法律的底线
[00964.46-00966.14] 我让你先去去找那税款
[00966.14-00967.54] 你不仅没有找那
[00967.54-00970.10] 你在线期内还有可能明显的
[00970.10-00971.94] 把你公司现有的财产进行什么
[00971.94-00972.94] 进行转移
[00972.94-00974.14] 那这种情况之下
[00974.14-00975.38] 我让你不叫税款
[00975.38-00976.50] 你本来就没有不叫
[00976.50-00978.42] 你还把这个钱都给我转移了
[00978.42-00980.78] 那我为了防止你这个权的转移
[00980.78-00981.70] 我可以怎么办
[00981.70-00984.18] 我可以说面通知那是人
[00984.18-00986.30] 去动节他的相伤的银行存款
[00986.30-00988.22] 那在动节当中的银行存款
[00988.22-00989.50] 相当于一个保全错识
[00989.50-00990.82] 这是为了防止他什么
[00990.82-00992.26] 为了防止他不脚水
[00992.26-00994.18] 为了防止某种劲行出现
[00994.18-00998.82] 所以这个就可以叫做动节存款或者是会款
[00998.82-01001.58] 所以在这里面是我们所提到的叫做
[01002.58-01005.58] 我们所说的行政强制措施
[01005.58-01007.50] 所以在这个地方大家要面确
[01007.50-01010.30] 这是行政强制措施它的一个种类
[01010.30-01011.90] 所以在这里面行政强的措施
[01011.90-01013.90] 同样知道第一个针对人生的
[01013.90-01017.14] 我们说对人生和它的财务採取财人生的控制吗
[01017.14-01020.86] 所以在这里第一个针对人生的是限制公民的人生自由
[01020.86-01024.26] 第二个就是针对它的财务就可以查动扣
[01024.26-01026.34] 这个查动扣就是针对它的财务的
[01026.34-01027.14] 可能是尝锁
[01027.14-01029.06] 可能是有行无行财务
[01029.06-01030.50] 可能是存会款
[01030.50-01031.38] 所以在这里面
[01031.38-01032.34] 大家要注意一下
[01032.34-01033.38] 这是我们所说的
[01033.38-01035.22] 有关于行政强制
[01035.22-01037.42] 它的措施的总练
[01037.42-01038.62] 这是第二个点
[01038.62-01039.62] 第三个点
[01039.62-01040.42] 我们就来看一下
[01040.42-01041.78] 行政强制措施
[01041.78-01043.94] 它是不是对于我们所说的
[01043.94-01046.26] 这种整体上行政相对人
[01046.26-01047.86] 它的这种权益
[01048.26-01049.94] 也会产生一定的限制
[01049.94-01053.90] 所以只要是对形政相对人对公民的权力可能会产生一点限制
[01053.90-01057.50] 再去进行设定的时候我们就会有一些严格的要求
[01057.50-01061.02] 一样的我们来看一下在整个设定当中形政强的错试
[01061.02-01062.74] 它的一个设定权限在什么呢?
[01062.74-01064.86] 首先第一个就是法律法律
[01064.86-01068.70] 一样的最高层次的规范形的法文件可以设定所有
[01068.70-01070.98] 你包括形中处法当中可以设定所有
[01070.98-01072.34] 但形中处法当中
[01072.98-01075.18] 现日人身自由的只能法律来设定
[01075.18-01075.66] 对不对
[01075.66-01079.26] 所以在这个地方我们来看一下一样的形政强制错试
[01079.26-01081.66] 第一个也是法律可以设定所有的
[01081.66-01084.14] 但是限制人身自由和动杰
[01084.14-01086.42] 动杰一般相对来说是个表大
[01086.42-01087.62] 不能随意起动
[01087.62-01092.30] 所以限制人身自由和动杰是由法律来进行设定的
[01092.30-01094.38] 所以他如果想要对你才去形容强
[01094.38-01096.86] 是他给你的形容强度错试的
[01096.86-01098.86] 这个疏面疏明方中的一句
[01098.86-01100.66] 应该是一句什么什么法
[01100.66-01102.66] 而不能是一句什么什么规章
[01102.66-01103.90] 他想要把你隔底起来
[01103.90-01105.22] 他必须与法有句
[01105.22-01108.06] 这个法一定要是根据什么法
[01108.06-01109.46] 地多多少條規定
[01109.46-01112.14] 然後要給你實行強制的隔離措施
[01112.14-01113.66] 要動潔你的存款
[01113.66-01115.86] 如果沒有一句相反而是什麼
[01115.86-01117.70] 一句什麼國務院的決定
[01117.70-01120.14] 一句國務院的形容法規來動潔的存款
[01120.14-01120.74] NO
[01120.74-01121.26] 不可以
[01121.26-01122.06] 違法行為
[01122.06-01123.06] 明白了吧
[01123.46-01124.30] 所以大家注意一下
[01124.30-01125.38] 這是第一個法律
[01125.38-01126.30] 第二個就是
[01126.30-01127.46] 形容法規
[01127.46-01128.66] 形容法規在這裡
[01128.66-01129.26] 大家注意一下
[01129.26-01131.98] 是出現的人生和動潔以外的其他
[01131.98-01133.06] 查封扣壓
[01133.06-01134.10] 他都可以來
[01134.10-01135.26] 第三一個就是
[01135.26-01136.46] 地方性法規
[01136.46-01140.10] 地方用法官可以做的指示查封和扣揚
[01140.10-01141.30] 只是查封了扣揚
[01141.30-01145.10] 所以在这里面你看它法律层级越往下
[01145.10-01147.30] 它的范围就越线索
[01147.30-01151.02] 就是为了防止地方全力的扩大侵害人民的权益
[01151.02-01153.70] 所以这是我们所说的行政抢制措施
[01153.70-01155.06] 所以大家有个感觉
[01155.06-01157.54] 行政抢制措施在本身上它是干嘛
[01157.54-01159.26] 它是为了预防
[01159.26-01160.62] 它是为了预防
[01161.10-01162.94] 这是行政抢制措施
[01162.94-01166.94] 在我们来看一下 还有一个叫做形政强制职行
[01166.94-01168.94] 这个形政强制职行
[01168.94-01172.94] 它和形政强制措施 都属于形政强制的内容
[01172.94-01174.94] 那么来看一下形政强制职行说的是什么
[01174.94-01178.94] 说形政强制职行是指形政机关
[01178.94-01181.94] 或者是形政机关申请人民法院
[01181.94-01184.94] 对布旅行决定的公民法人或家组织
[01184.94-01185.94] 华华卫这一话
[01185.94-01187.94] 依法强制旅行一物的行为
[01187.94-01190.94] 所以形政强制职行的目的是为了什么
[01190.94-01193.30] 是为了让你旅行意误
[01193.30-01195.06] 所以在这个地方大家注意一下
[01195.06-01197.02] 这是行政强制职行的目的
[01197.02-01198.86] 所以在这大家要明确
[01198.86-01200.94] 它的目的是为了让你旅行意误
[01200.94-01203.86] 行政强制职行它分成两种
[01203.86-01205.98] 第一种叫做直接强制
[01205.98-01208.10] 咱们来看一下直接强制是咋说的
[01208.10-01212.70] 说行政机关直接对当时人生或财产时时强制
[01212.70-01216.94] 迫使其旅行意误或实现于一无相同状态的執行方法
[01216.94-01219.26] 一般包括比如在这里面
[01219.26-01221.56] 化播存款 化播化出來
