[00000.00-00002.88] 我們再來看一下第三個部分的內容
[00090.24-00091.64] 第二个人物就是
[00091.64-00093.06] MX为大助一下
[00093.06-00094.84] MX为化一下人物
[00094.84-00095.72] 它是怎么样呢
[00095.72-00098.94] 它是预言了电磁波的存在
[00098.94-00100.98] 编于延光是一种电磁波
[00100.98-00103.42] MX为它本身是一个热力血价
[00103.42-00104.82] 咱们前面说过
[00104.82-00105.72] 它预言
[00105.72-00107.90] 而它对的预言由使来证实的
[00108.66-00110.78] 大化一下第三个人物就是赫资
[00110.78-00111.68] 标助一下
[00111.68-00114.04] 赫资发现了电磁波
[00114.04-00117.12] 这个地方在赫资的身上其实有三个考电的
[00117.12-00119.52] 利用考电的就是赫资是发现了
[00119.52-00120.72] 而并非预言了
[00120.72-00122.32] 它会和Mexor也形成一个
[00122.32-00124.28] 鲜靈的鲜明的对比
[00124.28-00125.92] 第二一个就是在这里
[00125.92-00127.96] 赫资除了发现了电测波之外
[00127.96-00129.76] 但应该听过还有一个效仰
[00129.76-00131.16] 这做光电效仰
[00131.16-00133.24] 光电效仰是谁发现的呢
[00133.24-00134.28] 大家又明确
[00134.28-00136.84] 光电效仰其实是赫资发现的
[00136.84-00139.04] 而刚才的法拉地提到的是吗
[00139.04-00140.88] 是电磁感应现象
[00140.88-00142.72] 所以他们两个是不太要的
[00142.72-00144.36] 光念小人强调的是啥
[00144.36-00145.92] 是一束光
[00145.92-00147.44] 他如果打在一个金属上
[00147.44-00149.52] 就可以让金属当中的
[00149.52-00151.28] 我们所说的这些例子和元素
[00151.28-00152.32] 获得像能量
[00152.32-00153.68] 然后产生电话花
[00153.68-00155.28] 这个时候就是我们所说的
[00155.28-00156.76] 就做光念小人
[00156.76-00157.92] 大一调注意下
[00157.92-00160.04] 这是赫资身上的第二点
[00160.04-00161.40] 赫资身上第三个点
[00161.40-00162.28] 就是我们所说的
[00162.28-00163.32] 赫资它是一个什么
[00163.32-00164.80] 它是一个单位
[00164.80-00166.40] 有时候我们所提到的
[00166.40-00167.28] 它是一个单位
[00167.28-00167.92] 我们在后面
[00167.92-00169.80] 其实会给大家去讲到它
[00169.80-00172.04] 就是以赫资的名字来面称的
[00172.04-00173.52] 所以赫资身上三个点
[00173.52-00175.44] 就用两个点是对比好点
[00175.44-00177.08] 这个是电磁礼物
[00177.08-00177.92] 比较简单
[00177.92-00180.32] 同时只要能够对用上就可以了
[00181.32-00182.80] 第二个我们来看一下
[00182.80-00184.20] 电梯到了电磁血
[00184.20-00185.44] 就不得不说一下
[00185.44-00187.36] 生活当中常用的一些
[00187.36-00189.48] 和电有关的物理料
[00189.48-00191.24] 在这里比一个我们来看一下
[00191.24-00192.48] 就是电压
[00192.48-00194.12] 电压的基本单位叫服特
[00194.12-00194.80] 这个代植道
[00194.80-00195.72] 加用标准电压
[00195.72-00196.48] 220服
[00196.48-00197.56] 这个代压也都知道
[00197.56-00198.84] 不做重点强调了
[00198.84-00200.80] 我们在电压当中找物的低一点
[00200.80-00201.82] 就是画出来
[00201.82-00203.76] 说人体的安全电压是多少
[00203.76-00205.40] 画一下是36服
[00205.40-00207.46] 也就是36服击下的电压
[00207.46-00209.30] 对人体是没有办法造成
[00209.30-00210.80] 不会造成生害的
[00210.80-00212.00] 所以第一个标注
[00212.00-00213.08] 人体的安全电压
[00213.08-00214.24] 36服
[00214.24-00217.82] 第二个就是在我们所说的电压上经常会提到
[00217.82-00219.94] 比如说在雷雨闪念的时候
[00219.94-00221.28] 不要怎么办
[00221.28-00222.06] 雷雨闪念的时候
[00222.06-00223.80] 不要在外面大塌的跑
[00223.80-00225.90] 第二个就是我们所提到的
[00225.90-00228.28] 如果说路遇到高压变现
[00228.28-00229.44] 他突然直接断了
[00229.44-00231.48] 然后甩在人的面前
[00231.48-00232.72] 那这个时候能不能刷一卖
[00232.72-00234.16] 高亚的线来了赶紧跑吧
[00234.16-00235.08] 吓死了完了
[00235.08-00236.40] 你这时候能不能大胎部跑
[00236.40-00237.00] 都不行
[00237.00-00237.76] 原在什么呢
[00237.76-00239.16] 因为你跨步的时候
[00239.16-00240.64] 他会产生跨变一样
[00240.64-00242.36] 而如果形容跨变一样的话是不是
[00242.36-00244.88] 就对人的身体会造成极大的危害
[00244.88-00246.52] 所以在这里面就会有一个概念
[00246.52-00248.12] 就做跨步变一样
[00248.12-00249.60] 那这有跨变一样当中
[00249.60-00250.48] 比较长见
[00250.48-00251.64] 或长好的一个
[00251.64-00254.08] 除了我刚才所说的那两个现象
[00254.08-00255.24] 我们所提到的
[00255.24-00256.00] 第一个就是
[00256.00-00258.04] 雷天的时候不要大胎部的跑
[00258.04-00263.14] 第二個說如果看到了高壓線掉到了自己的生前怎麼辦
[00263.14-00266.04] 這種情況之下要單純挑整離開
[00266.04-00267.74] 你就是不能跑明白了吧
[00267.74-00270.34] 所以在這裡面一定要明確會存在跨不跌壓
[00270.34-00275.34] 跨不跌壓當中的第三個考點就是小鳥為什麼站在高壓電上面是呢
[00275.34-00280.04] 就是因為鳥小鳥的它兩角之間的小腳太多大
[00280.04-00282.54] 對吧這它們之間的距離特別的小
[00282.54-00284.14] 所以產生的跨不跌壓微弱
[00284.14-00286.34] 幾乎沒有辦法對它產生影響
[00286.34-00289.08] 所以这个地方就会考察一个跨不电压的问题
[00291.58-00294.08] 所以同时对于这个跨不电压的应用
[00294.08-00295.24] 一定要掌握住
[00295.24-00298.84] 这是第一个我们提到的物理量叫做电压
[00298.84-00299.92] 这个电压
[00299.92-00301.52] 那有电压就一定会有什么
[00301.52-00302.72] 就一定会产生电流的
[00302.72-00304.80] 所以在这里它提到了电流的概念
[00304.80-00306.68] 同时只需要简单的去实际一下
[00306.68-00309.32] 电流的单位是安排就行了
[00309.32-00311.68] 答应该想到了什么左右时候发责对的
[00311.68-00312.96] 所以这是电流
[00312.96-00314.12] 除了有电流之外
[00314.12-00316.04] 还有一个概念就要做电阻
[00316.04-00317.84] 电组的单位叫做欧谋
[00317.84-00320.08] 这个在后面我们还会在重复一次
[00320.08-00321.68] 所以不建议同学们在这儿
[00321.68-00322.72] 可以在后面极
[00322.72-00325.76] 因为后面是整理的比较完整的
[00325.76-00327.56] 这样的一个国际单位的那种
[00327.56-00329.00] 最后一个拿着电工率
[00329.00-00331.48] 电工率的单位叫做瓦特
[00331.48-00332.76] 工率的单位是瓦特
[00332.76-00334.68] 瓦特是一谁的名字命名的
[00334.68-00335.60] 大家注意一下
[00335.60-00337.88] 这是我们前面提到的瓦特改良
[00337.88-00338.68] 整契机
[00338.68-00340.72] 所以它极大的提高了
[00340.72-00342.16] 人类似会的生产效率
[00342.16-00344.56] 所以工率就用瓦特来命名
[00344.56-00346.96] 所以他也是以人民来命名的
[00346.96-00352.12] 所以刚才我们所提到的电流电组和电工率或者是工率
[00352.12-00353.84] 他都是用人民来命名的
[00353.84-00356.04] 后面我们会大家去强调这个
[00357.04-00359.20] 这是我们所说的电子血
[00359.20-00360.44] 所以在电子血当中
[00360.44-00362.08] 其实我们的重点就是两个
[00362.08-00363.76] 第一个坚持理论人物
[00364.40-00366.20] 和成就的对应
[00366.20-00367.48] 打住一下法拉地
[00367.48-00370.36] 电子改现象叫做磁生电
[00372.32-00373.72] 叫做磁生电
[00373.72-00376.02] 第二个卖4位是预言了电子波
[00376.02-00378.62] 第三个就是赫资发现了电子波
[00378.62-00381.32] 并且发现了光电效应
[00381.32-00384.60] 当光打在金属上的时候会产生电火化
[00384.60-00386.62] 是光电效应不是此电
[00386.62-00389.60] 此和电视法拉地和我们所说的
[00389.60-00391.64] 在第一次科技革命当中讲报的
[00391.64-00393.72] 一个是电视词一个是此生电的人
[00393.72-00394.92] 而这个是光电
[00394.92-00395.92] 不要把它整混了
[00395.92-00396.92] 还有一个就是赫资
[00396.92-00400.52] 它是当内是一个红量物理量的一个单位
[00400.52-00403.32] 第二个就是在电压这一块它叫主意下
[00403.32-00405.32] 人体的安全电压以及小钓
[00405.32-00407.00] 它的跨电压的问题
[00407.00-00409.32] 这是我们所说的电磁血
[00409.32-00410.72] 说完电磁血之后
[00410.72-00412.72] 咱们来看一下第四节的内容
[00412.72-00413.68] 不算第四节
[00413.68-00415.12] 第四个部分的内容
[00415.12-00416.52] 就是热力血
[00416.52-00417.84] 这提到热力血
[00417.84-00419.52] 我们在生活当中也并不墨生
[00419.52-00421.08] 我们经常会看到什么
[00421.08-00422.32] 你烧一胡水
[00422.32-00424.48] 然后那胡水就会呼呼的就开了
[00424.48-00426.12] 你就会看到很多的小气泡
[00426.12-00427.72] 这有时候这回设议到我们所说的
[00427.72-00429.12] 舞台的变化
[00429.12-00431.12] 它其实都是热力血的内容
[00431.12-00433.60] 我们来看一下热力写当中的第一个考验
[00433.60-00436.12] 就是要在这里面给同学们去进行一个书里的
[00436.12-00437.60] 叫做骨太变化
[00437.60-00439.24] 我们都知道任何一个东西
[00439.24-00440.72] 它其实都有三太
[00440.72-00443.08] 这三太是哪种形态呢
[00443.08-00444.24] 就是顾太
[00444.88-00446.60] 还有我们所说的 夜态
[00446.60-00448.28] 以及我们所说的 系态
[00448.28-00450.60] 这是任何事物 它其实都有三太
[00450.60-00452.48] 而且三太之间是可以
[00452.48-00453.88] 相互转化的
[00453.88-00455.84] 而他们之间的这种转化
[00455.84-00457.20] 就是我们所说的
[00457.20-00458.72] 骨太变化
[00458.72-00460.52] 而这骨太变化考什么呢
[00460.52-00463.72] 大助一下 第一个 物太别话 烤基本概念
[00465.00-00466.08] 烤基本概念
[00466.24-00468.44] 这些基本概念就是在于比如说
[00468.44-00470.52] 固体和业体之间的这种转化
[00470.52-00472.88] 叫什么名字 要烤材种基本概念
[00473.04-00474.68] 第二个 在基本概念基础之上
[00474.68-00476.24] 烤材什么呢 烤材
[00476.24-00480.52] 我们所说的 按立或者说它的应用
[00480.72-00481.96] 烤材它的应用
[00482.08-00483.72] 这是第二种烤材方式
[00483.72-00486.16] 有些烤材一些生活当中的一些现象了
[00486.16-00491.16] 第三个就是在我们所说的这个
[00491.16-00495.16] 巫太电话当中会考察他的一个吸热放热情况
[00495.16-00500.16] 吸热放热情况
[00500.16-00505.16] 这个就是我们所说的巫太电话的三个考察的角度
[00505.16-00508.16] 那么现在一个来看 从现在看一下他们的基本概念
[00508.16-00512.16] 我刚才说了任何事物 他其实都能够实现三台的电话
[00512.16-00514.16] 两两之间可以实现转化
[00514.16-00516.16] 对吧 那么就一点点来转化吧
[00516.16-00518.16] 实现第一个我们来看一下
[00518.16-00522.16] 固体和业体之间或者固态和业态之间是可以实现转化的
[00522.16-00524.16] 首先第一个就是我们所说的
[00524.16-00526.16] 从固态转化成业态
[00526.16-00528.16] 比如说最常见的就是从血
[00528.16-00530.16] 从冰变成了水
[00530.16-00532.16] 那是不是固业之间的转化
[00532.16-00534.16] 我们把这种称着微笑子什么呢
[00534.16-00536.16] 称着微叫做荣化
[00537.16-00539.16] 称着微叫做荣化
[00539.16-00541.16] 所以荣化大家注意一下不是这个荣啊
[00541.16-00542.56] 是血融融的融
[00542.56-00544.00] 是这个火子旁的融
[00544.00-00545.52] 所以大家不要搞错了
[00545.52-00546.96] 为把这种叫做融化
[00546.96-00548.92] 这个血融融融融只是用于
[00548.92-00550.68] 冰核水之间的变化
[00550.68-00552.80] 我们说了这种故态和叶态的变化
[00552.80-00554.40] 我们叫做融化
[00554.40-00556.40] 融化最长烤的就比如说
[00556.40-00558.52] 我们会结合相当的试歌
[00558.52-00560.36] 那说到这儿有在補充一个点
[00560.36-00561.72] 这是它再去烤材这种
[00561.72-00563.12] 暗粒应用和现象的时候
[00563.12-00564.12] 很多元
[00564.12-00565.80] 它让我们就是烤材一种
[00565.80-00566.80] 虽然现象
[00566.80-00572.24] 用10个来进行描述
[00572.24-00574.36] 这一段考试歌也很长见
[00574.36-00577.12] 这把这个10个给到你问你它数约哪一种
[00577.12-00577.92] 所以大家注意一下
[00577.92-00581.44] 我们在整个融化这块比较长考或长见的
[00581.44-00583.44] 就是我们经常提到的一句话
[00583.44-00585.24] 就做冰雪销融
[00590.68-00592.08] 这个冰雪销融
[00592.08-00593.92] 然后它就会问说冰雪销融
[00593.92-00596.00] 它体现的是屋台变化当中的哪一个
[00596.00-00601.12] 那就知道兵血消荣,那他就属于从故台到叶台属于融化
[00601.12-00601.88] 这是第一个
[00601.88-00604.44] 那如果从叶台到故台叫什么呢
[00604.44-00608.16] 叶台叫故台叫做凝固
[00608.16-00610.48] 但是凝固凝固凝固凝固没太考察过
[00610.48-00612.00] 比如说水变成凝固
[00612.00-00613.36] 就是点形的凝固
[00613.36-00616.76] 所以大家注意一下,叶台和汽台之间的变化
[00616.76-00618.00] 这是滴层
[00618.00-00619.24] 那第二层的就是
[00619.24-00621.32] 故台和汽台也可以变化
[00621.32-00624.28] 比如说在这里从故台到汽台,我们叫做什么
[00624.28-00626.04] 我们叫做生滑
[00626.04-00627.24] 现在经常会听到说
[00627.24-00629.04] 又整个人生都生滑了
[00629.04-00630.12] 那这个生滑
[00630.12-00632.52] 其实说的是从固态到气态
[00632.52-00634.76] 那从固态到气态的这种生滑
[00634.76-00637.56] 他常见的现象或者是案例是啥呢
[00637.56-00638.56] 大家注意一下
[00638.56-00640.12] 比如说在草菜的时候
[00640.12-00643.16] 我们经常会看到草菜的时候你家眼
[00643.16-00644.72] 但你家到那个眼之后呢
[00644.72-00646.36] 那个眼他本身就是什么
[00646.36-00648.72] 他那个眼就是从眼里儿
[00648.72-00650.20] 一下变成了我们所说的
[00650.20-00651.28] 吸出了点的蒸气
[00651.28-00652.12] 然后就没了
[00652.12-00653.78] 所以草菜时加研
[00653.78-00656.24] 它其实是体现的是从研裂
[00656.24-00658.66] 然后到点蒸气的这样的一个过程
[00658.66-00661.56] 那它属于说我们所说的这种生滚
[00661.56-00663.48] 除了草菜价严之外还有什么
[00663.48-00666.00] 还有加用以前用的这种张道瓦
[00666.00-00668.54] 现在其实有很多或者是张道球
[00668.54-00670.10] 这个张道瓦和张道球
[00670.10-00672.08] 你给它放到一味张中
[00672.08-00673.44] 你会发现时间长之后
[00673.44-00674.52] 这个东西变小了
[00674.52-00676.12] 在过一段时间之后它就咋的
[00676.12-00676.96] 就不见了
[00676.96-00678.16] 它被啥补见了呢
[00678.16-00679.24] 平空消失了
[00679.24-00680.92] 那本身就是一个什么过程
[00680.92-00683.66] 那这个张道瓦它就是一个生滑的过程
[00683.66-00685.66] 在原本的固态的张道瓦
[00685.66-00686.72] 最后没了
[00686.72-00687.08] 对吧
[00687.08-00690.44] 这个时候就是从固态到汽台之主缘生滑
[00690.44-00692.52] 除了这个之外还有一个非常典型的
[00692.52-00695.00] 就是以前的灯泡
[00695.00-00696.04] 现在其实很少了
[00696.04-00698.84] 以前灯泡里面斗这种灯丝或者是屋丝
[00698.84-00701.52] 像这种灯泡它用的时间长的话
[00701.52-00704.08] 因为发现灯泡的灯泡必少
[00704.08-00706.12] 它会有一层黑黑的东西
[00706.12-00708.56] 那这个过程当中就是灯泡
[00708.56-00711.12] 用久了
[00712.40-00713.42] 会变黑
[00713.68-00715.80] 当方用久了会变黑
[00715.80-00717.78] 体现的入屋太变化是什么
[00718.02-00720.60] 当方用久了变黑其实两个不着
[00720.60-00724.68] 第六步骤就是原本是这种灯私数物死物死物体
[00724.68-00726.30] 你想家里通电的时候
[00726.30-00727.60] 你一开开关
[00727.60-00728.52] 是不是就有电
[00728.52-00729.92] 但为什么会发光呢
[00729.92-00731.72] 因为这个电转发承热
[00731.72-00733.28] 一旦有热了之后
[00733.28-00734.76] 这时候就会发光
[00734.76-00735.16] 对吧
[00735.16-00737.36] 所以它这个灯炮发光是从
[00737.36-00739.68] 電能轉化成光冷
[00739.68-00742.48] 那中間一定是產生了熱才能發出光
[00742.48-00746.64] 所以當通電之後溫度上升原本這個屋司
[00746.64-00748.84] 它就會變成屋的爭氣
[00748.84-00753.68] 所以在這裡就是先通電從原本的屋司變成屋的爭氣
[00755.36-00759.44] 從屋司通電之後變成屋司的爭氣
[00759.44-00761.72] 我就簡單顯了變成屋司的爭氣
[00761.72-00763.84] 那這個過程當中其實就是什麼
[00763.84-00765.84] 從屋司到爭氣是一個
[00765.84-00767.48] 我们所说的生滑的过程
[00767.48-00769.24] 但是为什么灯壁会变黑呢
[00769.24-00770.84] 就是因为你断电之后
[00772.32-00773.48] 断电后
[00773.48-00774.44] 断电后呢
[00774.44-00775.92] 这个温度是不是降下来了
[00775.92-00778.08] 那原本的这个蒸气
[00778.84-00780.68] 他就冷缺了
[00780.68-00782.32] 蒸气冷缺了之后
[00782.32-00784.56] 他就会复着再灯泡上
[00786.56-00788.12] 复在灯泡上
[00788.12-00789.64] 那这时候就变啥了
[00789.92-00791.88] 这个时候就变黑了
[00791.88-00793.04] 这时候就变黑了
[00793.04-00797.04] 所以这是我们所说的在生华等公比较长考的现象
[00797.04-00800.72] 除了这个之外我们说是固态到汽态这座生华
[00800.72-00802.96] 如果反过来看的话
[00802.96-00805.20] 从汽态到固态这床是吧
[00805.20-00806.64] 就叫做宁华
[00806.64-00809.00] 他跳过了中间的叶态的状态
[00809.00-00810.56] 直接就变成了固态
[00810.56-00811.84] 就叫做宁华
[00811.84-00813.84] 宁华比较长考的事啥呢
[00814.88-00816.32] 我把它好像真显了
[00816.32-00819.40] 宁华比较长考的就是大自然借当中的一些
[00819.40-00823.48] 再讓現象比如說我們常見的雙血
[00823.48-00826.04] 這些其實都是您華的體現
[00827.24-00828.76] 再讓這當中的雙
[00829.96-00831.72] 還有我們所說的血
[00833.16-00835.16] 這些都是我們華的表現
[00835.16-00837.96] 這是我們所說的固態和氣態
[00838.12-00839.72] 這兩台結束之後
[00839.72-00841.40] 還有葉態和氣態之間的變化
[00841.40-00843.80] 我們來看一下從葉體變成氣體
[00843.80-00845.24] 比如說水分徵發
[00845.24-00846.72] 这个过程就要有什么
[00846.72-00848.06] 这个过程就要做
[00848.06-00849.34] 器画的过程
[00849.34-00850.36] 这个器画
[00850.36-00851.90] 所以这个器画不要常见的
[00851.90-00853.44] 就是我们所说的蒸发
[00856.24-00858.30] 我们就要常见的就做蒸发
[00858.30-00859.88] 又或者我们所说的
[00859.88-00861.88] 加入战不能使用手机
[00864.18-00865.20] 我简单写了
[00865.20-00867.00] 就是加入战不能使用手机
[00867.00-00867.52] 为什么
[00867.52-00869.56] 因为加入战当的器有
[00869.56-00870.84] 特别容易灰发
[00870.84-00872.24] 如果在正经化之下
[00872.24-00874.24] 你去加入战当中有个名伙
[00874.24-00875.26] 用了手机的话
[00875.26-00877.82] 这个灰发的这个气油的蒸气
[00878.08-00880.00] 它这个时候就非常的危险
[00880.00-00881.16] 说很容易爆炸呀
[00881.16-00883.46] 所以在这里加上这不能打电话的原因
[00883.46-00884.22] 就在这
[00884.22-00886.28] 所以这是我们所说的就做气话
[00886.52-00890.10] 那如果反过来从气体到液体的话
[00890.10-00891.90] 这个就叫做液话
[00892.16-00894.20] 液话的现象可是太多了
[00894.20-00895.74] 比如说我们所说的
[00895.74-00896.78] 东天的时候
[00897.02-00898.30] 你对外说话的时候
[00898.30-00901.12] 你东天会怎么样会有白气存在
[00901.12-00901.64] 对吧
[00901.88-00903.18] 又或者我们所说的
[00903.18-00905.98] 从冰箱当中拿出来的
[00906.78-00907.50] 西瓜
[00909.26-00911.54] 西瓜有水猪对吧
[00911.54-00914.14] 又或者我们提到的下雨前
[00916.50-00917.34] 下雨前
[00917.66-00919.30] 自来水果冒漢
[00923.42-00925.46] 那这些呢其实都是一个什么过程
[00925.46-00927.02] 都是一个西瓜的过程
[00927.02-00928.02] 那在这里面
[00928.02-00930.50] 大家应该能理解什么西瓜上有水猪
[00930.50-00931.30] 这些标常见
[00931.30-00933.42] 因为啥下雨前自来水果会冒漢了
[00933.66-00934.38] 原因很简单
[00934.38-00935.42] 大家想想
[00935.42-00937.06] 如果是下雨之前的话
[00937.06-00938.74] 空气中的什么比较充足
[00938.74-00939.94] 水系装成组
[00940.06-00941.02] 而我们所说的
[00941.02-00942.50] 来自于自来水
[00942.50-00944.22] 它其实来自于地下
[00944.22-00945.42] 那如果是地下的水
[00945.42-00947.46] 一定会比地上温度要比
[00947.46-00948.98] 所以自来水果当中
[00948.98-00951.02] 流精温度很低的水的时候
[00951.02-00952.30] 周围的水的空气
[00952.30-00954.26] 遇到冰冷的自来水果
[00954.26-00956.14] 是不是就会从气体
[00956.14-00957.98] 叶化成小水滴
[00957.98-00960.22] 这种负责在自来水果上
[00960.22-00962.46] 这种情况之下就是我们所说的什么
[00962.46-00963.22] 一也化
[00963.22-00964.58] 就是我们所说的一化
[00964.58-00966.26] 那在考试当中的大致一下
[00966.26-00968.06] 第一罗小达长路的就是
[00968.06-00970.34] 生活当中它的案例
[00970.34-00972.14] 有哪些女华的案例
[00972.14-00974.18] 有哪些气化的案例
[00974.18-00975.86] 以及一也化的案例
[00975.86-00976.50] 当然了
[00976.50-00977.42] 这个融化呢
[00977.42-00978.94] 冰雪销若也考察过
[00978.94-00979.82] 但是
[00979.82-00982.10] 固态和叶态之间的转化
[00982.10-00983.42] 考得非常非常少
[00983.42-00986.42] 大部分都是集中在固体和固态和汽态
[00986.42-00987.54] 以及叶态和汽态
[00987.54-00988.62] 也就是我们所说的
[00988.62-00989.98] 这两个方向上
[00990.22-00996.94] 大家要注意一下,要掌握住它的暗粒和它对应的名称,这不是基本概念吗?
[00996.94-01004.10] 所以基本概念当中我说了,第一个要知道从什么态造什么态,它是一个,它造什么名字,这个点是必须要掌握的。
[01004.10-01012.94] 因为它和我们所说的这个现象是仅仅仅和在块的,只是第一点,第二点就是考察这些现象,这些现象我刚才说了,要能够对应上,
[01012.94-01014.22] 还剩第三个问题
[01014.22-01015.76] 就是在这些变化过程
[01015.76-01017.80] 它是不是会摄到西热和放热
[01017.80-01019.08] 这西热和放热
[01019.08-01020.62] 我不建议同学们一个一个区别
[01020.62-01022.66] 所以我才刚才在讲的时候
[01022.66-01024.72] 没有把他全部拿出来说一说
[01024.72-01027.28] 大家注意一下这个西热和放热咱们怎么去计呢
[01027.28-01028.80] 你就找出一个点
[01028.80-01029.84] 大家都知道
[01029.84-01031.88] 越是轻的这种状态
[01031.88-01034.44] 我们就认为它的唯一态是更高的
[01034.44-01036.24] 当然这个唯一态和唯一度没有什么关系
[01036.24-01037.26] 我们就这么去计
[01037.26-01038.28] 就是越轻
[01038.28-01040.58] 就意味着它的唯一态就会越高
[01040.58-01043.26] 就是因为他越轻,因为他更灵火嘛
[01043.26-01045.26] 对吧,所以在这里他的围台越高
[01045.26-01048.06] 所以在固台汽台和叶台当中谁是最高的
[01048.06-01049.62] 一定是汽台是最高的
[01049.62-01052.86] 然后是叶台在然后是我们所说的什么
[01052.86-01053.58] 固台
[01053.58-01055.30] 那他们这件转化的时候
[01055.30-01055.94] 怎么样呢
[01055.94-01058.34] 如果从固台到叶台到汽台
[01058.34-01060.54] 那这时候我们说了汽台围度最高
[01060.54-01061.78] 固台围度最低
[01061.78-01063.94] 那汽台围度最高固台围度最低
[01063.94-01066.30] 从固台到叶台在到汽台
[01066.30-01067.50] 他就是一个什么过程
[01067.50-01069.18] 他就是一个生围的过程
[01069.18-01070.58] 你就可以简单理解成
[01070.58-01072.00] 它是一个声味的过程
[01072.00-01073.80] 那同样告诉我声味
[01073.80-01074.94] 你要往上走
[01074.94-01077.26] 你是要吸收能量还是释放能量
[01077.26-01080.46] 你声味的话你一定是吸收能量的
[01080.46-01081.98] 你不然你怎么声的上去呢
[01081.98-01083.50] 你升低打关也是个还要
[01083.50-01084.74] 就是多打几个怪物
[01084.74-01086.34] 那这个就是一个激累的过程
[01086.34-01088.90] 所以你声味是一定要吸收能量的
[01088.90-01090.74] 那这个时候就叫做吸热
[01090.74-01092.42] 所以你看一下这里面
[01092.42-01095.54] 我们所说的从固态到汽态当中的
[01096.26-01098.62] 从固态到汽态
[01098.62-01099.94] 从固态到现代学
[01099.94-01102.26] 从固态到业态当中的
[01102.26-01103.66] 我们所说的融化
[01103.66-01104.74] 是不要吸热
[01104.74-01107.38] 从业态到气态当中的
[01107.38-01109.46] 我们所说的气化是不要吸热
[01109.46-01111.46] 从我们所说的固态
[01111.46-01115.14] 到气态当中的生活是不要吸热
[01115.14-01117.42] 所以在这里你就记得越往上走
[01117.42-01118.34] 为态越高
[01118.34-01119.98] 这时候就要越吸收能量
[01119.98-01121.70] 但是越往下走为态
[01121.70-01122.34] 越低
[01122.34-01123.86] 这时候就属于降为了
[01123.86-01124.86] 你要降到下面
[01124.86-01126.46] 你是吸收能量
[01126.46-01127.38] 还是是放能量
[01127.38-01130.10] 就说要释放能量,那这个时候就要怎么办
[01130.10-01131.62] 就要放热
[01131.62-01134.02] 所以我不建议同你们说你每个区贝
[01134.02-01136.90] 你这个贝的话你就有的时候被创了
[01136.90-01137.90] 如果死刑被
[01137.90-01140.18] 那这个时候你就换一个角度去看
[01140.18-01141.86] 就换成这个角度就OK了
[01141.86-01142.34] 好吧
[01142.34-01143.70] 所以在这里面大家要注意一下
[01143.70-01144.74] 这是为他的变化
[01144.74-01146.34] 这个图非常重要
[01146.34-01147.94] 同时标注良心
[01147.94-01150.58] 那这是我们所说的这个舞台变化
[01150.58-01152.98] 我把后面的考点都变成了这个图
[01152.98-01154.42] 所以咱们来看一下
[01154.42-01155.62] 第一个是骨气
[01155.62-01157.92] 估計之间的转化你看叫做
[01158.70-01160.74] 第一个宁法从气态到顾台
[01160.74-01163.04] 从气态到顾台生为一样的一同一般
[01163.04-01164.78] 月王下为独于为太月低
[01164.78-01166.64] 所以是要降为降为怎么办
