[00000.00-00004.34] 那講完了才能爭测以後我們再來一起看一下貨幣政策
[00536.30-00539.38] 必须要留有一部分存款準備進
[00539.38-00540.98] 那這個存款準備進
[00540.98-00542.70] 一共分成兩個部分
[00542.70-00545.26] 一個叫做法定存款準備進
[00546.54-00549.86] 一個叫做法定存款準備進
[00552.82-00555.74] 還有一個叫做超噁存款準備進
[00559.66-00561.14] 超噁存款準備進
[00561.14-00563.18] 他們兩個之間的關係就有點上什麼呢
[00563.18-00565.22] 就我們以前不是經常會聽說
[00565.22-00567.22] 听爱说什么腰好啊
[00567.22-00569.06] 我们管腰好成为腰吗
[00569.06-00569.38] 对吧
[00569.38-00572.26] 他就有一点像妈妈喝儿子和孩子这种感觉
[00572.26-00573.54] 比如说我一个月赚多少小
[00573.54-00574.82] 妈说你必须一个月
[00574.82-00576.18] 给我往家里交多少钱
[00576.18-00578.26] 然后我一个月给他比如说一千块钱
[00578.26-00579.46] 我妈把这一千块就怎么样
[00579.46-00580.42] 帮我存起来
[00580.42-00583.14] 以背以后我要用钱的布什之区
[00583.14-00583.86] 那装也好
[00583.86-00585.70] 其实就充当了这样一个角色
[00585.70-00587.06] 装也行个商业好说
[00587.06-00589.38] 你必须在你的存款当中
[00589.38-00592.02] 每一次都给我交一些存款准的一阶
[00592.02-00593.56] 以应对不实之需
[00593.56-00595.30] 那他的这个钱最叫做什么
[00595.30-00596.36] 他的这个钱最叫做
[00596.36-00597.40] 存款准备进
[00597.40-00599.20] 那什么叫法定存款准备进呢
[00599.20-00601.18] 法定存款准备进就是
[00601.18-00602.36] 中央银行规定了
[00602.36-00605.70] 商业银行必须九纳的这个份子
[00605.70-00607.90] 就是我不管你平时什么样
[00607.90-00609.48] 对吧 但只要你
[00609.48-00611.40] 银行账互当中有这些存款
[00611.40-00613.28] 你就必须挖一份出来
[00613.28-00614.22] 我帮你保管
[00614.22-00617.36] 那他必须挖的这部分就是法定存款准备进
[00617.36-00618.90] 那说老是什么是超额呢
[00618.90-00620.18] 那是因为有的银行
[00620.18-00621.96] 他的这个影令能力不同
[00621.96-00623.96] 有的言行的業務項目也都不同
[00623.96-00626.80] 那我規定的反應存款准备間對於裝安來
[00626.80-00628.40] 裝安也好來說是一個底線
[00628.40-00629.40] 就好譬如媽說
[00629.40-00631.28] 你個月給我一千塊錢我幫你存著
[00631.28-00634.00] 那我這一千塊錢就相當於法定存款准备間
[00634.00-00635.04] 那我說媽了那不行
[00635.04-00636.36] 你這麼對我好對吧
[00636.36-00636.96] 你這麼愛我
[00636.96-00638.88] 那我一個月要給你一千二
[00638.88-00640.32] 那我多存成的那兩百
[00640.32-00641.16] 他就屬於什麼
[00641.16-00643.48] 他是屬於超俄存款准备緊
[00643.48-00644.44] 所以在這裡面
[00644.44-00646.00] 我們就知道法定法定
[00646.00-00648.44] 就是必須要狡辣的那一部分
[00648.44-00650.36] 但是我們國家的各大商業行
[00650.36-00652.52] 他的情况其实有所差异的 对吧
[00652.52-00654.20] 你看我们所说的那几大好
[00654.20-00657.68] 功能中间就功行 职行 建设银行
[00657.68-00659.84] 然后什么中国银行
[00659.84-00661.48] 然后还有我们所说的交通银行
[00661.48-00663.12] 就由这出现他们的能力
[00663.12-00665.00] 可能相对来说会强一点
[00665.00-00666.64] 那他们的银力能力强
[00666.64-00668.24] 然后体系有很大
[00668.24-00669.48] 那他脚那的存款准备
[00669.48-00671.20] 可能相对来说就要多一点
[00671.20-00674.40] 那你现在像很多我们所说的地方性银行
[00674.40-00676.12] 比如说合备银行
[00676.12-00677.72] 你比如说江苏银行
[00677.72-00679.88] 还有什么这江苏仇什么什么银行
[00679.88-00680.38] 对吧
[00680.38-00682.02] 那你看像这种地方性的银行
[00682.02-00683.16] 它的银利能力
[00683.16-00684.26] 或者它的责任能力
[00684.26-00685.60] 可能没有那极大行
[00685.60-00686.28] 那么强
[00686.28-00687.82] 那就要存款准备进的时候
[00687.82-00689.10] 装银行能不能一到钱
[00689.10-00691.84] 说来法都给我叫1121亿会几百个亿
[00691.84-00693.10] 能不能这么一到钱
[00693.10-00693.58] 不行
[00693.58-00696.04] 它考虑到每个银行它的实际情况
[00696.04-00697.80] 你不能规定具体的数了
[00697.80-00698.44] 所以
[00698.44-00699.74] 那这种情况怎么办呢
[00699.74-00700.64] 那这种情况之下
[00700.64-00701.88] 我既然不能规定数了
[00701.88-00703.18] 我就规定一个什么
[00703.18-00703.82] 比率
[00703.82-00706.32] 于是就了叫做法定存款
[00706.32-00708.10] 准备精率这个东西
[00708.10-00710.10] 法定存款准备精率就说了
[00710.10-00713.28] 就是中央银行规定的商业银行
[00713.28-00717.32] 对它所持有的存款必须脚娜的什么准备金的比率
[00717.32-00719.32] 那同学们在这里就能够知道
[00719.32-00722.46] 如果法定存款准备精率越高
[00723.76-00724.24] 主意啊
[00724.24-00726.16] 如果法定存款准备精率越高
[00726.16-00727.36] 那就意味着
[00727.36-00729.26] 我们所说的存在
[00729.26-00730.72] 就是或者说脚娜吧
[00730.72-00734.02] 就是脚娜给腰航的前越多还是越上
[00735.02-00737.40] 越高的法是不是你脚娜的
[00737.40-00738.94] 给央好的钱就会怎么样
[00738.94-00739.70] 越多
[00739.70-00741.36] 那脚那的钱越多
[00741.36-00743.28] 那商业也行流的钱多还是少
[00743.28-00745.84] 那商业也行流的钱就会減少
[00745.84-00747.38] 那商业行流的钱減少
[00747.38-00751.98] 那你能够败款出去投放到市场当中的货币量就会增加一些少
[00751.98-00753.02] 就一定会減少
[00753.02-00757.12] 那你看你能够投放市场败款的货币一旦減少的话
[00757.12-00758.90] 市场当中的钱是不是就少了
[00758.90-00763.26] 那如果市场当中的钱少了就可以应对通过膨脏这样一个情况
[00763.26-00764.28] 那如果反过来
[00764.28-00767.10] 如果法定存据的进入越低的换
[00767.10-00769.16] 那就意味着在这个过程当中
[00769.16-00770.78] 脚那给装一行的钱
[00770.78-00771.30] 略少
[00771.30-00773.06] 那杀云行自己的钱就怎么样
[00773.06-00773.66] 变多了
[00773.66-00777.18] 那这个时候头放到市场当中能用于贷款的钱
[00777.18-00778.06] 就会中间
[00778.06-00780.98] 那这里面就可以用对通货紧缩
[00780.98-00783.82] 那这个就是法定存款准备精力
[00783.82-00785.46] 他发挥做的一个机制
[00785.46-00786.90] 那大家就要知道
[00786.90-00788.46] 那知道了法定存款准备机
[00788.46-00790.66] 那还有一部分就超额存款准备进
[00790.66-00792.02] 那同行们要注意一下
[00792.02-00794.74] 超额存款准备进了一般在线上的当中
[00794.74-00795.58] 也不要常见
[00795.58-00798.76] 你就要说银行它预存的一些库存陷阶等
[00798.76-00801.06] 那它属于猪额村寸那阶
[00801.38-00803.98] 所以在这里面我们就接近了
[00804.18-00806.00] 考察点咱们来输轻一下
[00806.00-00810.42] 第一个我们所说的法定村寸被筋
[00810.66-00811.94] 绿
[00812.04-00815.24] 在这里面我们要知道它的一个应用
[00815.24-00817.38] 这个应用 咱们刚才其实有给大家
[00817.38-00819.48] 就说过看法定村寸的经济
[00819.48-00822.50] 它如何条胶市场当中的貨并贿量板
[00822.50-00823.92] 这个就是它的应用
[00823.92-00825.56] 如果法定存款准备经历
[00825.56-00826.28] 同一们再来
[00826.28-00827.28] 你别写我墨架
[00827.28-00829.32] 咱们就一遍越来越加深机艺
[00829.32-00831.12] 如果法定存款准备经历越高
[00831.12-00834.16] 就是交给腰行的钱
[00834.16-00835.72] 就会越多
[00835.72-00838.24] 这个时候我家号就代表越多
[00838.24-00839.64] 这有时候商业银行
[00840.64-00842.56] 他旅游存的就越少
[00842.56-00843.56] 那这种情况之下
[00843.56-00845.56] 我用简号这是简号
[00845.56-00846.60] 他代表越少
[00846.60-00847.48] 家号
[00847.84-00848.76] 简号
[00848.96-00851.04] 那这种情况之下就意味着啥
[00851.04-00852.08] 就意味着
[00852.08-00853.56] 我们投放到市场的钱
[00853.56-00857.52] 就会监上市场当中能够用一代款的货币就会监上
[00857.52-00862.52] 那这里面就意味着可以应对通脏
[00862.52-00865.20] 通过膨胀不就市场当中流通的货币太多了
[00865.20-00866.60] 但如果反过来呢
[00866.60-00868.48] 如果法定存款准备进列
[00868.48-00873.00] 越低那就意味着交到阳航的钱就会越少
[00873.00-00876.76] 那这个时候就意味着商业研航的钱就会增加
[00876.76-00879.28] 那它的钱一旦增加投放到市场当中
[00879.28-00880.70] 货币就会怎么样
[00880.70-00883.44] 增加那这时候市场当中流通的钱变多了
[00883.44-00884.48] 就可以用对什么
[00884.48-00886.84] 就可以用对通货紧缩
[00886.84-00888.08] 考试的时候
[00888.08-00889.12] 一般情况之下
[00889.12-00891.48] 就会考察到他的应用
[00891.48-00892.84] 这是第一个考脸
[00892.84-00893.76] 大家要注意
[00893.76-00894.68] 我们刚才说了
[00894.68-00895.72] 除了应用之外
[00895.72-00896.88] 我们刚才也提到了
[00896.88-00898.32] 他也被称之为叫做
[00898.32-00900.52] 最猛烈的政策工具
[00900.52-00901.52] 他为什么叫做
[00901.52-00903.16] 最猛烈的政策工具
[00903.16-00904.80] 原因就是因为
[00904.80-00906.16] 我简单的写下
[00906.16-00907.04] 原因就是因为
[00907.04-00908.80] 和他的货币成数
[00908.80-00910.16] 以他的货币效应
[00910.16-00911.28] 有一定的关系
[00911.28-00911.88] 在这里面
[00911.88-00912.88] 带来看一下
[00912.88-00917.36] 我举个简单的例子,咱们来看一下假设现在有这么一个情况
[00917.36-00923.12] 这个情况是啥呢?就是我现在和A企业做了一个交易
[00923.12-00928.24] 这个交易和大量是多少钱的?假设这个交易和啊,现在是100元
[00928.24-00933.88] 咱们就假设,咱们就100元了算,那这个时候呢?我和A企业做完交易之后我给了他100块钱
[00933.88-00940.20] 我给了他100块钱之后呢,我就看我听了这个钱这么大,那他没有办法,他只能把这100元存到哪呢?
[00940.20-00942.72] 他把这个100元存到了A銀行
[00943.12-00946.04] 我就检設假設它存到了
[00947.44-00948.76] 别写存到了
[00948.76-00949.96] 他就把这100块钱
[00949.96-00952.04] 我给了他就把这100块钱存到了
[00952.04-00953.52] 銀行自己的账互上
[00953.52-00956.76] 存到那个銀行假設他把这个钱存到了A銀行
[00956.76-00957.96] 那同时想一下
[00957.96-00959.64] A銀行收到这100块钱
[00959.64-00961.00] 这100块钱就是他的什么
[00961.00-00962.48] 就是他的原始存款
[00964.96-00968.04] 就是A銀行收到的这100块钱
[00968.04-00969.64] 就是A銀行的原始存款
[00969.64-00972.64] 但是我们都知道炎航的主要业务会赚钱的业务
[00972.64-00974.14] 它其实是对外贷款
[00974.14-00976.64] 那A映航收到这100块钱的原始存款
[00976.64-00981.14] 它能把这100块全部都投放到我们所说的市场当中
[00981.14-00982.44] 全部有一贷款
[00982.44-00984.64] 它不能原因就是在于刚才说了
[00984.64-00986.64] 我们所提到的这个
[00986.64-00988.04] 装益行其实给它贵
[00988.04-00990.04] 规定了一个叫法定存款整理机率
[00990.04-00991.44] 就是它的所有存款
[00991.44-00993.14] 它其实都必须挖出来一部分
[00993.14-00994.84] 交到装益行器的宝贵
[00994.84-00997.14] 所以它收到原始存款100块钱的时候
[00997.14-01000.48] 不只把这100块钱全都放到市场上去带出去
[01000.48-01003.54] 逃走的办法 逃先扣除一部分的内容
[01003.54-01006.04] 扣除这部分就是扣除多少钱
[01006.04-01008.14] 实在按照法定存款准备进入来的
[01008.14-01011.88] 假设现在装益行规定的法定存款准备进入是20%
[01011.88-01013.04] 同时来看一下
[01013.04-01015.82] 那只100块钱就会分成80元
[01015.82-01017.10] 可以直接往外带
[01017.10-01019.92] 而其中的20块钱要交到什么呢
[01019.92-01022.22] 要交到我们所说的装益行去
[01022.22-01026.32] 那同回来看一下他把这80块钱的存款
[01026.32-01028.36] 就是他这个剩下的这80块钱
[01028.36-01031.42] 他又给他带到市场当局带到市场当局
[01031.42-01033.74] 这80块钱又会参与到市场交易当局
[01033.74-01035.12] 把这80块带给了谁呢
[01035.12-01038.10] 带给了我们村的什么呢
[01038.36-01039.62] 牧荣广场吧
[01039.62-01041.42] 带给了我们村的牧荣广场
[01041.42-01043.12] 那牧荣广场他家是做什么的
[01043.12-01044.50] 他家是卖化肥的
[01044.50-01046.80] 于是牧荣广场就拿着这80块钱
[01046.80-01048.58] 去和另外一个人做了交易
[01048.58-01052.30] 然后就开始进行什么化费生产的一些原材料
[01052.30-01053.18] 他就买回来了
[01053.18-01054.34] 他把这个钱
[01054.34-01057.78] 牧荣广场把这80块钱给了市场当中的另一个人
[01057.78-01058.94] 假设另一个人是谁呢
[01058.94-01060.58] 他和新闻副贵作了交易
[01060.58-01061.14] 好吧
[01061.14-01064.70] 那他和新闻副贵作了交易副贵看不得天的80倒账了
[01064.70-01067.10] 于是新闻副贵就把这80块钱
[01067.10-01068.98] 又损入到了银行当中
[01068.98-01071.10] 他这次把这80块钱损到哪呢
[01071.10-01072.78] 损到了毕银行当中
[01073.58-01074.34] 一样的
[01074.34-01077.58] 那这80块钱就相当于毕银行的原视存判
[01077.58-01078.58] 那同一门告诉我
[01078.58-01080.54] 这八十块钱能不能全都
[01080.54-01081.62] 带到市场当中去
[01081.62-01083.78] 就是把这八十块钱全都放在放出去
[01083.78-01084.30] 不行
[01084.30-01087.14] 因为央行规定了法定存款整理金
[01087.14-01088.18] 率是多少
[01088.18-01089.14] 百分之二十
[01089.14-01091.10] 所以它这八十块钱就变成了
[01091.10-01094.22] 二八一十六块钱要交给装银行
[01094.22-01095.58] 那这个时候还剩多少呢
[01095.58-01096.66] 还剩64
[01096.66-01098.90] 那这64块钱才能往外去带
[01098.90-01099.66] 明白了吧
[01099.66-01101.06] 在往外去带的时候
[01101.06-01102.66] 它把这个钱带给了谁呢
[01102.66-01104.26] 就带给了出个建国
[01105.66-01107.22] 带给了出个建国
[01107.22-01109.02] 那住了建国是干嘛的呢
[01109.02-01111.26] 住了建国呢是生产农具的
[01111.26-01114.78] 于是住了建国要买生产农具的延材料厨头稿头的
[01114.78-01116.42] 他就把这个钱给了谁呢
[01116.42-01118.22] 把这个钱就给了全支放
[01120.02-01121.58] 把这个钱给了全支放
[01121.58-01123.10] 把这个钱给了全支放之后
[01123.10-01124.74] 全支放拿到这八十块钱说
[01124.74-01126.86] 丁东支付火到这样
[01126.86-01127.90] 八十 对吧
[01127.90-01129.18] 或者这八十块钱
[01129.18-01130.02] 别走支付火了
[01130.02-01131.10] 就走银行
[01131.10-01132.06] 八十块钱
[01132.06-01134.02] 这个我们是八十去了
[01134.02-01135.22] 这六十四块钱
[01135.22-01138.56] 是不是就到了我们所说的全制放的账互上
[01138.56-01140.86] 那全制放就把这64块钱
[01140.86-01141.88] 存入告了那人呢
[01141.88-01143.40] 假设把它存入到了
[01143.40-01146.28] 所以那一样的同学们循环网网复
[01146.28-01148.90] 所以那样的能够把这64块钱全都带出去
[01148.90-01149.54] 不行
[01149.54-01152.54] 还是一样的要寄提20%的存款准备金
[01152.54-01156.02] 也就是在这里的12块8交给央好
[01156.02-01159.02] 那还剩下我们所说的多少钱呢
[01159.02-01162.60] 64块8还剩51块2对吧
[01162.60-01164.48] 那51块2然后再带出去
[01164.48-01166.28] 然后再带给市场当中的人
[01166.28-01167.88] 然后另外一个人在对外交易
[01167.88-01170.68] 再把这51块2存入到地银行里面
[01170.68-01172.68] 然后再集体反应存在这边
[01172.68-01173.68] 就不停到往外带
[01173.68-01174.88] 那同时们看到
[01174.88-01176.28] 这里发生了一个作用
[01176.28-01177.08] 什么作用呢
[01177.08-01180.48] 就是我们会发现原本快钱原本快钱
[01181.08-01181.68] 嘴条啊
[01181.68-01183.48] 你看我就是一机动我就是嘴条
[01183.48-01184.68] 原本的100块钱
[01184.68-01185.68] 他们来看一下
[01185.68-01188.28] 原本只有100块钱的原始货币吧
[01188.28-01189.28] 但是这100块钱
[01189.28-01190.48] 是不是存到一行当中
[01190.48-01191.68] 他就不发挥众了
[01191.68-01192.28] 不是的
[01192.28-01196.38] 是这一百块钱不停的扣除一部分角娜给装一行的钱之外呢
[01196.38-01199.38] 他就不停了在市场当中留转在市场当中留转
[01199.38-01204.18] 有时我们所说的这一百块钱发挥的作用原源超过一百
[01204.18-01206.88] 你看这八十其实就是那一百块钱的盛余
[01206.88-01208.38] 在市场当中发挥的作用
[01208.38-01209.68] 这六十四也是
[01209.68-01211.78] 有时这一百块钱存到一行当中
[01211.78-01215.88] 他会循环网负在市场当中不断的怎么样流通
[01215.88-01217.38] 那这种情况之下
[01217.38-01220.78] 原始存款一百块发挥的作用就原源大于一百
[01220.78-01224.62] 有着一位这一百块钱在不断的创造新的货币
[01224.62-01227.18] 那他创造的货币的数量是多少呢
[01227.18-01230.26] 那这时候就要根据他的货币成数来确定
[01230.26-01233.34] 这一百块钱他什么时候不往爱带了同一们
[01233.34-01236.90] 每一次都会扣出百分之二时的法定存款准备接
[01236.90-01238.70] 那一直扣出到什么
