[00000.00-00002.74] 好的,我们接着来往下看
[00109.32-00112.92] 所以整个康扎争我们时时是打了14年的
[00112.92-00116.72] 那我們就來看一下在抗戰這個過程當中到底發生了些什麼
[00117.32-00119.88] 首先第一個我們來看一下抗戰爭的爆發
[00120.16-00122.72] 抗戰爭的爆發其實是和一個時間有關係
[00122.72-00125.20] 這個世界就是918 失辨
[00125.20-00127.96] 918 失辨的同樣首先記住他的時間
[00127.96-00129.96] 1931 9月18號
[00129.96-00134.96] 19月18號 盤具在中國東北的日本官東軍
[00134.96-00136.68] 按照精心策劃的英某
[00136.68-00140.40] 然後有鐵到手衛部隊炸掉了神仰的這樣一條鐵路
[00140.40-00143.36] 然後最後把這個事件加獲給中國
[00143.36-00146.20] 於是爆發了我們所說的這個98 事變
[00146.20-00148.76] 98 事變的對日本來說只是一個有頭
[00148.76-00151.16] 他主要的目的是要借由這個事件
[00151.16-00155.40] 清略東北三省最後把東北山省据為極有
[00155.40-00158.44] 其實日本他對於我們所說的這個
[00158.44-00161.20] 東北三省可以說是淳嫉的
[00161.20-00163.96] 就是在最開始的時候日本他在發展之後
[00163.96-00166.88] 或者說他走上了軍國地國主義道路之後
[00166.88-00169.20] 他其實制定了一個日本六部組
[00169.20-00172.02] 这个日本的六部走当时说的是什么呢
[00172.02-00175.16] 这是日本它的目标是在于称霸全世界
[00175.16-00177.24] 它的这六部走当中第一部干嘛呢
[00177.24-00179.18] 第一部先拿下中国的台湾
[00179.18-00181.70] 然后第二部公战朝鲜
[00181.70-00184.44] 第三个就是搶战满猛
[00184.44-00185.48] 然后第四部
[00185.48-00187.76] 然后我们所说的七六中国
[00187.76-00191.06] 然后第五部称霸亚洲第六部称霸实际
[00191.06-00192.50] 这是当时日本
[00192.50-00193.96] 他对于自身发展
[00193.96-00195.00] 他自己的图谋
[00195.00-00196.00] 对吧听起来
[00196.00-00197.80] 有点搞笑天方夜谈一样
[00197.80-00200.04] 这个民族就像一个风子
[00200.04-00202.28] 当日本制定完这六部走之后
[00202.28-00204.64] 它其实就像一个上了发挑的机器
[00204.64-00207.32] 就是严格的让人找这六部来直向
[00207.32-00210.04] 首先第一个拿下或者是在这里面
[00210.04-00211.40] 它要侵占中国的台湾
[00211.40-00212.72] 它很早是不是就实现了
[00212.72-00214.24] 既然侵占台湾之后
[00214.24-00215.56] 它就攻打了朝鲜
[00215.56-00217.80] 第三步它要战略满猛
[00217.80-00220.80] 它所谓的满猛是那就是中国的东北地区
[00221.92-00223.44] 就是中国的东北地区
[00223.44-00225.64] 中国的东北大家都知道
[00225.64-00226.68] 东北地区怎么样呢
[00226.68-00231.58] 物資豐富,大家都聽過那句話,就是我第一家在東北松花江上,對吧?
[00231.58-00233.76] 那裡有滿山畢業,也大多高量。
[00233.76-00239.58] 一日東北他是一個非常富肉和副族的展覽地方,但是我們反觀日本是什麼?日本?
[00239.58-00254.98] 當然小國之地,你看他想要說,實現他這個吃心夢想想要沉罵世界也好,或者是他想要沉罵亞就越好,在這個過程當中,他那個區區的那個,那麼頂點的一個地方,其實不足以支撐他,完成他這個天方夜坦。
[00254.98-00257.06] 所以他自己也知道他自己
[00257.06-00261.26] 这是在过程当中实力不是特别的组自然也不是特别组
[00261.26-00264.26] 所以他那个时候就想先拿下中国的东北
[00264.26-00266.10] 在东北那个地区物资丰富
[00266.10-00269.02] 他的图谋主要就是用中国的东西
[00269.02-00270.98] 然后打中国的土地
[00270.98-00272.98] 这是我们所说的当时日本
[00272.98-00274.82] 他的这样的一个战略计划
[00274.82-00276.98] 所以在他的六部走当中
[00276.98-00278.26] 他的第三部
[00278.26-00280.78] 就是要我们所说的工战满梦
[00280.78-00282.10] 也就是拿下东北地区
[00282.10-00284.30] 拿下东北地区在最开始的时候
[00284.30-00285.58] 他其实不太好大
[00285.58-00287.12] 原因就是一名名为
[00287.12-00289.42] 咱们知道东北原来是谁呢
[00289.42-00290.44] 张作林
[00290.44-00293.26] 张作林对于我们所说的日本其实是不满账的
[00293.26-00295.82] 张作林大家都知道三大军法之一
[00295.82-00298.12] 他本身是出身草莽的
[00298.12-00299.40] 就是欢迎话说的
[00299.40-00301.46] 这是类似于土匪周安来的
[00301.46-00302.22] 这个人呢
[00302.22-00303.76] 性情也是真性情
[00303.76-00305.28] 拋开他军法的身份
[00305.28-00307.34] 不说但是他确实是
[00307.34-00309.38] 也是了不起的这样的一个人了
[00309.38-00311.18] 他虽然出身草莽
[00311.18-00314.22] 当然他对老师对于这种学子
[00314.22-00315.74] 他其实特别尊敬的
[00315.74-00317.66] 每年到孔子单成的时候
[00317.66-00319.10] 他都会脱下军装
[00319.10-00320.46] 然后脱下军装之后
[00320.46-00321.42] 穿上那种
[00321.42-00323.34] 我们所说的那种长跑
[00323.34-00324.62] 然后去到学校里面
[00324.62-00326.22] 然后给老师们去居宫
[00326.22-00329.10] 感谢老师们对于这种学生的那种培养
[00329.10-00330.62] 然后还会在这个学校当中
[00330.62-00331.82] 去给学生去讲
[00331.82-00333.34] 然后前一条晚上
[00333.34-00335.66] 风康去練习都写了岩子风康去背
[00335.66-00338.22] 然后给学生去基于音切的后往
[00338.22-00339.18] 这就是他都是做的
[00339.18-00340.58] 但他這個人不要有趣
[00340.58-00342.62] 這前一天晚上被這個搞自備的
[00343.34-00345.10] 滾挖了屬生情病夢
[00345.30-00347.34] 但是到第二天到台上看到
[00347.58-00349.58] 台下黑壓的那些學生
[00349.58-00351.82] 一下子就忘了就開了口吐
[00352.38-00353.06] 髒話
[00353.22-00354.02] 就是太娘的
[00354.02-00354.82] 這類似於這種
[00354.82-00355.70] 說前都忘了
[00355.70-00357.46] 然後來也不知道的臺北說
[00357.46-00358.10] 然後就說的
[00358.10-00359.10] 說搭好學習
[00359.10-00359.50] 對吧
[00359.50-00361.14] 你們都是國家的未來
[00361.14-00362.38] 都是國家未來的
[00362.82-00364.98] 才就是有彩華的人才
[00364.98-00366.22] 就是類似於是動量
[00366.22-00367.42] 說你們好好工作
[00367.42-00369.14] 以後到我的軍隊到中來
[00369.18-00371.78] 某个亿官担质来为国家总的一样
[00371.78-00374.06] 所以你看他其实虽然出任好嘛
[00374.06-00375.46] 但是他又可能怎么样呢
[00375.46-00377.14] 很尊重学室
[00377.14-00381.06] 而且当时就是日本对于东北地区
[00381.06-00383.26] 我们所说的这样的一个狼子也先
[00383.26-00384.90] 可以说是招染弱接的
[00384.90-00387.66] 而且在我们所说的年代当中
[00387.66-00389.50] 就是帝国主义对于中国人的人
[00389.50-00391.58] 命其实看得不是特别的重视
[00391.58-00393.18] 所以当时日本人
[00393.18-00398.54] 他们视频就在东北地区杀了几个咱们的同胞
[00398.54-00400.46] 然后杀了这几个图贸之后
[00400.66-00402.86] 然后张作林知道这件事情非常生气
[00402.86-00405.66] 然后日本就给张作林开了支票
[00405.78-00407.74] 开了支票上面给了是多少年的
[00407.74-00409.58] 给了两个人杀了两人
[00409.66-00412.90] 然后开了两千的大洋
[00412.90-00415.70] 就把这个支票就给到了张作林
[00415.70-00417.18] 张作林看到这个事
[00417.18-00419.54] 杀没说把支票全都收了
[00419.54-00420.62] 赵丹全收
[00420.62-00421.70] 收完了之后
[00422.42-00424.30] 回去给全军放假
[00424.30-00425.82] 放假干了放一周
[00425.82-00426.70] 放一周假出去
[00426.70-00429.30] 说在街上看到日本人会日本士兵
[00429.30-00431.06] 就是杀了之后
[00431.06-00432.86] 然后回来也不会罚他们
[00432.86-00435.22] 然后后来却是也是杀了几个日本人
[00435.22-00437.46] 然后当时日本那边推生气
[00437.46-00439.10] 生气之后哪儿就说
[00439.10-00440.70] 你们怎么样子对吧
[00440.70-00442.54] 这是对大日本帝国的不尊敬
[00442.54-00442.98] 对吧
[00442.98-00446.06] 当时当作联究当下开了支票
[00446.06-00447.14] 开了支票干嘛呢
[00447.14-00449.10] 杀了是几个人我忘了
[00449.10-00450.54] 是三个人还是几个人
[00450.54-00451.78] 张作联给他开了
[00451.78-00453.70] 就是双备的支票回去
[00453.70-00455.58] 说是这个就是买你们人民的
[00455.58-00458.18] 所以当时日本想公然满梦
[00458.18-00460.70] 又张作林在其实不太好打
[00460.70-00462.22] 但后来大家都知道
[00462.22-00463.70] 1928年6月份的时候
[00463.70-00466.18] 张作林他就被炸死了
[00466.18-00467.22] 被炸死之后
[00467.22-00469.02] 然后日本他就
[00469.02-00471.26] 小对东北这边下手了
[00471.26-00473.38] 所以到了后面的时候就开始
[00474.38-00475.74] 我们所说的特谋
[00475.74-00477.06] 然后918时辨
[00477.06-00478.50] 所以在这里面大家都知道
[00478.50-00479.50] 918时辨
[00479.50-00480.98] 他是公战了沈洋
[00480.98-00482.58] 既然就亲战了东北山省
[00482.58-00484.34] 然后东北山三省怎么样
[00484.34-00485.34] 全境冷险
[00485.34-00487.14] 大家现在能够听到我在讲课的时候
[00487.14-00488.90] 外面是会有烏的声音
[00488.90-00490.50] 只是防空警报
[00490.50-00492.78] 因为这一天就是918
[00492.78-00494.62] 所以同学们知道这918是变
[00494.62-00497.06] 第一个要知道它的时间
[00497.06-00498.26] 对这种历史性的时间
[00498.26-00500.18] 同学们不能够忘怀
[00500.18-00501.30] 所以这是第一个
[00501.30-00502.74] 第二个呢918是变
[00502.74-00503.82] 它的历史意是什么的
[00503.82-00504.58] 大家都知道
[00504.58-00505.98] 这个918是变成日本
[00505.98-00507.62] 续一发动并制造的
[00507.62-00509.06] 所以它是日本
[00509.06-00509.98] 帝国主义
[00509.98-00511.82] 侵略中华的开端
[00511.82-00512.58] 所以在这里面
[00512.58-00513.74] 大家写上圈
[00513.74-00515.84] 日本地位主義區內中華的開端
[00515.84-00518.64] 我們從中華民族咱們自身這個角度來看
[00518.64-00519.40] 它是什麼?
[00519.40-00521.78] 它是中國靠日戰爭的開端
[00526.22-00529.68] 是中國靠日戰爭的開端
[00529.68-00530.64] 所以大家注意一下
[00530.64-00532.16] 這是我們所說的這個
[00532.16-00533.96] 918市面
[00533.96-00534.68] 918市面
[00534.68-00535.62] 這是第一個
[00535.62-00537.10] 東北被攻戰了
[00537.10-00538.58] 接下來它想要
[00538.58-00540.86] 我們都知道剛才在這六部走當中
[00540.86-00542.44] 它攻戰了東北之後
[00542.44-00543.44] 它接下來要幹嘛呢?
[00543.44-00545.60] 要我们所说的清略中国 对吧
[00545.60-00547.64] 所以在这里面套清略中国接下
[00547.64-00549.32] 第一第二部它怎么样
[00549.32-00551.40] 扩大它在中国的这样的一个
[00551.40-00553.48] 我们所说的清占的地坛
[00553.48-00556.36] 所以它在日本这边有相用发动了
[00556.36-00559.48] 华北市面和我们所说的在华北市面之后
[00559.48-00561.40] 我们的反抗运动和亚酒运动
[00561.40-00562.40] 所以我们今天来看
[00562.40-00563.96] 说1935年的日本
[00563.96-00567.16] 帝国主义为清占华北而需于制造一联串的事件
[00567.16-00568.36] 统称为华北市面
[00568.36-00570.48] 这华北市面统称大概知道一下
[00570.48-00572.32] 不需要知道它具体的时间
[00572.32-00575.50] 就是考试的时候不需要去被送他的剧时间
[00575.50-00579.28] 你只要知道华北时间是在918视频之后
[00579.28-00581.16] 起去录着视频之前就可以了
[00581.16-00582.32] 因为刚才我们说了
[00582.32-00584.66] 在918视频之后是东北倫线了
[00584.66-00586.90] 东北之后就是什么华北
[00586.90-00588.60] 华北地区主要指的是哪
[00588.60-00592.50] 通常都知道华北地区主要就是我们所说的经经济
[00592.50-00596.28] 然后再加上内蒙和我们所说的山西
[00596.28-00600.78] 所以你看它的亲率的计划是从北往南走
[00600.78-00604.00] 一点一点跨大它的这个我们所说的清云
[00604.00-00606.50] 所以在1935年的时候有了华北市面
[00606.50-00611.28] 华北市面之后大家就知道被平的学生就开始开展了
[00611.28-00612.64] 康日旧王的斗争
[00612.64-00614.70] 所以大家能看到最开始的时候
[00614.70-00617.16] 新民旧主义各面开端的五思运动
[00617.16-00619.54] 就是由学生当中最先发起的
[00619.54-00622.14] 而我们所说的华北市面之后也是一样的
[00622.14-00625.86] 华北市面之后呢被平的学生率先开展了就王
[00625.86-00628.00] 我们所说的康日的这样的运动
[00628.00-00630.30] 所以在1935年的12月19号
[00630.30-00631.84] 这个时间团都没有知道
[00631.84-00633.88] 1935年的12月19号
[00633.88-00635.68] 19运动就爆发了
[00635.68-00637.72] 这129运动的考点是什么呢
[00637.72-00638.24] 在这
[00638.24-00640.04] 129运动的学生当作
[00640.04-00642.72] 高呼叫达倒日本帝国主义
[00642.72-00643.80] 停止内战
[00643.80-00646.16] 移制对外叫做反对华北
[00646.16-00646.80] 自治
[00646.80-00647.40] 这个点
[00647.40-00648.92] 我之前给同一们说过
[00648.92-00650.64] 他很容易和哪个点混乡呢
[00650.64-00652.32] 和五思运动混乡
[00653.60-00654.36] 五思运动
[00654.36-00655.80] 他其实有很多的口号
[00655.80-00656.80] 大家还记得吧
[00656.80-00659.72] 叫做外争主權內成國責
[00659.72-00661.60] 非除21條 對吧
[00661.60-00664.32] 緩我清導 去 我們所說的
[00664.32-00664.72] 什麼
[00665.20-00667.04] 多取善奴或徵回善奴的
[00667.04-00668.24] 這樣的一個權利
[00668.24-00670.44] 對不對 反對在巴黎和院上簽字
[00670.92-00671.64] 而這個呢
[00671.64-00673.52] 其實是我們所說的無碎一弄
[00673.52-00674.96] 那129運動其實
[00674.96-00676.08] 它是另外一個了 對吧
[00676.08-00677.08] 因為這種情況之下
[00677.08-00679.28] 就是日本已經舉全國之力
[00679.28-00680.64] 開始要清略中國了
[00680.64-00681.44] 所以在這裡面
[00681.44-00683.48] 可以說是存亡局徐的時候
[00683.68-00684.56] 所以在這裡看
[00684.56-00685.40] 它主要是什麼
[00685.40-00687.16] 打倒日本帝国主义
[00687.16-00689.24] 第二个停止内战
[00689.24-00691.04] 因为我们前面讲过
[00691.04-00693.24] 1927年到1937年土地
[00693.24-00695.12] 10年革命的期间
[00695.12-00695.64] 对吧
[00695.64-00696.44] 我们所说的
[00696.44-00697.68] 中国共产党和国民党
[00697.68-00699.48] 之间轻视有内战在的
[00699.48-00700.76] 不然他也不会
[00700.76-00703.12] 对我们连续发动五次为较
[00703.12-00703.44] 对吧
[00703.44-00704.60] 所以在这里你看
[00704.60-00707.36] 他在这里停止内战
[00707.36-00709.08] 然后后面就是反对
[00709.08-00709.96] 华北自治
[00709.96-00711.36] 这个就是我们所说的
[00711.36-00712.12] 这个19運动
[00712.12-00712.96] 当然19運动
[00712.96-00714.44] 也是遭到了我们所说的
[00714.44-00716.08] 像那個鎮壓的
[00716.08-00717.64] 所以在這裡面大家知道
[00717.64-00718.80] 這是花北市面
[00718.80-00720.84] 花北市面其實是就意味著
[00720.84-00723.40] 中日本對於中國的這種侵略
[00723.40-00725.20] 它其實是進步擴大的
[00725.20-00727.76] 而我們所說的這個全面侵華戰爭的爆發
[00727.76-00728.96] 是在什麼時候呢
[00728.96-00732.12] 全面侵華戰爭的爆發是在1937年
[00732.12-00733.96] 1937年爆發的叫做
[00733.96-00735.96] 770蘆勾橋市面
[00735.96-00737.68] 所以在這裡面大家注意一下
[00737.68-00739.08] 在這他給到了
[00739.08-00742.24] 說1937年的7月7日
[00742.24-00747.22] 說魯桃的日本珠軍在未通之中國當局政府的情況之下
[00747.22-00753.14] 然後在中國注地附近舉行軍事業協並貴衝有一名士兵失踪了
[00753.14-00756.58] 然後要求進入北平我們所說的去進行收場
[00756.58-00759.58] 然後被拒絕了之後然後他說開始公拿我們
[00759.58-00761.14] 其實當時是這個樣子的
[00761.14-00765.04] 當時其實是變或者是我們所說的這個魯桃事業報發的時候
[00765.04-00769.24] 他其實是因為當時北平也就是我們所說的北京
[00769.24-00772.40] 北京当时已经击乎被日本包围了
[00772.40-00775.08] 当时北京处在一个什么样的情况
[00775.08-00778.52] 当时的北京它的北面有为满政府
[00778.52-00781.96] 它的东面是汉坚自己去建立的政权
[00781.96-00784.68] 它的西面是内蒙古要组张独立
[00784.68-00787.96] 也就是当时北京或者当时的北平
[00787.96-00789.48] 它其实举目四望
[00789.48-00790.92] 它击乎没有什么出落
[00790.92-00792.44] 就是周边的这些
[00792.44-00795.52] 它的北边东边和西边都已经
[00795.52-00797.96] 就是没有办法去支援它了
[00797.96-00799.28] 所以他在这种情况之下
[00799.28-00801.88] 他小获得生命他只能从难免走
[00801.88-00804.56] 所以当时北平和内地唯一的联系
[00804.56-00806.12] 就是经广体路
[00806.12-00808.32] 而经广体路大家注意一下
[00808.32-00810.80] 他必须一定会经过路口调的
[00810.80-00813.52] 因为路口调是平和体路的毕竟之地
[00813.52-00816.84] 所以当时如果说路口调一旦被战领了
[00816.84-00819.72] 北平就真的成为了一个辜成了
[00819.72-00822.44] 而这个恰恰就是日本小了去做的
[00822.44-00824.52] 他当时说有一本视频失踪了
[00824.52-00825.76] 这个视频干嘛呢
[00825.76-00826.84] 所以拉度子去了
[00826.84-00827.72] 上次所去了
[00827.72-00829.00] 上次左周回来晚了
[00829.00-00830.52] 然后就说爱这人没了
[00830.52-00831.92] 就开始乃我
[00831.92-00834.28] 说是咱们给他把这个人抓起来了
[00834.28-00835.08] 还是怎么样的
[00835.08-00836.56] 就是借用这个油头
[00836.56-00838.92] 然后发动了我们所说的起起士变
[00838.92-00840.32] 所以其实是变大之道
[00840.32-00841.16] 他身上的点
[00841.16-00842.12] 第一个你要知道
[00842.12-00844.40] 1937年的7月7日叶
[00844.40-00846.36] 第二个他爆发在呦工前
[00846.36-00847.68] 你把呦工前话出来
[00847.68-00849.64] 所以这个世界也被称之为叫做什么
[00849.64-00851.24] 叫做呦工巧士变
[00854.32-00856.56] 这个世界也被称之为叫做
[00856.56-00857.84] 路口朝市面
[00857.84-00858.92] 而路口朝市面
[00858.92-00860.28] 大家注意下第三个点
[00860.28-00861.16] 同一条注意
[00861.16-00862.52] 路口朝市面在这里面
[00862.52-00863.48] 给到第三点
[00863.48-00865.32] 就是全面侵划
[00865.32-00867.92] 标志着全面抗战的爆发
[00867.92-00869.36] 就是在这个之后
[00869.36-00870.24] 我们说了
[00870.24-00872.04] 工人农民自然接近
[00872.04-00873.76] 都要加入到我们所说的
[00873.76-00875.36] 这样的一个抗战争来
[00875.36-00876.56] 所以这是我们所说的
[00876.56-00877.28] 奇蹟市面
[00877.28-00879.92] 所以抗战爆发一共有三件事
[00879.92-00880.72] 大家注意下
[00880.72-00882.20] 咱们来简单回顾一下
[00882.20-00883.28] 第一件事就是
[00883.28-00886.66] 918 市面 时间1931 9月18号
[00886.66-00889.64] 它的这个地方是抗担 战争的开端
[00889.64-00891.26] 在这里忘了给大家说了一个点
[00891.26-00893.02] 同时就能简单在旁边标注意下
[00893.02-00895.92] 918 市面主要是公战的是东北
[00895.92-00896.20] 对吧
[00896.20-00899.70] 所以918 市面也被称着为叫发生在 现在旁边
[00899.70-00903.30] 叫发生在白山黑水之间的战亦
[00908.00-00910.50] 发生在白山黑水之间的战亦
[00910.50-00911.64] 白山黑水
[00911.64-00913.94] 大助一下就是什么 就是东北
[00913.94-00917.26] 所以他说发生在白山黑水之间的战衣是什么
[00917.26-00919.00] 你要知道是九一八十遍
[00919.00-00921.88] 所以只有里面大助一下九一八十遍身上三个点
[00921.88-00924.94] 九一八十遍之后日本扩大他对于中国的侵略
[00924.94-00926.76] 于是制造了华北市面
[00926.76-00928.02] 工价了华北
[00928.02-00931.86] 那就说完了他侵略中国的这个世态记忆部眼巨
[00931.86-00937.26] 那为了我们所说的反对日本发动学生就举行了19
[00937.26-00938.46] 这样一个运动
[00938.46-00940.70] 所以华北市电和12运动就是在
[00940.70-00944.02] 918 之後 蘆菇橋之前
[00944.02-00946.08] 我們所說的日本 他要公佔
[00946.08-00947.54] 或者是清略中國
[00947.54-00950.38] 全面抗戰的爆發就是在期期 蘆菇施變
[00950.38-00952.48] 所以期意識變時間 大叫知道
[00952.48-00953.88] 37年7月7日
[00953.88-00956.06] 第二個就是在這裡面 要知道
[00956.06-00958.12] 期意識變被稱為蘆菇橋識變
[00958.12-00960.16] 他遇識著 全面清華
[00960.16-00962.98] 也標誌著全面抗戰的爆發
[00962.98-00966.30] 這個就是我們所說的這個期期識變
[00966.30-00967.32] 期意識變
[00967.32-00968.86] 所以期意識變大概就知道
[00968.86-00972.22] 真正就到了中華民族存亡绝剧的这样一个情况了
[00972.22-00974.58] 七斤士辟就是录卓市边的第二天
[00974.58-00975.78] 就七月八号
[00975.78-00978.26] 却八号中共中央就发表了通电
[00978.26-00981.22] 就号召大家要全国抗日
[00981.22-00983.58] 那同时在我们所说的这个
[00983.58-00984.82] 士辟的第二天
[00984.82-00986.54] 国民党那边讲解时那边
[00986.54-00988.06] 他也发表了一个谈话
[00988.06-00989.70] 大家都知道这个谈话就做
[00989.70-00990.86] 录山谈话
[00990.86-00994.82] 当时录山谈话就开始想要制定抗战的这样一个方针了
[00994.82-00996.50] 当时录华条士辟之后
[00996.50-00997.66] 讲究时当时说
[00997.66-01001.06] 說魯古巧這個世界能否不擴大為中日戰爭
[01001.06-01003.26] 全系於日本政府的態度
[01003.26-01007.66] 和平希望決續之關鍵全系於日本之行動
[01007.66-01009.26] 就是說這個世界
[01009.26-01011.86] 它如果不上升為中日之間的戰爭的話
[01011.86-01013.66] 我們所說的主要就是看誰
[01013.66-01015.66] 主要就是看日本帝國主義那一遍
[01015.66-01017.06] 後來講一實又說
[01017.06-01019.46] 他說我們都不想要打這樣
[01019.46-01020.46] 所以他說了
[01020.46-01022.66] 叫希望和平而不夠安
[01022.66-01023.86] 我們都不想要打這樣
[01023.86-01025.46] 但是絕對不會做什麼
[01025.46-01028.98] 就是我们所说的 轮善国土的这样的一些人 对吧
[01028.98-01032.38] 所以他这里说希望和平而不狗安准备用战
[01032.38-01035.66] 而绝不求战 战端一开
[01035.66-01038.38] 第五分难得 年五分老幼
[01038.38-01042.18] 接有首土抗战制作 暴定犀生一切之决心
[01042.18-01044.10] 所以大家就知道 七七五条失辨之后
[01044.10-01046.50] 这个世态 它其实是非常严峻的
[01046.50-01048.70] 这是我们经常说的 对吧
[01048.70-01051.18] 我们听到硬军经济里面唱到的
[01051.18-01053.54] 这中华民主到了最绿难的时刻了
[01053.54-01055.10] 所以在这里面大家知道
[01055.10-01058.30] 这是气血鲁炒 失辨 全面抗战爆发
[01058.30-01061.26] 那全面抗战爆发就必然遇受的要干嘛的
[01061.26-01063.86] 就必然遇受的要全民族抗战
[01063.86-01066.30] 要建立抗民族统一战线
[01066.30-01068.34] 所以我们来看抗战争爆发之后
[01068.34-01070.34] 我们接下来看一下第二个点
[01070.34-01072.82] 就是抗民族统一战线的建立
[01072.82-01075.50] 在这里我们统一战线的建立
[01075.50-01078.30] 我们就打破它的这个时间线
[01078.30-01081.30] 因为我们要把这个统一战线正一个模块拉出来
[01081.30-01083.30] 所以它的时间线可能会乱一点
[01083.30-01085.18] 所以同時在康射戰爭這個點上
[01085.18-01087.38] 就是按照我畫份的模塊來就可以了
[01087.38-01088.82] 他不需要像咱們前面
[01088.82-01091.30] 一個世界一個世界又一個世界穿在一塊
[01091.30-01092.58] 這個地方按模塊來
[01092.58-01093.46] 因為他烤的時候
[01093.46-01095.62] 太實安這種模塊來烤的
[01095.62-01097.50] 所以我們前面講了康射爆發
[01097.50-01099.02] 那接下來我們就來看一下
[01099.02-01100.42] 在康射爆發之後
[01100.42-01102.22] 我們如何全面康戰
[01102.22-01104.82] 那這裡就會摔到康尾民族統一戰縣的
[01105.46-01106.30] 建立
[01106.30-01108.26] 康尾民族統一戰縣建立首先第一個
[01108.26-01110.90] 咱們來看一下叫做瓦姉捕會議
[01110.90-01112.10] 這個瓦姉捕會議
[01112.10-01114.30] 其實在洪軍長征徒征
[01114.30-01115.74] 我們召開的一次會議
[01115.74-01116.74] 因為我們說了
[01116.74-01119.30] 擴展戰爭從1931年就爆發了
[01119.30-01119.66] 對吧
[01119.66-01121.94] 而且他在整個抗戰的過程當中
[01121.94-01123.38] 日本對於中國的侵略
[01123.38-01124.74] 是太不斷的擴大
[01124.74-01126.74] 所以在洪軍長征的過程當中
[01126.74-01128.50] 一方面發展狀態自身
[01128.50-01129.50] 探索自己的革命道
[01129.50-01130.34] 入另外一方面
[01130.34-01131.94] 他也認識到了
[01131.94-01133.82] 中華民族現在的危難時刻
[01133.82-01136.06] 所以在抗戰長征徒征
[01136.06-01137.18] 把我不會召開了
[01137.18-01137.98] 首先第一個點
[01137.98-01138.78] 同時標準一下
[01138.78-01139.78] 先生圈一
[01139.78-01141.90] 把我不會在1935年
[01141.90-01143.98] 《紅軍長徵徒中》召開
[01143.98-01148.44] 說中共共產國際代表團發表了一個宣言
[01148.44-01152.90] 這個宣言第二個就是在1935年8月1號發表了811宣言
[01152.90-01154.48] 所以寫上122
[01154.48-01155.98] 811宣言當中說了什麼呢
[01155.98-01158.82] 叫停止內戰一致考日
[01158.82-01160.26] 有人在這個過程當中
[01160.26-01162.62] 我們說了日本侵略中國
[01162.62-01164.02] 它的試態不斷的擴大
[01164.02-01167.50] 當時我們就開始像國民黨去發薦那些
[01167.50-01169.14] 大概意思就是咱們先別打了
[01169.14-01171.06] 對吧這個試態是必要嚴重的
[01171.06-01174.30] 所以在这里面就说了 发了一个巴伊宣言
[01174.30-01176.34] 叫着停止内战一直抗日
[01176.34-01177.70] 巴伊宣言结束之后
[01177.70-01180.42] 就要开了我们所说的 网友不会一
[01180.42-01183.14] 网友不会一具体的时间团队了解下就行了
[01183.14-01185.54] 你就大概记得他在1935年就OK了
[01185.54-01188.86] 网友不会在哪儿照开的地点 团队要注意
[01189.50-01191.82] 圈三在山北子场线
