[00000.00-00004.00] 那我们了解了时间就是人作事
[00144.76-00147.64] 那同樣的對同樣的一件事情
[00147.64-00148.52] 不同的人
[00148.52-00149.80] 他其實會產生什麼
[00149.80-00151.04] 不同的看法
[00151.04-00151.96] 不同的觀點
[00151.96-00153.92] 那為什麼會出現這樣的情況呢
[00153.92-00154.84] 就是因為
[00154.84-00156.20] 我們所說的認識
[00156.20-00158.84] 他就一些主體差異性在
[00158.84-00160.76] 所以在這裡就形成了一個
[00160.76-00161.84] 認識的課中
[00161.84-00164.20] 做一個一星級的理解性的點
[00164.20-00165.08] 大家注意一下
[00165.08-00167.64] 認識其實本質上是有兩個特點的
[00167.64-00170.12] 第一個認識具有課關性
[00170.12-00171.16] 但這個點
[00171.16-00172.84] 一般不太考察
[00172.84-00175.00] 第二个点叫做认识具有什么性呢
[00175.00-00176.28] 就主体性
[00176.28-00178.20] 这个主体性大家注意一下
[00178.20-00181.92] 就是我们要同学们去掌握的一个考试的点
[00181.92-00184.20] 大家注意 它在这里叫做主体性
[00184.20-00186.28] 不叫做主观性
[00186.28-00187.88] 具有主观性的是什么
[00187.88-00189.16] 是意识
[00189.16-00191.72] 意识是在入制进入制上性成的
[00191.72-00194.04] 而认识是在实验进入制上性成的
[00194.04-00195.96] 所以在这里它叫做主体性
[00195.96-00197.64] 不叫做主观性
[00197.64-00198.76] 而这个主体性
[00198.76-00200.04] 它的本质的含义
[00200.04-00203.70] 或者我们在去做体的时候怎么去判断他们体现主体性呢
[00203.70-00212.38] 就在旁边写上一块就是不同的人对同一个事物
[00215.38-00218.58] 产生不同看法
[00220.18-00223.06] 对同一个事物不同的人会产生不同的看法
[00223.06-00224.42] 这个就要主体性
[00224.42-00226.86] 同样一样是针对的是什么
[00226.86-00229.70] 是同一个事物产生的不同的看法
[00229.70-00233.86] 如果他给你多个事我给你多个看法问他属不属于主体性
[00233.86-00235.02] 那就不属于了
[00235.02-00237.58] 像这个主体性,他最理典型的也是
[00237.58-00242.14] 像我们经常在尝尝生活当中毒道的小孩所毒道的同胖故事
[00242.14-00243.82] 但还记得小满过河吧
[00243.82-00245.78] 小满就在河边丑处
[00245.78-00247.30] 到底过还是不过呢
[00247.30-00250.30] 这个时候他就去问那个小松鼠
[00250.30-00251.70] 说小松鼠小松鼠
[00251.70-00254.14] 我现在想各过河这个河水深嘛
[00254.14-00255.46] 然后这小松鼠再说
[00255.46-00257.02] 说还有这可不敢过呢
[00257.02-00257.30] 对吧
[00257.30-00258.50] 我像這兒個同伯兒
[00258.50-00259.98] 這是過和的說孤東一下
[00259.98-00261.26] 掉了那個水裏一下子
[00261.26-00261.94] 顏死了
[00261.94-00262.26] 對吧
[00262.26-00264.26] 我現在我哭的眼睛還種
[00264.26-00265.14] 可不行過
[00265.14-00265.94] 這水漏身了
[00265.94-00266.46] 對吧
[00266.46-00267.98] 所以當時那小馬就害怕了
[00267.98-00269.14] 說來馬就水這麼神子
[00269.14-00269.98] 可不能過
[00269.98-00270.62] 後來呢
[00270.62-00272.06] 他又在那何邊等位會
[00272.06-00273.14] 又等了一會之後
[00273.14-00274.66] 過來雷頭老牛
[00274.66-00276.26] 他說牛拉說牛拉說
[00276.26-00277.14] 如果現在想過
[00277.14-00277.90] 可不敢過
[00277.90-00279.06] 他說何事生嘛
[00279.06-00279.86] 這個老牛說
[00279.86-00280.66] 真的小孩
[00280.66-00282.06] 等著小對吧
[00282.06-00283.34] 這何事哪能那麼生呢
[00283.34-00284.38] 何事不生
[00284.38-00285.46] 他說不生到哪
[00285.46-00287.10] 他會已經到我的膝蓋吧
[00287.10-00289.34] 所以说那就过吧 可不可以害怕
[00289.34-00293.46] 对吧 这里面你看老黄牛对这个河水的深度有一个看法
[00293.46-00294.66] 他还是不敢走
[00294.66-00296.54] 他过了一会又来了一个其他的动物
[00296.54-00297.94] 好像是大信号还是啥的
[00297.94-00299.78] 很有问说那个水深不深
[00299.78-00300.94] 人高和水不深
[00300.94-00302.66] 才莫过我的脚面
[00302.66-00304.86] 那你看对于这个水的深淺
[00304.86-00306.06] 不同的动物
[00306.06-00307.50] 他说产生了不同的理解
[00307.50-00308.70] 我们都你人话了
[00308.70-00309.50] 同时不要叫这人
[00309.50-00310.74] 说老师他们不是人
[00310.74-00311.74] 你人话了
[00311.74-00313.02] 大家不要去扣这个字
[00313.02-00314.70] 我们只说在判个提到
[00314.70-00316.46] 他一定要陷阎在特定的人
[00316.46-00317.74] 但是他在做案例的时候
[00317.74-00320.18] 他都会把这个主体就给他淡换
[00320.18-00322.94] 我们的重点是同意事务不同的看法
[00322.94-00323.82] 大家注意
[00323.82-00326.30] 所以在这里刚才小码过河的故事
[00326.30-00327.78] 其实体现的就是什么
[00327.78-00330.22] 体现的就是认识的主体性
[00330.22-00331.78] 体现就是认识的主体性
[00331.78-00333.38] 所以我们经常会说到一句话
[00333.38-00336.42] 说一千个讨者有一千个他们雷特
[00336.42-00337.62] 为什么呢
[00337.62-00341.18] 对于同意本说不同的人会产生不同的看法
[00341.18-00342.54] 所以在这里大家注意
[00342.54-00344.62] 他一旦考理解行题目的时候
[00344.62-00345.98] 在这
[00345.98-00347.52] 大家就要明確
[00347.52-00349.56] 考理件的題目的時候在這個地方
[00349.56-00351.62] 它就會以這個作為出的角度
[00351.62-00352.90] 第二個它會在這考議
[00352.90-00353.66] 考議了什麼呢
[00353.66-00356.72] 考議了一個實際行的選項或者判判體
[00356.72-00358.52] 說為什麼會出現
[00358.52-00360.32] 我們所說的同一個事物
[00360.32-00362.36] 不同的人會產生不同的看法呢
[00362.36-00364.42] 它為什麼會出現主體性呢
[00364.42-00365.44] 那是因為
[00365.44-00366.96] 這裡面會有一個原因
[00366.96-00368.00] 這個原因叫做啥呢
[00368.00-00369.02] 同樣標準一下
[00369.02-00371.32] 叫做主體差異性
[00372.60-00374.90] 叫做主體差異性
[00374.90-00377.42] 这些为主体差异性的存在
[00377.42-00381.42] 所以导致了我们所说的不同的看法产生了
[00381.42-00383.38] 那这个主体差异可能来自什么呢
[00383.38-00384.98] 可能来自你的经验
[00386.18-00388.10] 可能来自你的学时
[00389.30-00390.06] 等等
[00390.06-00391.18] 一系列的因素
[00391.18-00394.98] 都可能对我们所说的这个主体产生相的影响
[00394.98-00397.10] 一而产生了相的主体产性
[00397.10-00399.98] 所以在这个地方是我们所说的认识
[00399.98-00401.82] 所以我们俩的理解认识就是
[00401.82-00403.50] 同一个人对不同的事物
[00403.50-00405.70] 做了一些事,他產生了一定的看法
[00405.70-00407.34] 看法就叫做
[00407.34-00410.30] 認識,他可能是一個理論,也有可能
[00410.30-00413.06] 所以這個就叫做認識,大家先理解他
[00413.06-00414.98] 在這裡抽象出來,第一個點
[00414.98-00416.50] 認識的喊一
[00416.50-00418.50] 那麼知道了,什麼是認識之後呢?
[00418.50-00422.34] 我們來看一下,認識到底是怎麼形成呢呢?
[00422.34-00426.26] 在這裡面,我們要來看一下,認識過程的基本規律
[00426.26-00430.06] 認識的形成,實際是經過了兩次飛越
[00430.06-00434.06] 他其实是有两次非月来形成的
[00434.06-00439.56] 这两次非月第一次非月是从感兴人时到理兴人时
[00439.56-00445.06] 第二次非月是从理兴人时在我们所说的时间
[00445.06-00447.06] 这个是认识所形成的过程
[00447.06-00450.06] 如果老实认识就是一个看法
[00450.06-00452.06] 他怎么还分感性和理兴的
[00452.06-00453.06] 大家注意啊
[00453.06-00455.06] 比如说你刚刚接触一个事故的时候
[00455.06-00459.06] 你对于他的这种平判和理解都是非常直观的
[00459.06-00459.90] 食官的
[00459.90-00461.60] 我們把這種直觀的認識糟的什麼
[00461.60-00462.34] 感性認識
[00462.34-00464.62] 比如說我突然拿一個東西放在那裡
[00464.62-00465.90] 請我說你看這個東西
[00465.90-00469.10] 你的地方是先觀察它的外型顏色
[00469.10-00470.02] 那這種情況之下
[00470.02-00471.90] 你觀察它的外型顏色
[00471.90-00473.14] 你所形成的認識
[00473.14-00474.10] 就叫什麼認識
[00474.10-00475.14] 感性認識
[00475.14-00476.18] 所以我們來看一下
[00476.18-00477.50] 什麼叫的感性認識
[00477.50-00478.26] 先來看一下
[00478.26-00480.50] 第一次飛躍當中的感性認識
[00480.50-00482.14] 他說什麼是感性認識呢
[00482.14-00483.54] 同樣把這句話發出來
[00483.54-00484.66] 說感性認識
[00484.66-00486.70] 處於認識的第一級階段
[00486.70-00488.34] 把第一級話出來
[00488.34-00494.22] 在这里它说是在实现过程当中通过自己的肉体感官直接接触的外界世界
[00494.22-00497.86] 对于外界世界有个出过认识 那这个就叫做感性认识
[00497.86-00505.50] 所以感性感性就是你通过你的感觉气关直接获取的认知叫做感性认识
[00505.50-00507.98] 那这个感性认识里面大家注意一下
[00507.98-00511.70] 你眼睛看到的 耳朵听到的 比字文道的
[00511.70-00514.98] 然后嘴巴长到的身体所触默到的
[00514.98-00517.80] 所有的这些只有来自于你的感官
[00517.80-00518.94] 他都叫做什么
[00518.94-00521.12] 都叫做感性认识
[00521.12-00524.42] 感谢认识他分成三种具体的形式
[00524.42-00525.48] 同一面来看一下
[00525.98-00527.52] 在BG这形成圈一
[00527.52-00529.52] 在三种形式这地方形成圈
[00529.52-00530.94] 他的这三种形式
[00530.94-00533.68] 分为感觉之决和表象
[00533.68-00534.88] 什么是感觉呢
[00534.88-00538.02] 感觉是对于是我个别特性的描述
[00538.78-00539.56] 比如说
[00539.56-00541.74] 我现在把一部手机放在一面前
[00541.74-00542.78] 我说你看
[00542.78-00545.50] 你第一反应就是先看到了他的颜色
[00545.50-00547.10] 或者先看到了他的形状
[00547.10-00547.90] 你说
[00547.90-00549.42] 他是红色的
[00549.42-00551.82] 你看你在描述这个东西的时候说
[00551.82-00553.26] 他是红色的
[00553.26-00555.50] 是否只是对于这个手机颜色
[00555.50-00556.86] 个别特性的描述
[00556.86-00558.14] 只描述了他的颜色
[00558.14-00560.62] 那这个时候你做形成的这句话
[00560.62-00561.90] 你的表述的这句话
[00561.90-00562.78] 他就属于什么
[00562.78-00564.70] 他就属于感觉
[00564.70-00565.82] 那他就属于感觉
[00565.82-00567.18] 那什么是知觉呢
[00567.18-00569.58] 知觉是对于是我整体的描述
[00569.58-00570.86] 还是同一部手机
[00570.86-00572.46] 我放在你的面前 我说
[00572.46-00574.54] 被你看这个是什么
[00574.54-00576.06] 你拿起来看出哇
[00576.06-00577.82] 这是最新的手机
[00577.82-00579.10] Metre60
[00579.10-00579.98] 然后就开始说
[00579.98-00581.42] 它的平是这个样子的
[00581.42-00582.54] 它的颜色是这个样子
[00582.54-00584.14] 它的手机里面是这个样子
[00584.14-00585.34] 运行好流暢
[00585.34-00588.10] 你看你在跟我们描述整个这个手机的时候
[00588.10-00590.30] 我们发现说对于它整体的描述
[00590.30-00591.58] 这个就叫做什么
[00591.58-00592.62] 支纸
[00592.62-00595.50] 所以感觉是把所有的特性
[00595.50-00597.74] 是把个别的特性说了一下
[00597.74-00602.78] 而只只觉就是把整个感觉给它混合在块 描述这个事物
[00602.78-00604.10] 这个就叫做只觉
[00604.10-00606.26] 所以一个是对个别特性的描述
[00606.26-00607.98] 一个是对整体特性的描述
[00607.98-00610.54] 我说你看完这个手机喜不喜怀 这喜欢
[00610.54-00612.02] 然后我说好不好看
[00612.02-00612.70] 你说好看
[00612.70-00614.30] 我说你想要吗 你说想要
[00614.30-00616.78] 我说做梦了你 我就开开窗板这个手机
[00616.78-00618.34] 一下子扔到了窗外
[00618.34-00620.62] 然后掉到楼下 杂到了一个人 对吧
[00620.62-00623.18] 你看 我把手机扔去之后
[00623.18-00624.98] 然后你就在那说你真的多带一下
[00624.98-00626.90] 对吧 你不给我就不给我 我们还扔了
[00626.90-00630.86] 我说你现在能想起来刚才那个手机生前的阴容效贸吗
[00630.86-00633.54] 你说能想起来它的屏幕是什么样子
[00633.54-00634.94] 然后它长什么样子
[00634.94-00638.74] 那你看在这个里面的这个描述手机已经不在你的面前了
[00638.74-00639.14] 对吧
[00639.14-00643.22] 但是你的脑海当中还有关于它的一些毁益
[00643.22-00644.98] 那这个毁益就是啥呢
[00645.70-00648.82] 这个毁益就是我们所说的表象
[00648.82-00650.70] 所以在这里面大家注意一下
[00650.70-00654.14] 感兴认识在这个地方有两个细节的点
[00654.14-00655.68] 需要们去知道第一个
[00655.68-00657.28] 感觉器官所获得的
[00657.28-00658.60] 都过于直接了
[00658.60-00660.10] 所以它是地坈阶段
[00660.10-00660.68] 第二个
[00660.68-00662.54] 感兴认识有三种形式
[00662.54-00665.24] 叫做感觉之决和表象
[00665.24-00666.18] 那么说了
[00666.18-00667.90] 感觉器官所获得的
[00667.90-00669.26] 眼睛听到的
[00669.26-00670.46] 眼睛能听到
[00670.46-00671.66] 好神奇
[00671.66-00673.04] 眼睛看到的
[00673.04-00674.10] 耳朵听到的
[00674.10-00675.46] 比资文道的这东西
[00675.46-00676.54] 它很直接
[00676.54-00678.46] 但它过不够深刻
[00678.46-00679.54] 它不够深刻
[00679.54-00681.74] 因为它只是对于这个事物
[00681.74-00683.78] 外在特性的描述
[00683.78-00686.76] 他其實沒有對這個事務去進行深休
[00686.76-00688.20] 所以我們在這個裡面
[00688.20-00691.22] 感興認識他就要向另一個結論去過度
[00691.22-00693.00] 這個結論就叫做什麼呢
[00693.00-00694.78] 就叫做李星認識
[00694.78-00697.10] 所以感興認識在這裡
[00697.10-00699.98] 我們知道了剛才通過你所有的感覺
[00699.98-00701.44] 收益到了很多的信息
[00701.44-00703.92] 你要把這些信息進行處理和分析行程
[00703.92-00704.94] 李星認識
[00704.94-00706.30] 所以李星認識是啥呢
[00706.30-00706.82] 在這裡
[00706.82-00711.04] 他說李星認識是高級階段和高級形勢
[00711.04-00713.74] 是對剛才所有的感興認識的一種
[00713.74-00715.22] 抽象规娜
[00715.22-00716.54] 这个就叫做什么
[00716.54-00717.42] 李兄认识
[00717.42-00719.78] 李兄认识有三种形式
[00719.78-00721.10] 叫做概念
[00721.10-00722.50] 判断和推理
[00722.50-00724.94] 所以概念就是下定意外
[00724.94-00726.26] 这个东西他到底是什么
[00726.26-00728.06] 比如说人做是
[00728.06-00729.98] 人能做很多的事情
[00729.98-00730.78] 我可以吃饭
[00730.78-00731.54] 我可以睡觉
[00731.54-00732.18] 我可以刷的
[00732.18-00733.30] 我可以看电视
[00733.30-00734.54] 我也可以出去打价
[00734.54-00735.98] 我也可以出去偷东西
[00735.98-00737.98] 我甚至可以重地
[00737.98-00738.74] 可以打语
[00738.74-00740.14] 人能做的事情很多
[00740.14-00742.22] 这些事情都是你观测到的
[00742.22-00743.94] 那这些事情的背后
[00743.94-00746.42] 他们能不能抽象出来一个共同的东西
[00746.42-00747.42] 我们说可以
[00747.42-00749.38] 我们抽象出一个共同的东西造个什么
[00749.38-00750.46] 就做实际
[00750.46-00751.70] 所以实际
[00751.70-00755.18] 就通过刚才一系的描述给实际下了一个定义
[00755.18-00756.42] 这个定义就是什么
[00756.42-00757.86] 就叫做概念
[00757.86-00759.30] 所以同们有没有发现
[00759.30-00760.78] 我们所说的李兄认识
[00760.78-00763.86] 怕是加工抽象之后的结果
[00763.86-00766.22] 他比感兴认识王王要更怎么样
[00766.22-00768.26] 更深刻一些
[00768.26-00769.18] 所以在这里面
[00769.18-00771.30] 大家要注意一下这叫做概念
[00771.30-00774.12] 那什么叫做判断呢,判断呢就是根据
[00774.88-00782.56] 你现有的定义判断一个东西,它是或者是不是,那这个就要做判断,那最后一个就叫做推理
[00782.56-00791.52] 最后一个叫推理,那概念判断和推理,那在这里就有了,那这个就是我们所说的叫做李星人士,一共说三种形式
[00791.52-00801.26] 所以我们在这里就提到了,说认识的第一个飞月,那就是从直接的感谢认识,然后你的大脑,他就要把这些东西归那整个地方
[00801.26-00803.62] 找出它背後共同的一個特性
[00803.62-00804.78] 那就過渡到了什麼
[00804.78-00806.62] 李星任士可以給它下定意
[00806.62-00808.22] 進行判斷和推理
[00808.22-00809.50] 所以大家要知道
[00809.50-00811.42] 所以真的以感興任何李星任士
[00811.42-00814.54] 這個點只做一個醫興級的點來掌握就行了
[00814.54-00815.70] 知道誰是第一級
[00815.70-00816.74] 誰是高級
[00816.74-00819.34] 誰包括哪些形式
[00819.34-00820.30] 大家一定要知道
[00820.30-00822.06] 感興任士相來說比較低級
[00822.06-00823.78] 因為它很直接
[00823.78-00825.50] 但是它不深刻
[00825.50-00826.66] 所以大家要知道
[00826.66-00827.74] 所以在這個地方
[00827.74-00829.34] 這是第一次開月
[00829.34-00830.22] 大家要明確
[00830.22-00833.18] 那老师们讲了这么多他也没有其他考试的角度呢
[00833.18-00835.14] 其实还有一些其他考试的角度
[00835.14-00837.26] 除了对立感谢任何理学任事
[00837.26-00839.58] 他的具体表现和他的地位之外
[00839.58-00840.98] 考过这样的一个题
[00841.70-00843.90] 说我们经常听说一句话
[00843.90-00847.86] 叫做儿听维区演件维区
[00847.86-00851.06] 但是我们会发现演件也不一定维区
[00851.06-00851.54] 对吧
[00851.54-00852.86] 所以在这里她就说了
[00852.86-00854.50] 说儿听维区
[00857.42-00858.74] 演件维区
[00860.22-00866.42] 这句话他是对的呢,还是错的呢,还是对一般错一般呢
[00866.42-00870.22] 打注意呀,那你说老师他考这个题,他本身想就要干嘛
[00870.22-00880.22] 而多也好,眼睛也好,他是人体的感觉器官,一旦和人体的感觉器官有关的话,那他就会涉一到什么,感性认识
[00880.22-00885.22] 所以我们所说的,而听委屈,而多听见的是感性认识吧
[00885.22-00888.46] 那这个感性认识他可能是虚假的
[00888.46-00889.42] 为什么是虚假的
[00889.42-00891.02] 因为他太直接了
[00891.02-00892.62] 他只能估计到片面的消息
[00892.62-00893.98] 他没有经过分析
[00893.98-00895.82] 所以耳听为虚
[00895.82-00896.66] 那就为虚感
[00896.66-00898.14] 这句话说的是对的
[00898.14-00899.74] 那眼间为时
[00899.74-00900.94] 眼间为时说的
[00900.94-00902.22] 也一定是正确的吗
[00902.22-00902.90] 大家注意一下
[00902.90-00903.98] 眼间为时这句话
[00903.98-00905.54] 就可能是错的
[00905.54-00906.78] 因为眼已经看见的
[00906.78-00907.74] 还是什么认识
[00907.74-00909.42] 还是感性认识
[00909.42-00910.74] 感性认识直接
[00910.74-00911.58] 但不深刻
[00911.58-00913.10] 所以你眼睛看到的
[00913.10-00914.58] 没有经过分析处理的
[00914.58-00916.58] 他不一定就是真的
[00916.58-00919.06] 所以在这里他所给到的眼见
[00919.06-00921.14] 维持这句话就不对了
[00921.14-00922.34] 所以他让你判断说
[00922.34-00924.10] 而听维训眼见维持这句话
[00924.10-00926.66] 是全对还是全错还是对一般错一般
[00926.66-00928.66] 那就知道是对一般错一般
[00928.66-00929.94] 他说了这句话
[00929.94-00931.70] 其实本质上在考察那个点
[00931.70-00934.26] 本质上在考察感性认识
[00934.26-00935.38] 大家就记住
[00935.38-00936.98] 感性认识直接
[00936.98-00938.50] 但是不深刻
[00938.50-00940.98] 不深刻的东西不一定就是对的
[00940.98-00942.02] 所以大家注意一下
[00942.02-00944.26] 这是我们所说的
[00944.26-00947.84] 认识的第一次匪院从感兴到底性
[00947.84-00949.94] 你说老师为什么要从感兴到理性
[00949.94-00950.94] 没有办法
[00950.94-00953.54] 因为我们人的认识的本性
[00953.54-00955.48] 就是要追求理性认知
[00955.48-00956.58] 因为我们
[00956.58-00958.72] 接触到各种各样的事务的时候
[00958.72-00961.58] 你的本能就是要把他们去归纳出来
[00961.58-00963.18] 他背后共同的特征
[00963.18-00966.78] 所以在这里面我们才有了从感兴到理性认识
[00966.78-00969.34] 从原来的零散的碎片化的
[00969.34-00972.58] 直观的东西变成了深刻的系统化的东西
[00972.58-00975.06] 那這個是從感現實道理性認識
[00975.06-00978.06] 那從理性認識到中有了概念判斷和推理
[00978.06-00979.66] 有了系統化的認知
[00979.66-00981.86] 我們就可以用理性認識去干嘛
[00981.86-00983.22] 去知道時間了
[00983.22-00984.74] 這是我們所說的
[00984.74-00985.78] 有關認識的
[00985.78-00987.26] 它的感性和理性
[00987.26-00989.74] 那知道了感性認識的時候
[00989.74-00991.46] 那我們來看一下第三個點
[00991.46-00994.58] 就要感性認識和理性認識的變正關係
[00994.58-00995.78] 他們之間有什麼關係的
[00995.78-00996.78] 首先第一個
[00996.78-00998.22] 說理性認識
[00998.22-01000.58] 依賴於感性認識
[01000.58-01003.66] 因為李星任事是否下定意
[01003.66-01005.90] 那你下定意你咋給的下定意
[01005.90-01007.30] 你是不是帶有足夠的素材
[01007.30-01010.18] 那你這些素材從來就是眼睛看到的
[01010.18-01010.90] 都聽到的
[01010.90-01012.18] 你受平時接觸到的
[01012.18-01015.54] 所以李星任事依賴於感星任事
[01015.54-01018.10] 或者我們也可以說是感星任事
[01018.10-01019.78] 是李星任事的什麼基礎
[01021.06-01024.46] 感星任事是李星任事的基礎
[01026.34-01028.66] 只是第一個叫李星任事
[01028.66-01029.70] 依賴於感星任事
[01029.70-01031.50] 第二個就是我們所說的
[01031.50-01035.50] 感興認識有待於發展成為李興認識
[01035.50-01039.18] 因為感興認識他直接碎片花了不深刻
[01039.18-01042.30] 所以在這裡面小便惜是我認識我
[01042.30-01045.34] 你必須要對事務進行分析抽象出來具體的概念
[01045.34-01048.98] 所以在這裡說感興認識有待於發展成李興認識
[01048.98-01052.86] 第三句話叫感興認識和李興認識相互滲透
[01052.86-01055.30] 比如說你對一個事務描述的時候
[01055.30-01057.10] 他是感興和李興分不開的
[01057.10-01059.50] 比如說我說以資識黑色的
[01059.50-01088.62] 以资许黑色的,同们来看一下这句话,你单纯的看这句话,你觉得它是感性认识的,是老师,是黑色黑色,那只是对于这个是我个别特性的描述,那个别特性的描述属于感觉,那今天是感觉,那它就一定是感性认识,对吧,这句话是一个感性认识没错,但是大家注意一下,这里面出现了两个概念,一个叫做以资,一个叫做黑色。
[01088.62-01089.94] 椅子是一个概念
[01089.94-01091.22] 黑色也是一个概念
[01091.22-01092.54] 那这两个词
[01092.54-01093.86] 它本身是什么
[01093.86-01096.78] 它本身是一个理性认识
[01096.78-01097.58] 在这个地方
[01097.58-01098.54] 我们就要知道
[01098.54-01099.82] 所以椅子是黑色的
[01099.82-01100.78] 椅子和黑色
[01100.78-01102.50] 它是不是两个概念
[01102.50-01104.06] 那既然是两个概念
[01104.06-01104.74] 在这里面
[01104.74-01106.42] 它就是理性认识
[01106.42-01107.26] 你看
[01107.26-01109.38] 这句话整体是感谢认识的描述
[01109.38-01111.02] 但是在感谢认识当中
[01111.02-01112.78] 滩透着理性认识
[01112.78-01114.78] 这个叫感谢和理性怎么样
[01114.78-01116.74] 相互滩透
[01116.74-01117.58] 在这个地方
[01117.58-01119.38] 大家一定要明確
[01119.38-01121.30] 感谢日舍李神日式的变政关系
[01121.30-01122.18] 它其实考点
[01122.18-01124.18] 第一个就是谁是基础
[01124.18-01126.22] 这句话经常会穿在选丧中
[01126.22-01129.06] 第二个就是相互选碰
[01129.06-01132.30] 这两个点同学们要去理解它
[01132.30-01135.62] 这是我们认识过程的第一次飞月
[01135.62-01137.30] 认识过程的第一次飞月
[01137.30-01139.86] 有第一次飞月咱们说了还有什么
[01139.86-01140.86] 第二次飞月
[01140.86-01141.94] 第二次飞月
[01141.94-01143.54] 我把他写在下面
[01144.74-01145.74] 第二次飞月
[01145.74-01150.26] 第二次飛越就是用形成的理論,我們叫做理性人士
[01151.58-01155.34] 從理性人士去知道什麼呢?去知道實踐
[01155.34-01159.62] 所以第二次飛越就是從理性人士到實踐的過程
[01159.62-01163.34] 這實認識過程的基本規律,大家知道
[01163.34-01167.82] 除了認識過程的基本規律,他說了,人類的認識還有一個總的規律
[01167.82-01170.94] 總的規律是啥呢?為他寫下,你就知道了
[01170.94-01174.28] 就是我们先去做一件事叫做时间
[01174.28-01174.78] 对吧
[01174.78-01178.12] 然后从时间先从时间会形成什么认识
[01178.12-01179.14] 去做事吗
[01179.14-01182.08] 你接触这个事物只跟先从感官开始
[01182.08-01184.46] 所以先形成感性认识
[01184.46-01188.86] 然后感性认识不断深化抽象形成了理性认识
[01189.88-01193.42] 然后我们再用理性认识去直到时间
[01193.42-01196.74] 然后再在时间当中反复去解严
[01196.74-01200.64] 这个认识在时间当中形成感性认识
[01200.64-01202.64] 然后理兴认识
[01202.64-01204.86] 然后再去直到时间
[01204.86-01207.68] 所以你看我们对于认识的深化过程
[01207.68-01210.64] 就是不断的往复循环的一个过程
[01210.64-01213.90] 那这里面我们如果不去分感兴认识和理兴认识的话
[01213.90-01216.60] 就是叫做从时间到认识
[01216.60-01218.00] 在从认识到时间
[01218.00-01219.98] 在从时间到认识
[01219.98-01221.46] 循环往复的过程
