[00000.00-00003.00] 好 那我就把行政法给大家讲完了
[00003.00-00005.00] 那我们在整个行政法当中呢
[00333.74-00334.58] 他属于什么
[00334.58-00336.54] 他属于抽象行动行为
[00336.54-00338.02] 你在去呼一我的时候
[00338.02-00339.38] 针对于这个处发决定
[00339.38-00341.38] 你在去呼一我的时候
[00341.38-00343.54] 你可以针对我给你开的这个处发
[00343.54-00344.14] 呼一我
[00344.14-00349.26] 也可以怎么样 也可以就其中的抽象形政行为提起负带性的市场
[00349.26-00354.38] 有的是什么叫负带呢 就是你负异我 罚款之间事
[00354.38-00358.86] 然后你又看了一下那个 这样管理出来法 你说他合理吗 他这个设置的
[00358.86-00363.86] 就可以负带性的把这个形政主席的主席的主张中的法律一句提起
[00363.86-00366.54] 相用的负异 移并提起负异 这个叫什么
[00366.54-00372.30] 这个叫负异具体形政行为同时负带不负负责 抽象形政行为的市场
[00372.30-00375.26] 你能不能说 老师 我服这个法款
[00375.26-00377.86] 我都认 我这是不服里面的法律一句
[00377.86-00381.26] 你直接单独的去起诉里面的这个法律一句
[00381.26-00383.74] 单独的去起诉这个抽象行政行为不想
[00383.74-00385.14] 行向 不行
[00385.14-00387.78] 因为这里大家注意一下 你的行政福利的范围
[00387.78-00390.46] 你主要是服意什么 具体行政行为
[00390.46-00394.50] 你这里的创行政行为只是傅代行和省长
[00394.50-00401.22] 你不能直接体验 明白了吧 不能 直接
[00401.22-00403.70] 叫不能直接副一
[00404.82-00406.94] 或者是什么 或者是起诉
[00406.94-00408.02] 大家要注意一下
[00408.02-00411.26] 这个就是我们所说的形容副一的犯类
[00411.26-00411.90] 形容副一犯类
[00411.90-00413.10] 这是可以副一的实现
[00413.10-00414.82] 要升级的理解形的题目
[00414.82-00416.14] 一定要注意 考案力
[00416.14-00417.26] 问你哪些可以副一
[00417.26-00418.14] 哪些可以诉受
[00418.14-00420.70] 你知道副一和诉讼的犯类是一样的
[00420.70-00422.18] 在这里大家要明确
[00422.18-00424.30] 那形容副一 哪些不能副一
[00424.30-00426.26] 第一个 法规和规则都不能副一
[00426.26-00427.90] 只听不行 它属于什么
[00427.90-00429.34] 他属于第一个
[00429.34-00431.22] 抽象形装行为不能单独复业
[00431.22-00431.90] 第二个
[00431.90-00432.50] 他的
[00432.78-00434.58] 我们所说的规格比较高
[00434.58-00435.46] 规格比较高的
[00435.46-00437.62] 那一般小人下推定和劳续不复业
[00437.62-00438.14] 第二个
[00438.14-00439.42] 形装机关的形装处分
[00439.42-00440.30] 捧门注意下
[00440.30-00442.10] 形装处分为什么不能复业
[00442.58-00445.54] 形装复业针对的是具体形装行为
[00445.54-00448.26] 具体形装行为一定要具有一定的外部性
[00448.26-00451.94] 他针对的是形装机关以外的公民法院或其他组织
[00451.94-00453.38] 形装处分是针对什么
[00453.38-00455.06] 是针对内部的
[00455.06-00456.22] 所以形装处分
[00457.02-00457.70] 不能复业
[00457.70-00460.10] 迷事业分能不能提起行政福言
[00460.10-00461.94] 你都迷事业分了
[00461.94-00463.70] 同学们迷事业分你干嘛
[00463.70-00466.02] 你又迷事业分你去找迷人诉楼
[00466.02-00467.54] 对吧你是找迷法楼
[00467.54-00469.06] 你不要找行政机关嘛
[00469.06-00469.86] 所以在这里
[00469.86-00472.74] 迷事业分他没有办法提起福言
[00472.74-00474.18] 所以在这里面你看
[00474.18-00476.34] 我们续不需要去被反向的
[00476.34-00478.18] 福利的排除师兄的不用
[00478.18-00481.30] 因为反向的福利的排除师兄非常非常多
[00481.30-00483.22] 我在这里只给大家落劣了这几个
[00483.22-00484.50] 他有了老多了
[00484.50-00485.54] 那这时候你背不完
[00485.54-00486.10] 你怎么办
[00486.10-00487.46] 你就抓住一个核心点
[00487.46-00490.14] 行政呼籲它覆裔的是具体行政行为
[00490.14-00492.50] 具体行政行为要符合咱们第一天讲的
[00492.50-00495.14] 要具有行政行处分行
[00495.14-00498.50] 还有我们所说的外不行 对吧
[00498.50-00499.78] 等等这一系列的
[00499.78-00501.38] 这种情况之下你看
[00501.38-00502.38] 它不具有外不行
[00502.38-00503.94] 这是内部的不能覆裔
[00503.94-00506.34] 它没有行政行这是民事就分不能覆裔
[00506.34-00507.30] 你就抓住
[00507.30-00509.38] 正向去及具体行政行为特行就行了
[00509.38-00510.98] 反向就不用去管了
[00510.98-00512.10] 就不用去被这么多了
[00512.10-00512.82] 你卖了吧
[00512.82-00514.46] 所以这是行政覆裔的什么
[00514.46-00515.62] 排除实相
[00515.62-00516.98] 所以在这我们就知道了
[00516.98-00519.02] 行政福亿是富亿什么
[00519.02-00520.56] 是富亿具体形容行为
[00520.56-00523.50] 也可以同时富带抽象行政行为进行福亿
[00523.50-00524.76] 福亿他的什么呢
[00524.76-00525.66] 我们刚才说了
[00525.66-00528.02] 一方面是福亿他的合理行
[00528.02-00529.90] 也叫事当行同时呢
[00530.90-00533.10] 还福亿他的合法行
[00533.10-00534.30] 福亿他的合法行
[00534.30-00535.62] 这是他的审查
[00536.30-00537.54] 这是他的审查
[00537.54-00538.22] 范围
[00538.22-00539.02] 所以大家注意一下
[00539.02-00540.54] 这是行政福亿
[00540.54-00542.22] 福亿就是你够嘛
[00542.22-00542.54] 对吧
[00542.54-00543.46] 我们经常说了
[00543.46-00544.66] 福亿就是民够过
[00544.66-00545.50] 你往上够
[00545.50-00547.28] 你告谁呢 你告他的上级
[00547.28-00549.22] 所以在这里面在行政副一当短
[00549.22-00552.30] 我们就要确定行政副一餐家人和行政副一的情
[00552.30-00553.68] 呃 疾观啊
[00553.68-00556.32] 说行政副一呢 分为申请人和被申请人
[00556.32-00557.90] 谁呢副一的申请人是什么
[00557.90-00560.16] 申请副一的公民法人和其他组织
[00560.16-00562.14] 比如说我对你进行法馆
[00562.14-00564.04] 你不服 你要网上告
[00564.04-00565.00] 你就是什么
[00565.00-00566.82] 你就是行政副一申请人
[00566.82-00569.44] 所以行政副一申请人一般就是我们所说的什么
[00569.44-00571.06] 民公民法人其他组织
[00571.06-00573.92] 而副一被申请人就是民高官当中的
[00573.92-00575.90] 官他可能包括的是什么
[00575.90-00578.40] 注意要这个形容主体可能是行政
[00578.40-00580.50] 机关可不可以是受捡组织
[00580.50-00581.86] 也有可能是组织
[00581.86-00583.94] 所以在这里面大家要注意去去分
[00583.94-00586.86] 所以这个点没有什么难度
[00586.86-00588.04] 这个点没有什么难度
[00588.04-00590.82] 其实在本身上行政副一的申请人
[00590.82-00592.56] 就是行政诉讼的远告
[00592.56-00593.88] 行政副一的被申请人
[00593.88-00595.20] 就是行政诉讼的被告
[00595.20-00596.20] 它是同一个人
[00596.20-00598.96] 只过是在不同的就计程序当中
[00598.96-00599.96] 它叫不同的名
[00599.96-00603.04] 比如说我代表的是交通管理公版
[00603.04-00604.12] 反映言
[00605.24-00605.96] 20块钱
[00605.96-00606.36] 对吧
[00606.36-00607.40] 这个是一个形容出
[00607.40-00608.40] 这些形容性感
[00608.40-00609.60] 如果你走的是形容
[00609.60-00611.36] 这副一程许你要告诉我
[00611.36-00612.48] 你告诉我
[00612.48-00613.12] 你告诉我
[00613.12-00614.04] 那你就是什么
[00614.04-00615.12] 你在副一程许当中
[00615.12-00616.88] 你就叫形容副一申请人
[00616.88-00617.76] 我就叫什么
[00617.76-00619.04] 我就叫做背申请人
[00619.04-00620.20] 但大家注意一下
[00620.20-00621.48] 我这个我
[00621.48-00623.16] 不是说你告解瑞
[00623.16-00624.04] 不是告解瑞的人
[00624.04-00625.40] 而是告解瑞背后的什么
[00625.40-00626.04] 形容局官
[00626.04-00627.40] 比如说我就是要交剪
[00628.32-00629.16] 那我交剪的话
[00629.16-00630.00] 你告的一定是什么
[00630.00-00631.16] 你一定是公安的
[00631.16-00631.84] 对吧
[00631.84-00632.40] 所以你看
[00632.40-00635.48] 你这时候你跟我关机关注是什么被生情人
[00635.48-00637.36] 那你现在你说我不找你的上节
[00637.36-00638.48] 我觉得找你上节
[00638.48-00640.32] 他反正你们都是行政系统的
[00640.32-00642.88] 可能会出现互相串通的政情况
[00642.88-00644.24] 我找谁我直接找法院
[00644.24-00646.56] 你直接找法院走个就是什么走个就诉送
[00646.56-00648.96] 那走诉送你就是行政诉送的远告
[00648.96-00650.24] 你看程序不一样
[00650.24-00652.32] 他的名称不一样你告诉公安
[00652.32-00653.36] 对吧你告诉公安
[00653.36-00653.60] 你告诉公安
[00653.60-00654.16] 你告诉公安
[00654.16-00655.44] 你告诉公安
[00655.44-00656.32] 你告诉公安
[00656.32-00657.36] 你告诉公安
[00657.36-00657.44] 你告诉公安
[00657.44-00658.16] 你告诉公安
[00658.16-00660.32] 行政的行政诉送的背高
[00660.32-00662.00] 所以他人是一个人
[00662.00-00664.56] 只会是在不同的纠级程序当中
[00664.56-00666.36] 他的名称怎么样不一样
[00666.36-00670.00] 所以在这,大家就明白什么叫申请人,什么叫贝申请人
[00670.00-00673.48] 我们讲到后面的时候,你知道什么叫贝告什么叫缘告就OK了
[00673.48-00677.80] 所以在这里大家注意下,这是行政副一个参加人
[00677.80-00680.96] 那么说,行政副也是副一找商集嘛,你是高嘛
[00680.96-00684.48] 对吧,所以干嘛呢,所以副一找上级,你要网上高
[00684.48-00687.44] 关键就是你网上高的时候,它的上级都哪些
[00687.44-00691.12] 你可以,高哪些上级,这个才是最关键的
[00692.00-00693.74] 所以我们来看一下呼一
[00693.74-00695.14] 你现在跑面看一下
[00695.14-00697.60] 呼一机关两星期的理解型的知识点
[00697.60-00698.96] 他就给你一个案例
[00698.96-00700.92] 然后说这件事是谁做了什么
[00700.92-00702.74] 说他可以向谁进行呼一
[00702.74-00704.16] AB,CV,Slow,选项
[00704.16-00705.80] 那你就要把具体的选出来
[00705.80-00706.80] 我们原子上说
[00706.80-00707.84] 说呼一干嘛呢
[00707.84-00710.04] 呼一,找上级
[00711.28-00712.32] 呼一找上级
[00712.32-00713.56] 先把口节写在旁边
[00713.56-00715.36] 叫做不级找自己
[00716.56-00718.56] 或者叫做省不找自己
[00722.00-00728.80] 这扩个口诊 现在旁边叫副医找商集也省部 找部 找自己
[00728.80-00734.00] 你上面有几个上节 你就找几个来看一下 举个简单例子 首先第一个 你看
[00734.00-00743.00] 假设 你现在高的是谁呢 你现在高的 主是副医的被申请人士中复的部门 比如说你现在高的是什么 线公安局
[00744.00-00748.60] 对吧 那你看 你这个时候就是针对我 对你法款的真是你不服
[00748.60-00750.40] 我激你的这个法官处罚
[00750.40-00751.80] 我代表的是线官据
[00751.80-00753.40] 你是否要申请线官据
[00753.40-00756.00] 线官据的上级有几个同学想一下
[00756.00-00757.80] 线官据的上级有两个
[00757.80-00761.40] 第一个就是在行政主管上主管他的
[00761.40-00763.40] 事官据是他的上级吧
[00763.40-00765.40] 想想咱们第一天画的行政图
[00765.40-00766.40] 第二个就是什么
[00766.40-00769.40] 线政府是否他的上级
[00769.40-00772.40] 线政府也是他的上级
[00772.40-00776.00] 所以你看在这里面我们所提到的这个
[00776.00-00784.90] 来看一下,在这里面我们所提到的内容,它其实就属于什么,它属于我们所说的这个
[00784.90-00794.90] 两个,它有两个以上付一级万的情况,就是大部分情况都是两个以上的付一级万,要么就是找同级的政府,要么就是找它上级的什么,主观部门
[00794.90-00797.30] 所以在这里面我们说了叫做富一召上级
[00797.30-00799.10] 你就往上属它的上级有谁就行了
[00799.10-00802.14] 那如果现在去告现交易局那一样的
[00802.14-00803.86] 你告现交易局现交易局
[00803.86-00806.30] 还有几个老大
[00806.30-00806.98] 两个嘛
[00806.98-00808.14] 还有两个大哥
[00808.14-00809.50] 一个就是现政府
[00809.50-00810.82] 一个就是我们所说的什么
[00810.82-00811.66] 市交易局
[00811.66-00813.34] 就是咱们第一天花的那个图
[00813.34-00815.74] 这是国务院省政府
[00815.74-00818.46] 然后还有我们所说的市政府
[00818.46-00820.82] 然后还有我们所说的现政府
[00820.82-00822.98] 还有我们所说的相政府
[00822.98-00824.82] 然后但是我们说了这些都叫做
[00824.82-00827.34] 一般形容机关或者终合管理机关
[00827.34-00828.00] 所以我们说了
[00828.00-00829.90] 现在可能下面会有公安局
[00829.90-00832.70] 首先国务院下马会社公安部
[00832.70-00834.78] 官部下会社公安提
[00834.78-00836.78] 官提下会社公安局
[00836.78-00839.38] 官局下会社公安分局
[00840.42-00841.26] 那你看
[00841.26-00843.38] 这个时候是省公安提
[00843.38-00844.66] 是公安局
[00844.66-00845.82] 线公安分局
[00845.82-00848.02] 你现在告诉线公安分局
[00848.02-00849.46] 你告诉我线公安分局
[00849.46-00851.10] 网上他归谁管
[00851.10-00852.62] 第一个会线政府管
[00852.62-00854.54] 第二个会是公安局管
[00854.54-00855.94] 所以他副一找相接
[00855.94-00857.74] 他的顶头上有几个老大
[00857.74-00860.54] 两个有几个老大你就找几个老大就行了
[00860.54-00862.10] 那这个就是第一个
[00862.10-00863.74] 你去副一政府公门
[00863.74-00865.14] 副一政府公门的时候
[00865.14-00866.70] 我们说了一般情况下
[00866.70-00868.82] 他的副一集官
[00869.82-00870.94] 在这里注意
[00870.94-00872.74] 他的副一集官在这里有两种情况
[00872.74-00874.82] 第一种就是要同级政府
[00874.82-00877.34] 第二个就是上一节主观部门
[00877.34-00878.30] 所以大家注意一下
[00878.30-00880.94] 这是第一个我们所说的这做政府公门
[00880.94-00883.34] 第二个情况就是副一找相接
[00883.34-00885.90] 但是他只有一个上级机关 什么情况呢
[00885.90-00888.98] 第一个就是省级以下的政府
[00888.98-00890.50] 你看像政府的话
[00891.54-00892.82] 同时不用单诺去呗
[00892.82-00894.10] 你就抓住这个原则
[00894.10-00895.38] 我们就计特殊的就想
[00895.38-00896.90] 你看省级一下的政府
[00896.90-00898.46] 政府只为谁来管
[00898.46-00899.98] 政府只为政府来管
[00899.98-00902.30] 所以你看省级一下的政府要找谁
[00902.30-00904.46] 找上级人民政府
[00904.46-00905.30] 就是上级解
[00905.30-00907.42] 比如说像政府
[00907.42-00909.18] 你要告相着府你就找现政府
[00909.18-00911.18] 你要告现着府你就找市政府
[00911.18-00913.30] 所以省级以下的政府
[00913.30-00916.88] 你就只能找上一集人民政府
[00916.88-00917.40] 明白了吧
[00917.40-00919.44] 但这里我确定的是什么省级下
[00919.44-00921.10] 说老师那省级政府呢
[00921.10-00922.36] 我要去告诉省政府
[00922.36-00923.80] 那你就只能找省政府了
[00923.80-00925.06] 因为在这里我们说了
[00925.06-00926.88] 叫什么省部找自己
[00926.88-00927.88] 省部找自己
[00928.92-00930.20] 所以大家一定要注意一下
[00930.20-00931.22] 这是第二个
[00931.22-00931.86] 那你看
[00931.86-00933.54] 在我下的垂直领导机关
[00933.54-00934.54] 垂直领导机关
[00934.54-00936.08] 就是实现的
[00936.08-00938.52] 这时候只能找上一集的主观部门
[00938.52-00939.16] 比如说
[00939.92-00942.62] 海关金融外会国安和老税无
[00942.62-00942.90] 对吧
[00942.90-00945.58] 那你看像事务的话他是吹职领导系统
[00945.58-00947.06] 海关的话也是要的
[00947.06-00950.14] 所以他就只能早自以上一集的主管机关
[00950.14-00952.34] 那在我下就是政府的派出机关
[00952.34-00954.02] 派出机关咱们讲过吧
[00954.02-00955.38] 派出机关是什么
[00955.38-00957.30] 是有全政府设立的
[00957.30-00960.06] 这个时候谁派出的就找谁
[00960.06-00961.26] 行政公署
[00961.26-00962.62] 省意及政府派出的
[00962.62-00964.10] 那就去找省意及政府
[00964.10-00964.62] 对吧
[00964.62-00966.90] 就要拜扯去或者是什么
[00966.90-00968.22] 是谁派出的
[00968.22-00970.94] 那你就找是谁派出的
[00970.94-00982.54] 就找谁服役,明白了,所以你看这是派出机关,那被收钱的组织也是一样的,被收钱的组织,谁收权就找谁呆,就是找他的直接关去组织。
[00982.54-00990.66] 所以你看他不是不敢,你就找他的什么,你就找他的负责人就行了。所以这种情况还是只有一个上级机关,我们说了副一照上级,
[00990.66-00997.46] 那副一掌上集,它有一个限定,就是什么省部级的单位,省部级的单位,这个点特殊去接就行了。
[00998.26-01000.50] 一个是这个案,大家注意一下。
[01002.66-01012.30] 口询,然后你看,如果是省部级的省部级的,就找谁,副一机关注找他自己,比如说你现在想要副一谁,副一,你现在要副一,
[01012.90-01019.46] 我要比如说我要副一司法部,那啥呢?因为我呢,他没给我发挣说,我这个政策都已经合格了,他没给我发。
[01019.46-01021.46] 那我就要付一怎么样 司法部
[01021.46-01022.94] 我要付一司法部的话
[01022.94-01024.20] 大家注意一下 我找谁付一
[01024.20-01026.84] 省部极单位 找自己
[01026.84-01028.94] 付一找上级省部 找自己
[01028.94-01030.38] 它是不是属于不极单位
[01030.38-01033.82] 那就是我们付一只能找谁 只能找司法部
[01035.46-01037.12] 有或者我现在要付一什么
[01037.12-01038.46] 付一合为省政府
[01038.96-01040.78] 付一合为省人民政府
[01040.78-01042.02] 付一合为省人民政府
[01042.02-01043.74] 这是省一极的单位
[01043.74-01045.42] 省部 找自己
[01045.42-01048.34] 那我只能找谁 只能找合为省人民政府
[01048.34-01049.10] 明白了吧
[01049.10-01051.82] 所以副一找上级原子这是原子
[01051.82-01053.48] 它有一个上级会两个上级
[01053.48-01054.48] 它有几个
[01054.48-01056.66] 但是省部级找自己
[01056.66-01057.60] 所以大家注意
[01057.60-01060.18] 副一找上级省部找自己
[01060.18-01061.08] 所以在这
[01061.08-01061.90] 扣出情况
[01061.90-01062.50] 特术处理
[01062.50-01063.38] 这个看一下就行了
[01063.38-01064.46] 被车销的几关
[01064.46-01066.56] 都被车销了原级关找不到了
[01066.56-01068.00] 那谁记成了
[01068.00-01069.84] 它的只你就找谁
[01069.84-01071.04] 多个形容几关
[01071.04-01072.86] 那就找共同的上级
[01072.86-01073.60] 派出机构
[01073.60-01074.34] 大家注意一下
[01074.34-01075.56] 派出机构原子
[01075.56-01077.32] 不能做形状主体
[01077.32-01078.16] 但是派出机构
[01078.16-01080.96] 所以在个主观部门会主观部门的同意政府可以做
[01080.96-01085.40] 你就知道副一机构 拍出机构原则找上几
[01085.40-01086.80] 早上就就可以了
[01087.52-01089.00] 所以在这里面大住一样
[01089.00-01091.24] 所以它看得是很多 但是住一个口觉
[01091.24-01094.72] 你就知道副一找上几有几个
[01094.72-01098.12] 然后省部找自己 这是立外情况
[01098.12-01100.68] 就一下这是行政副一
[01100.68-01104.28] 它的机关行政副一的机关在这里带着明确
[01104.28-01107.56] 那知道了,就是像上高,那我们就要知道了
[01107.56-01111.40] 明高官,我就可以找他的老大,但是怎么高呢?
[01112.20-01114.80] 你这个生气的形容扶银,怎么去告他呢?
[01114.80-01117.32] 这里面就有一个形容扶银的程序
[01117.32-01118.48] 形容扶银的程序呢?
[01118.48-01122.56] 第一个就是,你必须要怎么样,生气,那生气的话大家都知道
[01122.56-01128.84] 他关管棉,你不服,你去告他,你就要像有关的不能去生气,去生气的形容扶银
[01128.84-01131.36] 怎么生气呢?他有一个时间限制啊?
[01131.36-01134.16] 说自知道该具体形认行为
[01134.16-01137.36] 知解六十日内提出行照服役
[01137.36-01139.28] 但是我们说了原则上实
[01139.28-01140.12] 六十日
[01140.12-01141.20] 那也就是说
[01141.20-01142.00] 在这种情况下
[01142.00-01143.44] 如果有法律其他规定的话
[01143.44-01144.44] 可以超过六十日
[01144.44-01146.36] 所以比如说我给你处罚了
[01147.04-01148.36] 你可以自收到处罚
[01148.36-01149.72] 决定书知起
[01149.72-01151.44] 因为你收到处罚决定说
