[00000.00-00004.36] 要学的这个朝代或者说这个时期相对来说会比较特殊一点
[00109.12-00111.16] 有一个大概的这个了解
[00111.16-00114.64] 三国我们都知道叫东汉莫年分三国
[00114.64-00117.36] 听到这句话同时没有点实无性
[00117.84-00120.12] 也没有喜欢林郡节的小伙伴
[00120.12-00121.52] 让我看到你们的双手
[00121.52-00124.36] 对吧 叫东汉莫年分三国
[00124.36-00126.08] 就东汉莫年分出来了
[00126.08-00127.12] 为主
[00127.12-00129.24] 而在东汉莫年为主当中
[00129.24-00130.52] 我们都知道为家
[00130.52-00132.88] 对吧 最后是草甲
[00132.88-00134.32] 可以许许说是为家
[00134.32-00135.48] 比如说是草甲
[00135.48-00137.52] 我们所说的草操他们一家
[00137.52-00140.60] 最后就取代了皇帝建立了为国
[00140.60-00142.28] 而到了后面的时候我们说了
[00142.28-00145.08] 司马家寸权高零平之变
[00145.08-00146.40] 在这种情况之下
[00146.40-00148.00] 就掌握了我们所说的
[00148.00-00150.88] 为国的主权建立了我们所给到的吸进
[00150.88-00153.32] 而吸进之后又了我们所说的东西
[00153.32-00155.08] 东西之后我们所说的
[00156.00-00158.24] 大将留育就灭了东西
[00158.24-00159.24] 建立了送炒
[00159.24-00161.36] 后面就有了我们所说的送起两层
[00161.36-00162.64] 而这送起两层
[00162.64-00164.64] 这些政权主要是在北方
[00164.64-00166.64] 所以我们把这些政权的这些
[00166.64-00169.80] 铃历的情况称着叫做北朝
[00169.80-00173.76] 而在冬金统治时期出现了少数民族正权
[00173.76-00175.96] 来我们所说的统治的情况
[00175.96-00179.52] 这个时候就进入到我们所说的屋湖十六过十七
[00179.52-00182.52] 而在这里面主要是我们所说的先杯组
[00182.52-00184.72] 对吧 北位校立改革建立了北位
[00184.72-00187.92] 而北位最后又分裂出来了东位和西位
[00187.92-00191.32] 而他们分别为北州和北七所取代
[00191.32-00194.32] 所以我们把这种北方正权联力的情况
[00194.32-00195.32] 称这位叫做
[00196.04-00196.92] 北朝
[00196.92-00198.28] 所以同时没有知道
[00198.28-00202.88] 三国两进是按照时间线上的更跌的
[00202.88-00204.88] 而我们所说的南朝和北朝
[00204.88-00207.08] 它其实是空间上的更跌
[00207.08-00208.88] 而并非时间上的更跌
[00208.88-00210.88] 它不是说现有南朝在有北朝
[00210.88-00213.20] 而是南方政权和北方政权
[00213.20-00214.68] 并立得这样的一个情况
[00214.68-00217.88] 我们把它统称为叫做南北朝
[00217.88-00219.28] 统称为叫做南北朝
[00219.28-00223.68] 南朝北朝之后就由随来进行我们所说的统一
[00223.68-00226.40] 就是英文那句话叫天下大使
[00226.40-00229.48] 分九笔和九笔分
[00229.48-00232.64] 那这是他的一个大概的时间的一个
[00232.64-00233.28] 满路
[00233.28-00234.40] 我们来看一下
[00234.40-00235.72] 跟着他的这个时间
[00235.72-00238.56] 我们来把视角来拉回到东汉时期
[00238.56-00239.52] 我们来看一下
[00240.16-00241.48] 那三国我们说了
[00241.48-00242.36] 三国两间的位置
[00242.36-00243.52] 第一个就是我们所说的
[00243.52-00244.40] 三国时期
[00244.40-00245.56] 那三国时期
[00245.56-00247.20] 他其实起于一个事件
[00247.20-00248.12] 这个事件呢
[00248.12-00249.16] 就是我们所说的
[00249.16-00250.68] 叫黄金起意
[00250.68-00251.48] 黄金起意呢
[00251.48-00252.88] 他是东汉莫年
[00252.88-00258.88] 恨零第十期,我们所说的叫做张角所发动的一次农民企业
[00258.88-00262.88] 而这一次企业,它是我们所说的三国时代的开端,
[00262.88-00269.88] 那需要同们掌握的这个点,就是大家知道,黄金企业,它对应的任务是谁,它的意义是什么?
[00269.88-00272.88] 而它为什么叫做三国时代的开端呢?
[00272.88-00277.88] 就是因为在黄金企业之后,有一个人叫什么呢?它叫做刘煙
[00277.88-00280.24] 有一个人叫刘煙
[00280.24-00282.64] 刘煙当时看到这样一个情形之后
[00282.64-00284.92] 他就说为什么会出现黄金奇
[00284.92-00286.00] 这样那个情况呢
[00286.00-00287.64] 然后他进行了分析和总结
[00287.64-00288.64] 就跟朝鲁说
[00288.64-00291.40] 我觉得就是因为我们把宰新
[00291.40-00292.44] 逼了太狠了
[00292.44-00293.68] 他们这个过太苦了
[00293.68-00294.80] 不反正你反谁呢
[00294.80-00297.16] 所以我们要对百姓好一点
[00297.16-00298.48] 当朝鲁一天
[00298.48-00299.96] 刘煙提出这个建议
[00299.96-00300.48] 哇
[00300.48-00301.32] 没有啊
[00301.32-00301.56] 对吧
[00301.56-00303.60] 感觉汇人开朗说得好对
[00303.60-00305.64] 于是朝鲁就彩那了
[00305.64-00306.72] 刘煙的建议
[00306.72-00308.76] 不僅彩纳了留言的建议
[00308.76-00310.92] 而且还给留言一个实展的机会
[00310.92-00312.92] 让留言去当了周目
[00312.92-00315.04] 比如当了地方的一个官员
[00315.04-00316.72] 而地方的周目相对来说
[00316.72-00317.72] 全力比较大
[00317.72-00319.20] 慢慢的做大做强
[00319.20-00322.32] 留言就成为了自己当初最讨厌的样子
[00322.32-00323.36] 就成为了什么呢
[00323.36-00326.04] 就成为了各具亿方的势力
[00326.04-00328.52] 而当时的留言成为各具亿方的势力
[00328.52-00331.28] 它并不是我们所说的一个各历现象
[00331.28-00333.72] 而是一个普遍存在的现象
[00333.72-00340.24] 而在所说的这些群雄歌剧的这样的一个历史当中就出现了一个人物
[00340.24-00344.16] 这个人物就是我们所说的草草
[00344.16-00346.80] 有了草草 同时就很熟悉了
[00346.80-00352.12] 就可以进入到我们所熟悉的电视剧三国演义的环节当中去了
[00352.12-00353.36] 所以在这种情况之下
[00353.36-00355.20] 我们就知道 只所以称之为
[00355.20-00357.64] 三国时代的开段就是从这个时候开始
[00357.64-00359.12] 有了我们所说的什么
[00359.12-00362.72] 有了类似于群雄主录的这样的一种情况存在
[00362.72-00365.72] 那这是我们所说的黄金起异
[00365.72-00367.72] 黄金起异开起了三国时代
[00367.72-00371.32] 我们就来看一下三国时期到底是如何形成的
[00371.32-00373.32] 那说了三国时期的形成啊
[00373.32-00375.72] 它其实是和三场战亿分不开的
[00375.72-00378.72] 那在三场战亿分别就是大家所熟悉的
[00378.72-00379.72] 关度之战
[00379.72-00380.72] 吃笔之战
[00380.72-00383.72] 以及我们所说的亿领之战
[00383.72-00385.72] 我们需要在这里掌握的是什么呢
[00385.72-00391.72] 是在三大战亿它的内容人物
[00392.72-00399.08] 一集我们所说的他的性质对应
[00399.08-00400.36] 以及他性质的对应
[00400.36-00404.60] 那他经常的就在这出现一个综合性的考察方式
[00404.60-00405.60] 给你一个设问
[00405.60-00408.12] 说关于啥啥说法正确或错误的事
[00408.12-00409.12] 那种情况这些
[00409.12-00411.92] 他就很容易考察张关理待的这种情况
[00411.92-00416.08] 那我们就需要把他们每一个的细节都去点道
[00416.08-00419.12] 那么先来看一下这三大战亿当中的第一场战亿
[00419.12-00421.20] 就是我们所说的叫做关度之战
[00421.20-00423.20] 那关路之战的主人公是谁呢
[00423.20-00427.00] 我们都知道是草草和元少草草和元少
[00427.00-00428.24] 打了关度之战啊
[00428.24-00431.64] 那说的草草其实草原身上有一个点顾大也都知道啊
[00431.64-00433.12] 就是在我们所说的
[00433.12-00434.40] 东汉莫年的时候
[00434.40-00435.68] 其他人都群优主录
[00435.68-00437.16] 觉得皇帝没有什么用处
[00437.16-00437.40] 对吧
[00437.40-00439.56] 但是草草看到了皇帝的价值
[00439.56-00441.80] 于是搞了一个叫鞋天子以内
[00441.80-00443.40] 猪猴的这样一个形式
[00443.40-00444.64] 所以大家如果知道
[00444.64-00446.28] 出现鞋天子一定猪猴
[00446.28-00447.64] 大家知道可是有关
[00447.64-00448.44] 就要知道
[00448.44-00449.52] 和草草有关
[00449.52-00450.52] 然后草草有关
[00450.52-00453.52] 那关路之战的另一方就是我们所说的元兽
[00453.52-00455.04] 那大家也知道这场战亿
[00455.04-00458.28] 它本身上是一场一首胜多的战亿
[00459.64-00461.92] 本身上是一场一首胜多的战亿
[00461.92-00464.76] 元兽当时的手里的人数是相当之多的
[00464.76-00466.04] 差不多都有十万人
[00466.04-00468.16] 但是草草的最后战胜他了
[00468.16-00470.24] 为什么战胜了元兽呢
[00470.24-00471.44] 关键在于什么上
[00471.44-00474.16] 关键在于我们所说的两草上
[00474.16-00475.92] 关键在于我们所说的两草上
[00475.92-00478.88] 但也都知道当时是草草
[00478.88-00482.00] 他接受了我们所说的另外一个人的建议
[00482.00-00484.26] 然后放火烧了元烧
[00484.26-00485.92] 他运量草的这些车
[00485.92-00487.64] 所以最后呢我们都知道
[00487.64-00489.24] 兵马内动量草先行
[00489.24-00490.36] 动了他的量草
[00490.36-00491.84] 这种情况这还不用跟他打
[00491.84-00492.84] 他有康木柱
[00492.84-00494.00] 所以我们就在这里
[00494.00-00495.20] 就有了一句话叫做
[00495.20-00496.56] 无量是责王
[00496.56-00499.88] 他形容的是三国当中的哪一场战亿
[00499.88-00500.72] 大家就知道
[00500.72-00502.88] 是我们所说的关度之战
[00502.88-00505.32] 所以关路之战有一个非常明显的一个特点
[00505.32-00507.16] 就是我们所说的无量是责王
[00507.16-00509.34] 因為在淘索圓受對抗的過程當中
[00509.34-00510.44] 最開始的時候
[00510.44-00512.12] 是草草處在相對來說
[00512.12-00513.88] 比較缺量的這樣的一個地位
[00513.88-00514.12] 對吧
[00514.12-00515.92] 當然後來接受了別人的意見之後
[00515.92-00517.22] 牛轉了這個局勢
[00517.22-00519.84] 所以我們就有了無良是責網
[00519.84-00520.86] 所以出現這一話
[00520.86-00522.42] 大家要知道形容的是什麼呢
[00522.42-00523.46] 是關度之戰
[00523.46-00524.50] 而關度之戰
[00524.50-00526.28] 草草打贏了圓受
[00526.28-00527.62] 統一了北方
[00527.62-00528.58] 所以在這裡你看
[00528.58-00530.68] 為草草統一北方
[00530.68-00532.60] 電訂了基礎
[00532.60-00535.24] 那這是我們所說的叫做關度之戰
[00535.24-00539.40] 但是任何一个英雄人物想要逐路天下的这样的一个人物
[00539.40-00541.12] 他仅仅同一地方
[00541.12-00542.76] 他是不能够满足的
[00542.76-00545.08] 所以在关路之战之后
[00545.08-00546.72] 草草统异了北方之后
[00546.72-00551.08] 他想要成为天下群雄的领导者
[00551.08-00552.76] 那在这种情况之下还要统一什么
[00552.76-00553.68] 还有统一南方
[00553.68-00555.04] 那南方就要去打谁呢
[00555.04-00556.20] 就要去打孙权嘛
[00556.20-00557.32] 所以在这个过程中
[00557.32-00558.96] 就有发生了我们所说的什么呢
[00558.96-00560.68] 叫做赤笔之战
[00560.68-00564.96] 赤笔之战是我们所说的草草和孙流连军打起来了
[00564.96-00565.46] 对吧
[00565.46-00566.42] 而吃笔之战呢
[00566.42-00567.20] 我们也知道
[00567.20-00568.36] 有很多的点顾
[00568.36-00569.20] 就在这里面
[00569.20-00570.72] 比如说草船借劲
[00570.72-00572.00] 借东风的故事
[00572.00-00573.52] 都来自于吃笔之战
[00573.52-00575.60] 而吃笔之战也是我们所说的
[00575.60-00576.96] 叫做一首
[00577.96-00580.44] 胜多的这样的一场战亿
[00580.44-00581.44] 也是我们所说一场
[00581.44-00582.72] 胜多的这样一场战亿
[00582.72-00583.72] 那大家也都知道
[00583.72-00584.68] 你看像草叢
[00584.68-00585.88] 它主要是在北方
[00585.88-00587.48] 那北方的山长路战
[00587.48-00589.60] 那孙全他们在南方
[00589.60-00590.88] 那标山长水战
[00590.88-00592.48] 那重新忘记下你跟人家打
[00592.48-00592.84] 对吧
[00592.84-00594.16] 在加上我们所说的
[00594.16-00595.40] 特略沒有跟到
[00595.40-00597.36] 所以最終吃綠之駕以
[00597.36-00598.76] 孫如聯軍獲勝
[00598.76-00599.60] 都以高中
[00599.60-00600.96] 而孫如聯軍獲勝
[00600.96-00602.16] 措拋了草操的
[00602.16-00603.60] 我們所說的這樣一個瑞起
[00603.60-00604.80] 所以吃綠之駕
[00604.80-00606.24] 它的一個地位
[00606.24-00607.92] 就是它電定了
[00607.92-00610.00] 三足頂利的局面
[00610.00-00611.28] 只是電定了
[00611.28-00614.32] 而沒有形成三足頂利的格局
[00614.32-00615.20] 所以大家注意一下
[00615.20-00617.60] 這是電定了三足頂利的局面
[00617.60-00618.48] 而吃綠之駕
[00618.48-00619.36] 大家注意一下
[00619.36-00621.76] 我們都知道是草操功
[00621.76-00622.48] 孫如聯軍
[00622.48-00623.60] 主要是在南方
[00623.60-00624.48] 常疆留育
[00624.48-00626.48] 所以他是中国历史上
[00626.48-00629.60] 第一次在常疆留育进行的
[00629.60-00630.96] 大规模的江河作战
[00630.96-00631.84] 所以大家注意一下
[00631.84-00634.48] 第一次在常疆留育的战争是
[00634.48-00635.60] 吃闭之战
[00635.60-00636.64] 是吃闭之战
[00636.64-00637.52] 大家要知道
[00637.52-00639.44] 这是我们所说的第二场战争
[00639.44-00640.64] 叫做吃闭之战
[00640.64-00642.80] 那吃闭之战有很多人物
[00642.80-00643.92] 就突显出来了
[00643.92-00645.84] 比如说像我们所说的周语
[00645.84-00647.52] 比如说像我们所说的猪格量
[00647.52-00649.84] 在他们身上其实都有很多的点顾
[00649.84-00651.68] 那我们要重点讲的人是谁呢
[00651.68-00653.36] 在这里重点要给大家讲解的人
[00653.36-00654.28] 是我们所说的
[00654.28-00655.12] 主个量
[00655.12-00657.84] 因为和助量身上有关的内容还比较多
[00657.84-00660.60] 首先第一个能和助量相关的引出的内容
[00660.60-00662.96] 就是我们在考试当中经常会说到的
[00662.96-00664.56] 叫做鼠汉四项
[00664.56-00666.60] 这个鼠汉四项就是
[00666.60-00669.24] 我们所说的流贝他们这一边
[00669.24-00670.52] 黄鼠他们这边的
[00670.52-00672.76] 我们所说的叫做鼠汉四银
[00672.76-00674.08] 非常了不起的四人
[00674.08-00675.40] 这四人分别是谁呢
[00675.40-00676.44] 同们起在旁边
[00676.44-00678.96] 第一个就是我们非常有名的叫做
[00678.96-00679.68] 主个量
[00681.68-00682.88] 主个 握龙
[00682.88-00687.58] 还有我们经常在初视表当中所看到的叫做废一董元
[00692.08-00693.80] 废一董元
[00693.80-00695.82] 还有就是我们所说的讲完了
[00698.38-00701.20] 这个被称这位叫做数汉四项
[00701.20-00703.24] 或者叫做数汉四银
[00703.24-00704.24] 说的都一样
[00704.24-00707.08] 所以大家第一个点要知道数汉四项是谁
[00707.08-00707.96] 说完四项是谁
[00707.96-00709.88] 这是第一个小同时掌握的
[00709.88-00712.32] 第二个就是在这里我们要明确
[00712.32-00714.48] 和出格量有关的点顾
[00714.48-00716.44] 和我们所说的相的失聚
[00716.44-00718.12] 其实特别多
[00718.12-00719.48] 大家要能够去去分
[00719.48-00721.36] 老实在这里不想尽烈举
[00721.36-00723.88] 比如说像我们所说的七千梦获呀
[00727.72-00729.80] 我们所说的七千梦获
[00729.80-00732.92] 还有我们经常能够看到的听到一句话
[00732.92-00734.72] 就走淡薄明智
[00734.72-00741.32] 您认识员等等
[00741.32-00743.12] 对吧 三顿某卢
[00743.12-00747.32] 这是留卫去请它成本不一公根云南洋
[00747.32-00748.12] 对吧
[00748.12-00749.92] 这有时候提到的三顿某卢
[00749.92-00753.12] 但是我们在整个有失去形象当中
[00753.12-00757.12] 我们把这两顺座的就是非常的聪明的
[00757.12-00760.52] 这个几乎是没有我们所说的弱点的一个神人
[00760.52-00763.12] 而住了两在有失去当中的这个形象
[00763.12-00765.36] 我们就让看到带个帽子拿个雨毛圣
[00765.36-00767.32] 我们经常说叫做雨山关金
[00767.32-00768.52] 但是同样注意
[00768.52-00770.56] 那个只是影视剧当中的作品
[00770.56-00773.96] 如果我们在考试当中提到雨山关金是谁
[00775.68-00776.52] 大家注意一下
[00776.52-00778.12] 这个人就不是做过量
[00778.12-00781.44] 在历史当中和在我们考试当中提到雨山关金
[00781.44-00783.80] 这个人就是我们所说的叫做周语
[00783.80-00785.48] 对吧 美男子周语
[00785.48-00787.44] 所以在这里大家一定要注意到
[00787.44-00789.24] 这是我们在考试过程当中
[00789.24-00791.12] 容易忽略掉了几个细节
[00791.12-00792.84] 这是我们从秩废之战
[00792.84-00794.00] 引发出来的
[00794.00-00795.72] 那吃了一只战之后呢
[00795.72-00797.16] 我们后面的这个故事
[00797.16-00798.80] 其实在三个月一当中大家都知道了
[00798.80-00800.20] 就是留卫大意
[00800.20-00801.04] 实施招
[00801.04-00803.20] 而后面他想把京州收回来
[00803.20-00804.84] 于是又发动了我们所说的
[00804.84-00807.00] 在三国当中的第三场战亿
[00807.00-00808.20] 就是我们所说的
[00808.20-00809.20] 一领之战
[00809.20-00810.00] 一领之战
[00810.00-00810.76] 大家注意一下
[00810.76-00811.80] 也称这个一领
[00811.80-00813.04] 但是他也得称这个叫做
[00813.04-00814.32] 邱庭之战
[00814.32-00816.44] 我们不太会见到邱庭之战
[00816.44-00817.04] 这几个字
[00817.04-00817.92] 所以大家在这里
[00817.92-00818.76] 大家要注意一下
[00818.76-00820.16] 他也称为邱庭之战
[00820.16-00821.96] 那邱庭之战的双方代表人
[00821.96-00823.00] 就是我们所说的
[00823.76-00824.32] 刘悲
[00824.48-00826.04] 还有我们所说的东武
[00826.24-00827.24] 刘悲和东武
[00827.24-00828.12] 那最终呢
[00828.12-00828.92] 我们都知道
[00829.08-00829.56] 刘悲呢
[00829.56-00831.32] 当时有很大的这个绝心
[00831.32-00832.84] 然后丑错了很多的兵力
[00832.84-00833.96] 但它低屋了
[00833.96-00834.76] 东武呢
[00834.92-00837.52] 所说的这个金周的这样的一个绝心
[00837.52-00838.16] 那最后呢
[00838.16-00840.00] 刘悲失败而高中
[00840.16-00841.16] 所以在这里面
[00841.16-00842.24] 一零之战的地位
[00842.24-00844.28] 它是最著名的
[00844.28-00845.52] 积极防禁的
[00845.52-00846.60] 成功战力
[00846.60-00848.80] 所以它是一场成功的积极防禁战
[00848.96-00850.04] 而一零之战之后
[00850.04-00850.76] 大家注意一下
[00850.76-00851.76] 就正式
[00851.96-00858.10] 正式确定了或者叫做确例了我就简单写
[00858.10-00863.74] 就正式确定了我们所说的三足顶利的格局我就简单写三国格局了
[00863.74-00868.34] 稳终最终确定了我们用最终可能会准确一点
[00868.34-00872.94] 所以在这里这是我们所说的这个
[00872.94-00875.00] 所给到的这个10值账
[00875.00-00879.34] 当然大家注意一下10值账可不是一少生作的账有前面这两场都是
[00879.34-00881.22] 但是一零之戰不是
[00881.22-00881.86] 但是一零之戰
[00881.86-00882.14] 不是
[00882.14-00882.62] 但是一零之戰
[00882.62-00883.34] 沒過多少時間
[00883.34-00883.98] 我們就知道
[00883.98-00885.10] 留卑就去世了
[00885.10-00885.74] 後來就有了
[00885.74-00887.54] 大家所知道的白地成土
[00887.54-00889.26] 我們所說的這個脫骨
[00889.26-00890.54] 然後在往後
[00890.54-00891.58] 大家就所熟悉的
[00891.58-00893.14] 中學課本上的出事表
[00893.14-00894.70] 就和他聯繫在誇了
[00894.70-00895.94] 這是我們所說的
[00895.94-00898.06] 有關於三國分歷的
[00898.06-00899.58] 這樣一個情況
[00899.58-00900.66] 三國分歷的情況
[00900.66-00901.82] 這是我們所說的
[00901.82-00902.62] 有關於他的
[00902.62-00903.34] 具體內容
[00903.34-00904.14] 我們來看一下
[00904.14-00905.66] 這裡面有一個題目
[00905.66-00906.78] 就是我剛才所說的
[00906.78-00908.54] 其實他就是我們典型的
[00908.54-00910.34] 对应题目的考量方式
[00910.34-00913.02] 观际质量是东韩莫年历长战亦
[00913.02-00915.46] 关于干战亦说法正确的是A雪像
[00915.46-00918.38] 在战亦当中的主要指挥关是草草原稍等着
[00918.38-00919.98] 和董作没有一分钱的关系
[00919.98-00921.02] 所以我想错了
[00921.02-00923.90] 说是一首生作的战亦没有问题
[00923.90-00927.22] 是第一次在长江留育的大规模作战
[00927.22-00929.58] 第一次在长江留育大规模作战是
[00929.58-00930.66] 是位置战
[00930.66-00931.10] 对吧
[00931.10-00932.70] 风声赫利从结令
[00932.70-00933.90] 这个我们一会会讲到
[00933.90-00935.18] 他是来自于
[00935.18-00941.32] 飞水之站,而并飞关度之站,所以在这里的注意下,说法正确的是
[00941.58-00943.38] 第2个,正确第2个
[00944.14-00951.50] 这是我们所说的三国的情况,说在三国之后我们来看下这座两件事
[00951.56-00956.94] 两件事,它给到的,其实我们所说的一个叫做西进,一个叫东进
[00956.94-00963.98] 在这里面考试的时候考什么呢?同时,不需要每一个点都去记住,只需要在这里记住几个细节
[00963.98-00965.06] 就可以了
[00965.06-00966.22] 老师说到哪些细节
[00966.22-00967.30] 你把哪些细节记住
[00967.30-00968.06] 就OK了
[00968.06-00970.02] 其实我们所说的这个两进
[00970.02-00972.30] 或者说我们先从细节开始说起
[00972.30-00973.62] 细节它的建立
[00973.62-00975.42] 其实是和我们所说的司马家
[00975.42-00976.54] 有很大的关系
[00976.54-00978.90] 我们刚才在群雄主录过程当中
[00978.90-00980.58] 说了在中国各地车当中
[00980.58-00982.06] 有一个非常了不起的人物
[00982.06-00982.46] 对吧
[00982.46-00984.14] 我们称为叫做修雄的
[00984.14-00985.34] 就是我们所说的
[00985.82-00986.62] 操成像
[00986.62-00989.06] 那草操在监安25年的时候
[00989.06-00990.46] 它就生命去世了
[00990.46-00991.62] 操操生命去世之后
[00991.62-00994.44] 到大陸这条草操的大儿子就是草批
[00994.44-00998.92] 在这种情况下就取代了汉现地建立了我们所说的
[00998.92-01002.12] 微果所以在这儿我们顺着刚才思路鞋
[01002.12-01004.42] 就是草操去世
[01005.70-01009.72] 早去世之后它的儿子草批大儿子草批
[01009.72-01013.82] 在这种情况下就是取代了汉现地
[01014.92-01019.12] 取代了汉现地建立了我们所说的叫做微果
[01019.12-01022.20] 而韋国建立之后陆陆续续又建立了我们所说的
[01022.20-01024.60] 五国叫三国为主五卖
[01024.60-01025.92] 对吧叫三国为主
[01025.92-01027.44] 然后这是我们所说的这个
[01027.44-01029.00] 而草屁去之后呢
[01029.00-01032.80] 我们所说的草瑞就成了韋国的主要领导人
[01032.80-01033.56] 而草瑞呢
[01033.56-01035.68] 后来也在洛阳病室了
[01035.68-01037.32] 草瑞在洛阳病室之后呢
[01037.32-01039.36] 草瑞其实没有自己的亲生儿子的
[01039.36-01040.52] 他有一个养子啊
[01040.52-01041.92] 他的养子叫什么呢
[01041.92-01042.68] 他的养子呢
[01042.68-01043.68] 叫做草方
[01045.36-01045.96] 草方呢
[01045.96-01048.68] 就当了我们所说的韋国的这样的一个主事人
[01048.68-01051.92] 但是這個桃方相對來說能力也不太夠
[01051.92-01054.12] 於是給他安排了兩個輔助大臣
[01054.12-01055.48] 一個叫做桃爽
[01055.48-01057.68] 你看一聽就是老桃家人對吧
[01057.68-01061.52] 另外一個就是我們所說的斯馬一大軍師斯馬一
[01062.96-01066.88] 而這個斯馬一就是我們所說的搞了一個叫做
[01066.88-01068.68] 高平靈之變
[01068.68-01070.16] 叫做高平靈之變
[01070.16-01072.64] 同學們需要講我的是高平靈之變
[01072.64-01074.28] 你要知道和誰有關
[01074.28-01076.72] 這個高平靈之變就是斯馬一搞出來的
[01076.72-01080.68] 因为当年朝传陪着这个朝方去记住去了
[01080.68-01082.56] 然后塞一只称他们都不在
[01082.56-01084.44] 然后发动了这样的一个政变
[01084.44-01087.36] 躲得了大权之后把朝传一给弄死了
[01087.36-01089.60] 所以我们常说高平领之变
[01089.60-01093.88] 它其实是司马家取代为家的一个关键的事件
[01093.88-01097.12] 司马家取代为家的这样的一个关键性的这样一个事件
[01097.12-01099.32] 这是我们所说的高平领之变
[01099.32-01102.24] 高平领之变之后我们所说的在我后
[01102.24-01105.46] 就是四马亿去世他的儿子就有四马师
[01105.46-01108.08] 就接待接替了四马亿的这个位置
[01108.08-01110.36] 成为了我们所说的主要的执政者
[01110.36-01112.48] 而四马师去世之后呢
[01112.48-01115.38] 就由他的弟弟叫做四马招
[01115.38-01116.56] 都是他们之家的
[01116.56-01117.64] 他们家的对吧
[01119.16-01122.04] 就有四马招取代了四马师的位置
[01122.04-01125.16] 然后成立了我们所说的主要的这样的一个执政人
[01125.16-01126.76] 而四马招做了什么事呢
[01126.76-01127.60] 四马招呢
[01127.60-01128.60] 灭了属汉
[01128.60-01130.40] 把属汉给灭掉了
[01130.40-01132.96] 然后再之后4马招趋之后
[01133.22-01135.78] 就谁就是我们所说的4马盐
[01137.32-01140.24] 4马盐就开始自立为地
[01140.24-01142.70] 然后在这时候就称为我们所说的
[01142.94-01143.70] 习近
[01143.70-01145.76] 而4马盐就是我们所说的什么呢
[01145.76-01147.30] 就是我们所说的
[01147.30-01148.32] 叫做进入地
[01152.16-01153.44] 就是我们所说的进入地
[01153.44-01154.20] 到这呢
[01154.20-01155.24] 习近就建立了
[01155.24-01156.86] 我用另外一个颜色的比
[01156.86-01157.80] 给大家标注出来
[01157.80-01158.82] 同样只要把
[01158.82-01161.82] 这一条思路的主线就有些的思树里轻入就行了
[01161.82-01162.82] 因为这个地方呢
[01162.82-01165.22] 它属于时间卖落比较多的
[01165.22-01166.22] 平行线很多的
[01166.22-01168.02] 但我们不需要管平人线特别多
[01168.02-01169.82] 我们只需要把握主线就行了
[01169.82-01170.82] 所以在这个时候呢
[01170.82-01171.62] 就是我们所说的
[01171.62-01172.82] 习近就建立了
[01172.82-01174.74] 所以在这里大家就想和四码
