[00000.00-00003.24] 同時們好 歡迎來學習經濟學的板塊
[00003.24-00007.24] 我是劫瑞老師 那今天我們要進入到一個新的科目的學習
[00007.24-00009.72] 這個科目就叫做經濟學
[00088.76-00095.68] 打开手机,你想点个外卖。那你点外卖这个过程当中呢,它其实就会涉到我们经济学当中的内容。
[00095.68-00099.20] 比如说,当你点外卖的时候,你是不是要在手机上下单呢?
[00099.20-00103.72] 那你就是一个什么,你就是市场当中一个独立的消费者。
[00103.72-00109.04] 那你的消费行为,其实就是微观经济,它研究的一些内容。
[00109.04-00112.52] 你的消费被称为什么呢?你的消费被称为需求。
[00112.52-00117.52] 你打开手机之后你在小木今天到底这个啥东西是吃豆腐姜和油条
[00117.52-00125.52] 真行吃豆腐姜和油条你是吃油条和豆腐姜还说今天早上喝点啥呢喝点粥吃点鸡蛋呢
[00125.52-00131.02] 那这个时候你想要买了那个东西就被称着为你的什么呢就被称着为你的需求
[00131.02-00135.82] 那你要买东西因为啥去买豆腐姜油条鸡蛋还有我们所说的粥和包子
[00135.82-00137.62] 因为有人给你提供这些商品
[00137.62-00142.42] 而给你提供这些商品的人呢他其实就是我们所说的什么商品生产品
[00142.42-00145.00] 他涉及到的理論就叫做共紀
[00145.00-00147.34] 但無論是你下單每都一樣有條
[00147.34-00149.34] 還是人家給你提供都需要有條
[00149.34-00152.04] 這些行為都說在市場當中進行的
[00152.04-00156.22] 我們天天聽市場天天聽市場到底什麼是市場呢
[00156.22-00158.38] 我們的市場在經濟區學領上
[00158.38-00160.22] 可以畫出出來哪些類型呢
[00160.22-00163.94] 這個時候就叫個什麼就叫做市場理論
[00163.94-00165.18] 剛才說了
[00165.18-00167.50] 這個研究的是你自己的消費行為
[00167.50-00170.42] 你是市場當中一個獨立的個體吧
[00170.42-00172.38] 但是市场当中有无数个你
[00172.38-00172.66] 对吧
[00172.66-00173.50] 一个你吃饱了
[00173.50-00174.06] 千千方方
[00174.06-00175.06] 跟你又站起来了
[00175.06-00176.62] 还有很多人没有吃早餐
[00176.62-00177.46] 这个时候呢
[00177.46-00181.02] 我们就会把整个经济的饭的研究对象扩大
[00181.02-00184.22] 从原本的单个的生产者和消费者
[00184.22-00185.74] 行为放到什么呢
[00185.74-00189.70] 放到整个社会研究无数个你我的经济行为
[00189.70-00191.38] 那研究无数个你我
[00191.38-00192.38] 范围就变大了
[00192.38-00193.98] 那这个时候就进入到了什么
[00193.98-00195.26] 红官经济学
[00195.26-00196.78] 红官经学很多的内容
[00196.78-00198.70] 其实是我们在新闻联播听到的
[00198.70-00200.58] 那些高大上子词 对吧
[00200.58-00201.58] 我们又说了
[00201.58-00202.90] 政府工作报告一出来
[00202.90-00204.70] 我们就在政府工作报告当中看
[00204.70-00208.30] 国家的实行机极在财政策和论阶的会比政策
[00208.30-00209.14] 然后等等等等
[00209.14-00209.90] 你看着呢
[00209.90-00211.50] 报告文字表述你就觉得话
[00211.50-00212.46] 好高深
[00212.46-00213.54] 其实他不高深
[00213.54-00215.66] 这些内容他其实就原自于
[00215.66-00218.42] 对于整个社会的红官经济的影响
[00218.42-00220.38] 对一个国家的经济运行来说
[00220.38-00222.98] 他必须让这个国家的经济运行评问
[00222.98-00224.58] 那经济的一些评问第一步
[00224.58-00226.26] 他就要给国家的经济
[00226.26-00228.84] 設定一個運行的目標
[00228.84-00231.18] 這國人經濟不能無需的進行
[00231.18-00234.10] 不能說今年經濟增長7.2%
[00234.10-00235.10] 6.2%
[00235.10-00237.10] 明年7.78%
[00237.10-00238.14] 你是風冷
[00238.14-00240.32] 所以國家經濟的運行要評分
[00240.32-00241.76] 必須要有些目標
[00241.76-00243.06] 第二個就是
[00243.06-00244.90] 當國家經濟運行評分之後
[00244.90-00246.86] 如何去實現這些目標
[00246.86-00248.62] 它其實要給到相應的
[00248.62-00250.62] 紅官條控政策分析
[00250.62-00253.50] 這個就叫做紅官經濟選
[00253.50-00255.46] 但是同學沒有注意一個問題
[00255.46-00258.70] 就是这里面无论是微观进学还是红观进学
[00258.70-00262.18] 我们其实都是把视角放在我们国家的国内的
[00262.18-00265.62] 对吧 早上起来可爱的你热了你要去买东西
[00265.62-00267.94] 我们国家社会经济如何运行
[00267.94-00269.78] 他其实视角都在国内
[00269.78-00273.22] 但是咱们看新闻也知道咱们天天搞什么进博会
[00273.22-00274.74] 对吧 贸易博兰会
[00274.74-00278.58] 然后我们天天又出去视察 中国的一代一路等等
[00278.58-00280.34] 那这些东西的目的是要干嘛呢
[00280.34-00282.82] 是把中国的经济推向世界
[00282.82-00285.02] 把中国的经济推上世界的话
[00285.02-00290.02] 我们就要把视角再去往外去延伸一下看一下国际经济的运行
[00290.02-00291.82] 它到底是如何运行的
[00291.82-00294.82] 在这里面我还会给大家去讲到国际经济
[00294.82-00295.82] 那国际经济当中
[00295.82-00298.82] 神秘了解一些国际经济的基本知识
[00298.82-00300.82] 比如说咱们国家是人民币
[00300.82-00303.82] 其他国家有欧元有用的
[00303.82-00306.82] 在这里面咱们去跟人人每东时候钱打官
[00306.82-00308.82] 那就会涉及到些惠率的问题
[00308.82-00310.82] 这些就要国际经济的基本知识
[00310.82-00312.82] 除了这基本知识之外呢
[00312.82-00317.22] 还会给大家去讲到经济全球化和重要的经济组织等等
[00317.22-00319.34] 那这是我们所说的把视角放在
[00320.34-00321.22] 国际上
[00321.22-00324.38] 那我们就要去看一下国内和国际的经济运行
[00324.38-00327.38] 但是无论是国内经济还是国际经济
[00327.38-00328.74] 咱们一般都在说什么
[00328.74-00331.54] 经济都是要去市场当中运行的
[00331.54-00333.34] 那这里面还不是得到另外一个点
[00333.34-00336.42] 就是我们要看一下国内和国际
[00336.42-00338.98] 他的一个经济运行在市场当中
[00338.98-00340.78] 到底是怎么回事
[00340.78-00342.46] 这里面就会提到一个点
[00342.46-00344.62] 就叫做市场经济旅论
[00344.62-00345.94] 我们经常会听到一个字
[00345.94-00347.74] 说社会主义市场经济
[00347.74-00349.50] 还有提到了西方市场经济
[00349.50-00351.46] 到底啥是市场经济
[00351.46-00352.54] 啥是市场呢
[00352.54-00354.34] 我们在经济学最开天的时候
[00354.34-00355.98] 会大家做一个总的该数
[00355.98-00358.50] 叫做市场经济理论
[00358.50-00360.98] 我们刚才讲的这四个播放线
[00360.98-00362.26] 或者说这四个文块
[00362.26-00365.42] 它其实错误在理解行题目的考察
[00365.42-00369.90] 在考试的或者当中 要求我们做到去理解它的原理
[00369.90-00372.46] 能够这些眼里解释一些题目
[00373.42-00377.14] 或者说用它来解释一些生活当中的现象
[00377.14-00381.14] 这就是我们在考试当中 经常会考察的原理和现象
[00381.14-00382.50] 它的一个疲慧
[00382.50-00385.38] 这个是我们所说的 前四个内容
[00385.38-00389.46] 就是我们要去先看什么是市场 什么是市场经济
[00389.46-00393.06] 再来看市场经济之下 单个个体的消费行为
[00393.06-00395.18] 整个国家的军新军军行
[00395.18-00399.06] 最后再把市脚放在国际上来看一下在市场主脑之下
[00399.06-00401.38] 国际军计事如何运行的
[00401.38-00404.90] 其实这些内容就是每天发生在我们身边的
[00404.90-00406.38] 但是在考试当中
[00406.38-00408.42] 这几年可不单单只考察说
[00408.42-00412.42] 我们只需要动原理能够理解他背后的原理解释
[00412.42-00414.06] 军新行就OK了
[00414.06-00415.70] 这几年在各别地区的考试
[00415.70-00417.42] 还透露出一个什么样的点呢
[00417.42-00420.18] 说是他会把我们现在所学的军军原理
[00420.18-00422.62] 和现在的一些热点相结合
[00422.62-00425.70] 比如说在干诉考试的时候经常就会考到什么呢
[00425.70-00429.74] 经常就会考到什么增值最流敌扣税的这样的一些问题
[00429.74-00430.22] 对吧
[00430.22-00432.94] 你看像在个位置考试比如说山东也考过
[00432.94-00435.42] 河北也考过河北今年考了河北自
[00435.42-00437.74] 像数字人民币这样的情况
[00437.74-00441.82] 你说它是我们所说的在攻击当中的其他科目吗
[00441.82-00443.10] 它其实也不太像
[00443.10-00445.82] 你说老师它是纯经济理论的内容吗
[00445.82-00446.78] 它也不太像
[00446.78-00448.38] 它其实是属于什么
[00448.38-00449.90] 经济热点的内容
[00449.90-00452.98] 而這些經濟熱點,我們要放在哪裡給大家講解呢?
[00452.98-00456.04] 要放在經濟學校園和名詞當中講解
[00456.04-00461.42] 但是我們這次課程當中的經濟學校園和名詞只是把一些普遍使用的那種
[00461.42-00462.96] 給大家放在這個上面了
[00462.96-00466.54] 大家還一些經濟熱點譬如說他昨天才提
[00466.54-00469.30] 那咱們今天在講課的時候可能就沒有設計到到
[00469.30-00472.68] 那這些怎麼辦呢?最後呢,我們會有大家出一個專題啊
[00472.68-00475.24] 這是專能去給大家解決和盤裂一下
[00475.24-00476.78] 全年的經濟熱詞
[00476.78-00479.26] 或每個技朵每個月當中的經濟熱詞
[00479.26-00480.90] 會大家專門開一個專題
[00480.90-00482.62] 這個專題同學們也一定要
[00482.62-00485.58] 到後期更新的時候要去注意聽
[00485.58-00487.50] 這是整個經濟學
[00487.50-00489.70] 它的一個大概的框架和內容
[00489.70-00491.70] 為什麼要給同學講這個框架
[00491.70-00492.70] 原因很簡單
[00492.70-00493.86] 有了這個框架
[00493.86-00496.86] 就更加知道經濟到底要講什麼了
[00496.86-00498.78] 我們有了這樣的一個思路
[00498.78-00500.34] 對於這個書的整體的法案
[00500.34-00504.10] 接下來我們就一點點去看整個書的全部內容
[00504.10-00505.66] 那首先第一個我們來看一下
[00505.66-00507.40] 叫做市場經濟理論
[00507.40-00508.62] 在市場經濟理論
[00508.62-00510.60] 要給大家講四個方面的內容
[00510.60-00513.80] 第一個呢就叫做資源配置方式
[00513.80-00515.56] 會大家講到兩種方式
[00515.56-00517.86] 第二個呢就是在這兩種方式之下
[00517.86-00520.00] 有一種方式就叫做市場配置
[00520.00-00521.60] 於是我們就會順地市場配置
[00521.60-00524.60] 來給大家講一講到底什麼市場經濟
[00524.60-00527.56] 那市場經濟主要是在市場當中運行的
[00527.56-00528.92] 我們天天聽到市場
[00528.92-00530.38] 比如說你今天去買菜
[00530.38-00532.46] 我就說按鍵去菜場買菜
[00532.46-00532.78] 對吧
[00532.78-00534.34] 今天說還有我發了公司了
[00534.34-00535.88] 必须在每一天,基金和股票
[00535.88-00537.68] 我说那一句股票市场去看一看
[00537.92-00540.74] 那我们总会听到各种各样的市场名仇
[00540.74-00542.02] 到底合为市场
[00542.28-00544.58] 我们又在第三个内容当中就给大家去讲解
[00544.58-00546.38] 叫做市场语市场体系
[00546.64-00548.42] 但是我们强调了这些内容啊
[00548.42-00550.22] 它其实都是普遍兽的内容
[00550.46-00554.30] 我们还要把这些理论和我们国家的经济状况结合在一块
[00554.30-00556.36] 那和我们国家经济状况结合在一起
[00556.62-00559.18] 出现了叫做社会主义市场经济
[00559.18-00561.22] 那这咱们国家所特有的经济形势
[00561.48-00561.74] 对吧
[00561.74-00565.54] 所以在市場理論當中要給大家講四個方面內容
[00565.54-00567.74] 那這四個方面內容大家要注意一下
[00567.74-00569.34] 我們的重點是放在哪呢?
[00569.34-00571.98] 我們的兩星級的支電是在這裡
[00571.98-00573.82] 第一個叫做市場配置
[00573.82-00576.22] 是一個絕對的兩星級的支支電
[00576.22-00579.98] 第二個就是市場機制是一個兩星級的支電
[00579.98-00584.14] 第三個就是在我們所說的市場機器構送要素當中
[00584.14-00587.02] 會有一個市場主體內容的解讀
[00587.02-00589.50] 裡面可能會設一道我們所說的股份
[00589.50-00592.22] 有限公司和有限責任公司這兩種形式
[00592.22-00594.46] 所以在顧成要素當中的主體
[00594.46-00596.66] 小大家重點去掌握
[00596.66-00600.34] 其實主要是這三個方面的支點是兩星級的支點
[00600.34-00603.82] 所以兩星就是在各個地區各式的單位
[00603.82-00606.58] 他在去考察的時候只要設一道經濟學知識
[00606.58-00607.42] 這幾個模塊
[00607.42-00608.58] 他都是逃不開的
[00608.58-00610.90] 其他內心我沒有特別去強調的
[00610.90-00612.50] 大家也一定要給他備助
[00612.50-00615.86] 但是他只是在個別考試當中會考察
[00615.86-00616.90] 比如說在這裡面
[00616.90-00618.42] 我們後面會大家去講到
[00618.42-00621.02] 市场经济的基本规律 前几年说都不考
[00621.02-00623.54] 这年在各地的考试 路路需去呈现了
[00623.54-00625.06] 它也会有可考性
[00625.06-00628.26] 这些内容也是需要大家去被送和实际的
[00628.26-00631.98] 但是这样的内容把它称就一行几的这些点
[00631.98-00634.22] 这是整个市场经济理论
[00634.22-00636.10] 要一大区呈现的内容
[00636.10-00637.90] 我们先来看一下第一个问题
[00637.90-00640.06] 就是资源配置方式
[00640.06-00641.58] 说到资源配置方式
[00641.58-00643.18] 我们就要去思考一个问题
[00643.18-00647.10] 这说为什么会产生资源配置方式这样一个情况
[00647.10-00649.84] 主要的原因其实就在于一个点
[00649.84-00652.36] 大家都知道整个地球一共就这么大
[00652.36-00655.28] 但是随着这一年地球的人口其实也是的
[00655.28-00656.48] 在不断增加的
[00656.48-00658.36] 那地球总共就那么大
[00658.36-00659.60] 水滋愿是一定的
[00659.60-00660.86] 狂产滋愿是一定的
[00660.86-00663.60] 但是人的人口数量是增加的
[00663.60-00666.10] 人的需求也是不断增加的
[00666.10-00668.06] 这样的话就会存在一个问题
[00668.06-00670.84] 在全世界上的贪跑的问题就是
[00670.84-00674.46] 当每个国家他拥有的滋愿数料一定的时候
[00674.46-00678.54] 他怎麽要满足這個國家那大部分人的生活需要問題
[00678.54-00682.82] 那這個就叫做我們所說的什麽資源配置他產生的原因
[00682.82-00684.46] 所以他收上給到了一句話
[00684.46-00686.74] 他經濟生活的中心問題
[00686.74-00688.14] 同樣把中心問題話出來
[00688.14-00693.46] 說經濟生活的中心問題就是如何實現資源的有效配置
[00693.46-00694.94] 也就是我們常說的
[00694.94-00699.50] 怎麽要能夠讓有限的資源满足大多數人的需要的問題
[00699.50-00702.06] 所以這次經濟生活的中心問題
[00702.06-00706.82] 那从这个真心问题也身出来的另外一个医生级的实际型的点就是
[00706.82-00707.88] 正是因为呢
[00707.88-00711.06] 自然的配置它其实需要被考量的
[00711.06-00712.70] 那在这里面我们就要明白
[00712.70-00717.42] 为什么会产生自然配置在旁边写上自然配置产生的原因
[00720.06-00723.14] 自然配置产生的原因其实很简单
[00723.14-00725.22] 就是因为东西是有限的
[00725.22-00729.06] 所以在旁边写上就是因为自然具有吸缺性
[00732.06-00734.06] 資源具有吸血性
[00734.06-00735.96] 這聲音資源的吸血 對吧
[00735.96-00738.26] 對於整個無線的人類的吸血來說
[00738.26-00739.26] 資源是有限的
[00739.26-00741.86] 所以才要對資源進行配置
[00741.86-00744.06] 如果東西是體制不見用這不解的
[00744.06-00745.06] 那就用外 對吧
[00745.06-00746.06] 你想怎麼用怎麼用
[00746.06-00747.06] 我還用去配置嗎
[00747.06-00748.26] 就不用去配置了
[00748.26-00749.86] 所以這聲音的東西缺
[00749.86-00751.66] 所以咱們才要管一管他
[00751.66-00752.66] 看一下這些東西
[00752.66-00755.26] 怎麼樣能夠更好的用在刀熱上
[00755.26-00756.86] 所以在最開始的時候
[00756.86-00758.06] 對於經濟生活
[00758.06-00760.06] 產生了兩個實際型的電
[00760.06-00763.38] 第一個經濟生活的中心問題就是資源配置問題
[00763.38-00765.94] 第二個為什麼要對資源進行配置
[00765.94-00769.02] 那是因為資源本身是吸缺的
[00769.02-00771.06] 那既然要有效的配置資源
[00771.06-00773.38] 把有效的有限的這些東西
[00773.38-00774.90] 滿足大多數人的需要
[00774.90-00778.10] 那於是就產生了資源配置的兩種方式
[00778.10-00780.74] 這兩種方式一種叫做計劃配置
[00780.74-00782.98] 另外一種叫做市場配置
[00782.98-00784.82] 那我們接下來就要去看一下
[00784.82-00788.14] 這裡面的計劃和市場到底是怎麼回事
[00788.14-00791.26] 我们首先来看一下第一个叫做计划配置
[00791.26-00792.70] 什么是计划配置呢
[00792.70-00794.02] 在书上给到了一句话
[00794.02-00795.34] 同一面起来看一下
[00795.34-00798.38] 计划配置也叫做计划调节
[00798.38-00800.18] 你说老师说到这还是不明确
[00800.18-00801.94] 不明确咱接着往后看
[00801.94-00805.06] 计划调节是指来同一句话第一个字
[00805.06-00807.74] 叫做政府计划不门
[00807.74-00811.74] 根据社会需要和可能通过计划机制的作用过程
[00811.74-00813.82] 来实现自然配置的方式
[00813.82-00815.42] 那所谓的计划配置呢
[00815.42-00816.58] 咱就给它说一下
[00816.58-00817.86] 其实它是由谁来主要
[00817.86-00821.82] 它是由政府來主導的一種資源配置的方式
[00821.82-00825.30] 這個裡面最為點型的就是大家以前在電視裡面
[00825.30-00827.96] 經常會看到的或者是自己的
[00827.96-00829.62] 把媽媽也也奶奶那一半
[00829.62-00831.42] 經常會給我們講小手的故事
[00831.42-00832.58] 大家看小片也知道
[00832.58-00834.78] 因為你講故事什麼故事
[00834.78-00836.94] 也已經講兩票的故事
[00836.94-00839.02] 對吧 這個是咱們在小品當中看到的
[00839.02-00841.42] 當時在小品當中所提到的說
[00841.42-00843.02] 我已經講兩票的故事
[00843.02-00845.62] 這個兩票其實就是什麼的結果
[00845.62-00849.46] 就是計劃配置或計劃調節之下的產物
[00849.46-00852.46] 大家想一下在新聞我剛剛成立不久之後
[00852.46-00855.54] 那個時候整體的社會生產力高還是低
[00855.54-00858.54] 整體的社會生產力相對來說是比較低的
[00858.54-00862.34] 比如說整個國家他能產出的東西的數量有限
[00862.34-00866.10] 但是那個時候人民群眾的需要叫日意增長的物質的話
[00866.10-00868.82] 如果想要的東西還是挺多的
[00868.82-00871.30] 那這個時候你產出來的東西有限
[00871.30-00874.42] 那這個同時我想要的東西是無限的
[00874.42-00879.50] 那怎么样把这些有些东西满足大多数人的需要让这个国家能够运行下去
[00879.50-00881.46] 让老百姓能够吃的宝饭
[00881.46-00884.22] 那这个时候就需要政府去想想办法
[00884.22-00886.02] 那政府想的办法是啥呢
[00886.02-00887.54] 就是我们所说的
[00887.54-00890.42] 在比如说今年是2023年
[00890.42-00891.70] 那比如说我们说了
[00891.70-00893.38] 在2022年的年底
[00893.38-00895.94] 2023年经济开始运行之前
[00895.94-00897.42] 2022年的年底
[00897.42-00898.62] 他就开始去做嘛
[00898.62-00901.10] 说明年咱们国家有多少人口
[00901.10-00905.26] 然后咱们一共是有多少这样的布皮的需要
[00905.26-00907.30] 需要多少两世的这样的需求
[00907.30-00912.58] 他在2020年的年底就把2020-23年市场当中需要多少东学
[00912.58-00914.18] 去给他盘清楚
[00914.18-00915.42] 然后盘庁主之后呢说
[00915.42-00917.94] 那我们就把这些东学去给大家去分一分
[00917.94-00919.54] 那余世就出现了什么
[00919.54-00921.26] 余世就出现了我们所说的
[00921.26-00925.06] 给各家庭发两票发布票
[00925.06-00927.98] 你们家极口人你们这极口一年
[00927.98-00929.82] 能够用到多少皮心部
[00929.82-00932.82] 能够用到多少皮大米
[00932.82-00935.82] 能够用到多少大米 多少金大米
[00935.82-00936.82] 或者是多少金面
[00936.82-00939.82] 它其实是在经济运行的钱一年
[00939.82-00941.82] 就已经去规划好了
[00941.82-00943.82] 那这种我们所说的配置方式
[00943.82-00946.82] 就叫做计划配置
[00946.82-00947.82] 所以计划计划
[00947.82-00948.82] 我们刚才说了
[00948.82-00951.82] 它是在2020-23年经济运行之前
[00951.82-00953.82] 它就已经把这个计划定好了
[00953.82-00954.82] 所以它是在
[00955.82-00957.82] 我们所说的经济运行之前
[00957.82-00960.38] 行之前所给到的一种经济条件方式
[00960.38-00962.74] 那我们把这种条件就叫做什么条件呢
[00962.74-00964.74] 叫做事前条件
[00964.74-00967.06] 所以在这里面出现了两个细节点
[00967.06-00967.90] 同样要注意啊
[00967.90-00968.94] 第一个就是要知道
[00968.94-00971.18] 计划配置的主体是谁是政府
[00971.18-00972.70] 那为啥政府去配置啊
[00972.70-00973.82] 因为东西少啊
[00973.82-00977.26] 只有政府去分分的才会相对公平一些
[00977.26-00978.62] 那政府怎么分呢
[00978.62-00980.82] 他怎么能够保证大多数的公平呢
[00980.82-00983.86] 那就是在第二年经济开始运行之前
[00983.86-00986.62] 就把第二年的经济整体运行规划好
[00986.62-00988.16] 那这里面大家知道
[00988.16-00989.70] 它整体的这种形式
[00989.70-00990.72] 据到什么条件
[00990.72-00991.50] 据到做
[00991.50-00992.50] 事前条件
[00992.50-00994.82] 在第二年经济开始云行之前
[00994.82-00995.90] 就已经开条件了
[00995.90-00996.86] 这个就要做
[00996.86-00998.40] 事前条件
[00998.40-01000.24] 那种事前条件已经政府
[01000.24-01001.06] 它的一个作用
[01001.06-01003.52] 其实更大程度上实现社会什么
[01003.52-01004.54] 实现社会
[01004.54-01005.30] 公平
[01005.30-01007.22] 那这是我们所说的叫做
[01007.22-01008.38] 计划配置
[01008.38-01010.26] 但是这里面的计划配置也好
[01010.26-01011.70] 或者叫做计划条件好
[01011.70-01013.76] 它的主体主要是政府部门
[01013.76-01015.92] 那政府部门大家能不能看得见
[01015.92-01018.72] 政府不能能看到见莫得找的
[01018.72-01019.88] 比如说给大说
[01019.88-01022.20] 我说吉林省白山市人民政府
[01022.20-01023.84] 能不能找的这个政府在哪
[01023.84-01025.00] 只能能找着吧
[01025.00-01026.84] 你这个时候上网上一定位
[01026.84-01028.00] 他是有最地址
[01028.00-01029.48] 然后你看到那个办公大楼
[01029.48-01030.84] 赫人的利在那里
[01030.84-01031.52] 那就知道
[01031.52-01032.56] 因为政府在这
[01032.56-01034.80] 我说北京是海电区人民政府
[01034.80-01036.68] 能不能找到这个政府所在地
[01036.68-01037.76] 当然可以
[01037.76-01039.12] 所以我们所说的
[01039.12-01040.00] 政府也好
[01040.00-01040.96] 或者是政府的
[01040.96-01042.08] 其他部门也好
[01042.08-01045.12] 他其实是可以看得见莫得找的
[01045.12-01051.72] 那这种情况之下有一个经济学家就把这种计划配置方式以另外一种形式来秘密
[01051.72-01059.56] 怎么秘密呢在这里面大住一下这种计划条件或者计划配置也被称为叫做看得见的手的条件
[01059.56-01066.32] 现在旁边要看得见的手的条件也把的称为叫有形的手
[01066.32-01068.68] 为什么有形因为能找着它在呢
[01068.68-01071.82] 这个就叫做计划配置的别充
[01071.82-01073.80] 这个看得见的手也好
[01073.80-01075.06] 或者叫有形的手也好
[01075.06-01076.48] 它出自于谁都住作
[01076.48-01077.44] 在旁边写上
[01077.44-01079.68] 就是我们所熟悉的凯斯
[01080.52-01082.52] 相当了不起的一个经学家
[01082.52-01084.48] 凯斯当时写为本书
[01084.48-01085.84] 它的书的名充
[01085.84-01088.42] 叫做就业信息和获律通论
[01088.42-01089.32] 写的旁边
[01090.28-01095.60] 就业信息和获律通论
[01095.60-01097.88] 我们减成就叫做通论
[01097.88-01101.20] 在通论当中提到的
[01103.00-01104.80] 叫做看得见的手
[01104.80-01106.28] 这个地方一般怎么考呢
[01106.28-01107.60] 我在这里大家就说一下
[01108.24-01111.44] 在这里面经常会把这几个点穿成一串来考察
[01111.44-01112.60] 首先第一个要明确
[01112.60-01115.24] 计划配这个主体是政府去条件的
[01115.24-01116.76] 政府如何条件呢
[01116.76-01120.16] 我们说了是在第二年的经济开始运行之前
[01120.16-01121.44] 所以叫事情条件
[01121.44-01123.80] 政府又是看得见摩的找的
[01123.80-01125.28] 所以他在这里面就说了
[01125.28-01127.52] 政府看得见的手的条件
[01127.52-01128.76] 会有行了手的条件
[01128.76-01130.12] 出自于谁的住座
[01130.12-01132.12] 你要知道出自于通论
[01132.12-01135.08] 这个点是容易把这三个点变成
[01135.08-01137.32] 一个选项来考察我们的
[01137.32-01139.64] 考察的就是它的一个匹配
[01139.64-01141.12] 所以在这里大家知道
[01141.12-01143.68] 是计划配置
[01143.68-01146.32] 计划配置它有优点又缺点
[01146.32-01148.00] 计划配置的优点在啥呢
[01148.00-01148.96] 咱们刚才说了
[01148.96-01150.24] 计划配置的优点
[01150.24-01151.40] 其实就在于两个字
[01151.40-01153.12] 就是啥 就是公平
[01153.12-01155.12] 当这个东西它不够分的时候
[01155.12-01156.40] 只要國家出手
[01156.40-01158.60] 那其實就能夠滿足大多數的需要
[01158.60-01161.32] 就不會說讓無良的商人去操縱的一個東西
[01161.32-01162.28] 所以在這裡面
[01162.28-01165.36] 計劃配置它一個優勢就在於公平
[01165.36-01166.32] 那這裡面
[01166.32-01167.64] 只是我們所說它的優點
[01167.64-01168.76] 那它有沒有缺點呢?
[01168.76-01169.32] 有
[01169.32-01170.40] 它的缺點就是什麼
[01170.40-01171.32] 計劃配置呢?
[01171.32-01173.48] 它其實全程是由誰來主導的
[01173.48-01175.48] 全程是由政府來主導的
[01175.48-01177.32] 政府如果為了實現公平
[01177.32-01178.84] 它其實就會設計什麼
[01178.84-01181.00] 它其實就會設計效率
[01181.00-01182.52] 所以絕對簡單的例子
[01182.52-01185.00] 比如說你現在手裡有實的意
[01185.00-01186.60] 我也想有10個億
[01186.60-01187.56] 我们都想一想
[01187.56-01189.40] 假如說你現在手610個億
[01189.40-01191.40] 如果政府不給你強制指令的話
[01191.40-01192.16] 我現在的那一說
[01192.16-01193.00] 我說你這10個億
[01193.00-01194.72] 可以在市場當中隨便去投資
[01195.76-01197.04] 我說你投什麼都行
[01197.04-01199.32] 你一定要投什麼樣的行業和企業
[01199.32-01201.12] 你不能說老實話拿著10個億
[01201.12-01202.40] 我就是新善
[01202.40-01204.08] 我就是要去做此善
[01204.08-01205.76] 我就是看不得別人受苦
[01205.76-01208.56] 那是你個人的這樣的一個高上的一個想法
[01208.56-01211.36] 但是按照市場比性人的假說來看
[01211.36-01212.80] 假設我不給你做的限制
[01212.80-01213.72] 我說這10個億
[01213.72-01215.60] 你可以投入到任何行用当中却
[01215.60-01219.32] 你一定会把这时刻意投入到最赚钱的领域
[01219.32-01222.12] 因为本质是李先生的假设就是什么
[01222.12-01223.68] 就是追逐利益的
[01223.68-01225.24] 所以在这时刻意当中
[01225.24-01226.64] 如果有你自发的
[01226.64-01227.80] 你想去投资的话
