[00000.00-00004.08] 今天来聊聊为提当中的第三个方面的网
[00163.22-00164.54] 而不宣揚各人的一个种主义
[00164.54-00166.22] 所以你看我们就会在文化的
[00166.22-00169.42] 建设里面在维学艺术当中体现什么
[00169.42-00170.94] 体现集体主义关键
[00170.94-00172.54] 我们这几年上映的
[00172.54-00173.54] 我们经常看到的
[00173.54-00175.22] 让我们不经热银况的
[00175.22-00176.34] 一系列的电影
[00176.34-00178.02] 比如说场景湖系列
[00178.02-00180.54] 我们都看到在看明朝战场当中
[00180.54-00183.30] 有很多无数的最可爱的人
[00183.30-00184.46] 犀生在战场上
[00184.46-00185.54] 但在场景湖当中
[00185.54-00187.74] 我们能看到在那样的一次战云当中
[00187.74-00189.58] 有很多人在雪地当中
[00189.58-00190.98] 为了接手在它
[00190.98-00191.94] 这个港位上
[00191.94-00192.30] 对吧
[00192.30-00195.10] 接手在我们所说的这样的一个位置上
[00195.10-00196.82] 在等待命令的过程当中
[00196.82-00197.78] 因为温度比较丢
[00197.78-00199.54] 很多人就在那里活活被动死了
[00199.54-00199.90] 对吧
[00199.90-00202.86] 那你看我们在场景固定有能力所看到的
[00202.86-00204.82] 它不是一个人太有多扭
[00204.82-00206.58] 而是有很多的人
[00206.58-00209.62] 它们做一个集体所爆发出来的这样的一种力量
[00209.62-00212.50] 所以你看它发现场景固定也很强调的是吗
[00212.50-00214.14] 它强调的是集体主义吧
[00214.14-00216.46] 你甚至包括我们所看到的刘浪地球
[00216.46-00219.54] 有一幕让我真的是一下子在电源里当中
[00219.54-00221.02] 就热了一块就哭出来了
[00221.02-00223.82] 只是最后的时候在之前任务的时候
[00223.82-00225.58] 不说要去炸鬼的月球吗
[00225.58-00227.66] 然后要去按那个按钮的时候
[00227.66-00228.66] 到底是谁去
[00228.66-00230.14] 然后当时他们就在前面说
[00230.14-00231.74] 然后就有一个小孩这些局所了
[00231.74-00233.70] 当时就是师傅那个角色
[00233.70-00234.54] 就瞎一嘛
[00234.54-00236.34] 他把他的手放下去
[00236.34-00237.34] 放下去之后说了
[00237.34-00237.90] 说什么呢
[00237.90-00239.50] 说这种事情交给你们小孩
[00239.50-00240.30] 我不放心
[00240.30-00242.42] 大家就说了说中国航天中对
[00242.42-00244.86] 说56岁以上的还多少岁以上的出列
[00244.86-00246.18] 跨坏就都出来了
[00246.18-00247.74] 那个时候我们就能看到
[00247.74-00248.82] 我们所说的
[00248.82-00251.46] 有关于整纠这样的区练的问题
[00251.46-00252.82] 有关于就属于区练的体育
[00252.82-00255.30] 国家建设发展的体育人类声似
[00255.30-00256.74] 存亡的这样的问题
[00256.74-00257.74] 他不是一个人
[00257.74-00259.28] 这要是放在欧美电养当中
[00259.28-00261.08] 它可能就是刚剪下一个日百平啊
[00261.08-00262.98] 美国对长经常对长一个日百平的
[00262.98-00264.54] 但是我们看到的是什么
[00264.54-00266.38] 是一个团结的领量
[00266.38-00268.74] 是一个人或者是一件事情背后
[00268.74-00271.42] 它所展现的一个国家的领量一个集体的领量
[00271.42-00272.78] 而集体主义
[00272.78-00274.66] 它恰恰就是我们所提到的什么
[00274.66-00278.50] 它恰恰就是符合我们国家的文化建设要求的
[00278.50-00279.26] 所以你看
[00279.26-00281.10] 一是形态为特定借计服务
[00281.10-00282.46] 我们国家的特定借计
[00282.46-00284.62] 我们国家的主人就是人民
[00284.62-00286.02] 所以一是形态就决定了
[00286.02-00287.30] 我们国家的文化学员
[00287.30-00289.98] 必須是為了誰必須是為了人民的
[00289.98-00292.54] 所以我們的文化建設
[00292.54-00295.22] 在文化作品當中體現的也是什麼主義
[00295.22-00296.06] 也是積極主義
[00296.06-00297.90] 那你反觀我們所說的
[00298.38-00300.74] 西方他更加重上的是什麼
[00300.74-00302.02] 個人極端的自由
[00302.02-00303.94] 所以你看在西方當中
[00303.94-00307.22] 他的意識形態是為少數特定階級服務的
[00307.22-00308.58] 是為個人服務的
[00308.58-00311.14] 所以你看他的文化作品裡面體現的是什麼
[00311.14-00313.58] 你看都是萬元英雄系列當中
[00313.58-00315.34] 每個英雄都能整就一個世界
[00315.34-00316.38] 對吧那都是我們所說
[00316.38-00317.92] 單打毒毒所給到的
[00317.92-00319.04] 你看他就決定了
[00319.04-00320.98] 他的文化前進方向和道路是什麼
[00320.98-00323.22] 就是宣揚個人主義
[00323.22-00325.48] 這就是我們所說的意識形態
[00325.48-00326.54] 所以我們在這裡說了
[00326.54-00328.26] 說意識形態決定文化
[00328.26-00329.58] 前進方向和道路
[00329.58-00330.92] 他就是這個意識
[00330.92-00331.78] 所以在這裡面
[00331.78-00332.80] 大家一關的明確
[00332.80-00333.54] 這是第一個點
[00333.54-00335.90] 我們強調了意識形態的重要作用
[00335.90-00338.38] 所以我們國家才一直在這強調說什麼
[00338.38-00339.90] 文化它來自於人民
[00339.90-00341.38] 為什麼我們所看到的很多
[00341.38-00341.98] 有些據作品
[00341.98-00342.98] 大家喜不喜歡看
[00342.98-00345.98] 但我現在特別喜歡看以前的那種電視劇
[00345.98-00349.62] 比如像像作亚疫情 马大帅
[00349.62-00351.10] 这一系列的
[00351.10-00353.22] 为什么说这种故事
[00353.22-00354.38] 在很多人看到说
[00354.38-00355.26] 在前几年的时候
[00355.26-00356.74] 大家都谈说不过高大商怎么样
[00356.74-00357.86] 但是我很喜欢看
[00357.86-00358.86] 深深我的家人
[00358.86-00360.62] 我身边的很多朋友对这种电视
[00360.62-00362.14] 都觉得拍的至少非常好
[00362.14-00363.94] 因为他演的是身边人的事
[00363.94-00367.06] 他演的不是说高大上的精英好门采访
[00367.06-00367.46] 对吧
[00367.46-00369.34] 你换句话说我们喜欢看那种
[00369.34-00370.70] 我相信居于什么的
[00370.70-00372.06] 我们只是奇华尼
[00372.06-00373.30] 他临我们的生活太好了
[00373.30-00375.42] 但是反观这一年要发现当代的年轻人
[00375.42-00377.42] 他越来越有独立思考的证能力之后
[00377.42-00378.78] 他对那种八个种才
[00378.78-00380.94] 王王是一条看着这样的姿态去看他
[00380.94-00381.42] 那是吗
[00381.42-00383.14] 因为他离我们的生活太远了
[00383.14-00385.46] 能够受到我们欢迎的作品
[00385.46-00387.26] 王王都是贴进我们的生活
[00387.26-00389.74] 他在生活当中在影视作中当中
[00389.74-00391.22] 在他的文学住作中
[00391.22-00392.66] 或都或错少
[00392.66-00395.10] 所描写的那些东西都是由我们的所有人在
[00395.10-00396.66] 就像唐师李的人间严火
[00396.66-00397.98] 这本书里面说到一句话
[00397.98-00399.42] 说我们热爱一首师
[00399.42-00401.46] 不单单仅计是因为他是一首师
[00401.46-00402.74] 而是我们热爱的
[00402.74-00403.72] 或者我们喜欢的
[00403.72-00404.90] 是这种施当中
[00404.90-00406.58] 或多或少存在这种我们
[00406.58-00407.30] 所以你看
[00407.30-00408.22] 意识形态
[00408.22-00409.38] 它真的非常重要
[00409.38-00410.58] 它就决定了这个文化
[00410.58-00412.18] 是为多数人还是少数人
[00412.18-00413.18] 所以我们才说了
[00413.18-00413.74] 意识形态
[00413.74-00416.30] 决定文化发展的方向和道路
[00416.30-00417.30] 所以意识形态首先
[00417.30-00418.34] 在文化进程当中
[00418.34-00419.98] 必须要明确
[00419.98-00421.50] 所以在这里这是第一个点
[00421.50-00422.86] 我们说了意识形态
[00422.86-00425.66] 决定文化的前进方向和发展道路
[00425.66-00427.02] 而这个意识形态
[00427.02-00428.06] 大家要注意一下
[00428.06-00428.94] 我们所提到
[00428.94-00430.02] 这个意识形态
[00430.02-00431.94] 在意识形态领预当中
[00431.94-00434.06] 起到最為重要做用的是什麼
[00434.06-00435.66] 因為我們剛剛說了中國的疫情
[00435.66-00437.78] 他要為了大多數的人民群眾
[00437.78-00439.70] 我要為人民群眾去創建文化
[00439.70-00440.14] 對吧
[00440.14-00443.78] 那我們說了為人民他其實本身是誰觀念的一個體現
[00443.78-00445.10] 馬斯主義觀念的體現
[00445.10-00446.54] 所以第二點我們來看一下
[00446.54-00448.26] 那意識形態竟然這麼重要
[00448.26-00450.58] 那在意識形態領域當中最重要的是誰
[00450.58-00451.38] 馬斯主義
[00451.38-00452.82] 所以第二點來看一下
[00452.82-00454.02] 說馬斯主義
[00454.82-00457.38] 在意識形態領域的直到地位的根本制度
[00457.38-00460.50] 是堅持和加強黨對宣誠文化
[00460.50-00462.90] 却面臨到的是什么 根本要求
[00462.90-00464.30] 所以第二点大就记一个点
[00464.30-00467.44] 就是在意识形态领域当中最重要的是谁
[00467.44-00468.68] 马克思主义
[00468.68-00469.50] 明白这个点
[00469.50-00471.50] 所以他的邏輯关系欠套是什么
[00471.50-00474.30] 是我们国家要搞文化建设
[00474.30-00475.04] 那么说了
[00475.04-00477.30] 那要搞文化建设文化很重要
[00477.30-00478.62] 那怎么搞好文化建设
[00478.62-00481.34] 因为我们要有一个正确的意识形态
[00481.34-00482.62] 因为意识形态
[00482.62-00484.50] 它是民族之魂
[00484.50-00485.98] 它是一个立魂的工作
[00485.98-00487.70] 所以我们要有一个正确的意识形态
[00487.70-00489.22] 所以我们说了意识形态
[00489.22-00491.22] 绝对我们发发展的方向和道路
[00491.22-00491.82] 对不对
[00491.82-00493.42] 因为一直形态就表示了
[00493.42-00494.54] 你到底是为大多数人
[00494.54-00495.82] 还是为少数人的问题
[00495.82-00497.62] 咱们就这么直摆的去理解
[00497.62-00499.74] 那一直形态当中最维重要的是什么
[00499.74-00502.22] 那在一直形态领域当中最维重要的就是
[00502.22-00505.14] 我们国家必须坚持马克思主义
[00505.14-00507.42] 因为一直形态领域的内容非常多
[00507.42-00511.02] 那我们国家能够在国家发展起到非常重要的
[00511.02-00512.50] 根本知道的就是什么
[00512.50-00513.22] 马克思主义
[00513.22-00515.58] 所以我们要坚持马克思主义
[00515.58-00517.34] 在一直形态领域的什么
[00517.34-00518.22] 直到地位
[00518.22-00519.02] 看到没有
[00519.02-00520.42] 在红官上的啊
[00520.42-00522.22] 所以在这里面大家知道
[00522.22-00524.82] 之前的时候在19月四龙权会之前
[00524.82-00528.02] 我们只是强调马斯主义在意识形态领域的直到地位
[00528.02-00530.02] 就明确马斯主义非常重要
[00530.02-00535.02] 但所有的四龙权会把国家所有的制度疏利了之后就把原本的
[00535.02-00538.82] 马斯主义在意识形态直到地位的这样子一个思想
[00538.82-00541.22] 上升为了国家的一项制度
[00541.22-00543.42] 这个点大家了解一下就行
[00543.42-00548.62] 在这个里面大家只需要能够把他之间的这个逻辑关系去给他疏利清楚
[00548.62-00551.82] 然后一旦出现这个内容的大家知道它表输什么就OK
[00551.82-00553.38] 所以在这里面是有两个电
[00553.38-00557.02] 这两个电就是考察简单的实际型的题目
[00557.02-00560.66] 如果问你说谁是关乎民族立魂工作的
[00560.66-00563.30] 能够绝订文化前进方向和道路的
[00563.30-00564.86] 为民族立魂的
[00564.86-00565.10] 对吧
[00565.10-00566.78] 绝订文化方向的
[00566.78-00568.26] 就是意识形态
[00568.26-00569.50] 而意识形态领域当中
[00569.50-00571.66] 谁是根本直到地外
[00571.66-00573.30] 马斯主义就可以了
[00573.30-00574.82] 所以在这里面我们就提高了
[00574.82-00576.10] 这儿坚持马斯主义
[00576.10-00578.58] 在意识形态领域的根本直到地位的制度
[00578.58-00580.78] 这里面其实有两个点绣带去背住的
[00580.78-00582.70] 这两个点不会考的很难
[00582.70-00585.06] 就是直接挖控考察的这种
[00585.06-00586.18] 所以大家要明确
[00586.18-00587.58] 只是第一个我们明确了
[00587.58-00588.94] 在文化建制当中
[00588.94-00590.30] 一直形态很重要
[00590.30-00593.22] 就是明确了文化的方向
[00593.22-00595.22] 明确了文化的发展方向之后
[00595.22-00596.50] 我们今天来看一下
[00596.50-00598.58] 有关于我们所提到的
[00598.58-00600.46] 二十大当中提到的
[00600.46-00601.78] 有关于马斯主异
[00601.78-00603.06] 它的一个重要地位
[00603.06-00604.50] 因为我们刚才我们提到了
[00604.50-00606.90] 说马斯主异在一直形态
[00606.90-00608.70] 開裂的一道中起到照的一個地位
[00608.70-00611.50] 我們來看一下在最新的使用鏈接當中
[00611.50-00614.30] 有關20大當中是如何定義馬斯主義的地位
[00614.30-00617.14] 我們來看一下20大當中有關於馬斯主義
[00617.14-00618.10] 他的說法是什麼
[00618.10-00621.30] 我們來看一下說馬斯主義是我們國家
[00621.30-00623.70] 力道 逆國 新島 新國的什麼呢
[00623.70-00625.10] 根本直到思想
[00625.10-00626.90] 同學把這個根本直到思想
[00626.90-00627.50] 話出來
[00627.50-00629.10] 這個點得很好記
[00629.10-00629.90] 怎麼記呢
[00629.90-00630.90] 我來問一下大家
[00630.90-00632.10] 比如說同學們
[00632.10-00634.70] 我們國家現在在國家發展過程當中的
[00634.70-00635.90] 直到思想的哪些
[00635.90-00638.10] 就现在中国的直到思想又拿些
[00638.10-00639.86] 你一定能提到一些吧
[00639.86-00641.54] 来想一想想到的
[00641.54-00644.10] 就把他打在咱们的公平和弹幕上
[00644.10-00646.82] 我们现在所提到的中国发展的直到思想
[00646.82-00648.02] 你一定能说出来一些
[00648.02-00650.26] 比如说我们讲的到平理论
[00650.26-00651.62] 我们讲的三个代表
[00651.62-00652.82] 我们讲的科学发展观
[00652.82-00654.54] 一直现在我们讲的照做什么
[00654.54-00655.38] 新思想
[00655.38-00657.94] 这些都是当代中国建设的什么
[00657.94-00658.90] 直到思想
[00658.90-00660.74] 但是同时没有想过
[00660.74-00663.74] 洞三科以及我们所说的新思想
[00663.74-00667.50] 它都是马斯主义中国化的成果
[00667.50-00670.86] 所以它们都是马斯主义
[00671.86-00673.10] 中国化的成果
[00673.58-00675.42] 所以我们说了这些思想
[00675.42-00676.94] 它是中国的知道思想
[00676.94-00680.06] 而它们又都是马斯主义中国化的这样的一个成果
[00680.06-00683.06] 那我们一下大家在中国发展最维根源的
[00683.06-00684.98] 这些直到思想的来人在谁
[00684.98-00686.26] 在于马斯主义
[00686.26-00687.98] 因为它们是更深层次的
[00687.98-00689.70] 所以我们才说了马斯主义叫什么
[00689.70-00691.58] 叫根本直到思想
[00691.58-00693.82] 因為其他的那些是中國的指導思想
[00693.82-00695.82] 而他們又是馬斯主義的中國話
[00695.82-00698.02] 所以馬斯主義更深一層
[00698.02-00699.58] 我們挖解到他的本質
[00699.58-00701.82] 他是中國未來發展
[00701.82-00703.74] 立黨立國新黨新國的叫做
[00703.74-00705.26] 根本指導思想
[00705.26-00706.10] 所以在這裡面
[00706.10-00706.86] 大家要知道
[00706.86-00709.26] 這是第一個點馬斯主義他的地位
[00709.26-00710.54] 而實現告訴我們
[00710.54-00712.34] 那馬斯主義竟然這麼好
[00712.34-00712.70] 對吧
[00712.70-00714.26] 他是中國根本指導思想
[00714.26-00716.26] 那我們為什麼要堅持馬斯主義
[00716.26-00717.42] 在後面他就提到了
[00717.42-00718.78] 為什麼要堅持馬斯主義
[00718.78-00720.02] 他是實現告訴我
[00720.02-00721.14] 中國共產黨
[00721.14-00724.18] 为什么能中国特首主义为什么好
[00724.18-00725.10] 规则到底是什么
[00725.10-00725.86] 两个行
[00725.86-00728.26] 这两个行早在多少年前
[00728.26-00729.46] 对吧就提出来了
[00729.46-00730.86] 这两个行是哪两个行呢
[00730.86-00732.18] 这是第一个叫做
[00732.18-00733.30] 马克思主义性
[00733.30-00734.26] 因为马克思主义
[00734.26-00735.62] 我们在折血当中讲过
[00735.62-00736.42] 它是什么
[00736.42-00739.50] 科学的世界观众发法律
[00739.50-00740.26] 所以它行不行
[00740.26-00740.62] 它行
[00740.62-00742.30] 它影和世界发展的大使
[00742.30-00744.10] 能够为国家发展指名方向
[00744.10-00745.34] 所以叫马克思主义性
[00745.34-00746.70] 那光马克思主义
[00746.70-00747.18] 还不够
[00747.18-00747.50] 对吧
[00747.50-00749.18] 因为中国的情况比较复杂
[00749.18-00753.78] 馬斯主義他研究的是整個國家運行整個世界運行的規律
[00753.78-00755.34] 但是中國有中國的情況
[00755.34-00756.86] 其他國有其他國要情況
[00756.86-00758.66] 我們必須把馬斯主義怎麼樣
[00758.66-00760.38] 中國的話實在化
[00760.38-00765.06] 讓馬斯主義和中國實際相結合和中國的具體情況相結合
[00765.06-00768.54] 於是就又給到了和中國實際相結合叫中國化
[00768.54-00772.66] 和中國具體情況相結合隨時代發展不斷發展叫做實在化
[00772.66-00775.02] 所以中國為什麼離不開馬斯主義
[00775.02-00776.18] 归更到底两个行
[00776.18-00777.54] 因为马斯主异行
[00777.54-00780.46] 因为中国化实带化的马斯主异行
[00780.46-00782.98] 中国化就是和中国实际情况相结核班
[00782.98-00784.90] 这早在某东同志就提出来了
[00784.90-00786.02] 实带化是什么
[00786.02-00787.26] 就是理论
[00787.26-00788.98] 要随这时代不断发展
[00788.98-00791.22] 于是才有了某登三科
[00791.22-00793.26] 以及现在的新思想
[00793.26-00795.42] 新时代中国特色生活主义思想
[00795.42-00796.46] 这个的明确吧
[00796.46-00797.90] 所以在这里面大家知道
[00797.90-00798.86] 如果在考试到中
[00798.86-00800.66] 它问到两个形式哪两个行
[00800.66-00802.10] 就知道马斯主异行
[00802.10-00806.44] 以及中国化时代化的马斯主义形
[00806.44-00808.24] 这个就是我们所提到的
[00808.24-00810.80] 有关于20大当中所提到的马斯主义
[00810.80-00814.14] 所以它的博具框架就是这样的一个框架
[00814.14-00816.94] 文化我们要讲文化介绍文化建设当中
[00816.94-00818.74] 立魂工作的意识形态
[00818.74-00820.78] 意识形态当中最重要的马斯主义
[00820.78-00824.38] 而马斯主义在20大当中它的表述地位是有两个
[00824.38-00827.44] 第一个它是根本直到思想
[00827.44-00830.52] 第二个我们在马斯主义当中讲到了两个形
[00830.52-00832.76] 就把这两个行当作一个固定搭配
[00832.76-00834.72] 放在任何文件都是这两个行
[00834.72-00835.64] 哪两个行呢
[00835.64-00837.64] 就是第一个我们所提到的叫做
[00837.64-00839.04] 马斯主异行
[00839.04-00840.56] 那马斯主异当然行
[00840.56-00843.08] 因为它是科学的世界王法法论
[00843.08-00845.20] 第二个马斯主要能够是用中国
[00845.20-00847.52] 那就要不断的中国化
[00847.52-00848.52] 和什么化
[00848.52-00849.64] 实带化
[00849.64-00851.24] 以前我们只提中国化
[00851.24-00852.44] 但是现在我们加了一个
[00852.44-00854.68] 随时代的发展不断提出心理个
[00854.68-00857.96] 所以要中国化实带化的马斯主异行
[00857.96-00859.48] 就是这样一个逻辑概念
[00859.48-00861.48] 你把这个邏輯去给他理顺
[00861.48-00864.14] 他无论是考单纯的挖控
[00864.14-00866.52] 还是去考我们所说的理解
[00866.52-00868.92] 还是在这里考判断多选等等
[00868.92-00870.52] 你把这个邏輯说里清楚
[00870.52-00871.32] 那么这个点
[00871.32-00871.88] OK
[00871.88-00872.92] 没有什么问题了
[00872.92-00874.64] 这个就是我们所说的
[00874.64-00876.28] 第一个在文化建制当中
[00876.28-00878.76] 我们提到的意识形态一节马思主义
[00878.76-00881.04] 那了解了文化发展的方向
[00881.04-00884.04] 也知道了文化在发展过程中的坚持马思主义
[00884.04-00886.16] 接下来我们就回过头来来聊一聊
[00886.16-00890.28] 我们在正式推荐中国受负主育文化接受当中
[00890.28-00891.64] 应该关注哪些问题
[00891.64-00894.80] 小推荐文化接受首先第一个我们要求做的
[00894.80-00898.48] 就是陪欲和健行社会主义和先下止关
[00898.48-00901.16] 我们先来看一下什么叫做受负主育和家族万一
[00901.16-00902.16] 其他的地位
[00902.16-00904.44] 这个点是一个医生级的支持点
[00904.44-00906.28] 也就是在这里面考过几次
[00906.28-00908.36] 比如说在合备的考上中出现过
[00908.36-00913.24] 说核心价值观说存在着一个民族一个国家的精神追求
[00913.24-00916.80] 体现着一个社会平派是非驱纸的价值标准
[00916.80-00919.30] 是一个民族赖伪戏的精神扭戴
[00919.30-00921.64] 是一个国家共同的什么思想基础
[00921.64-00923.84] 所以核心价值观大家注意一下
[00924.64-00927.06] 核心价值观或者是受主意和价值观
[00927.06-00930.76] 它是一个民族赖伪伪戏的精神扭戴
[00930.76-00933.56] 是一个国家共同的什么思想基础
[00933.56-00935.76] 也就是核心价值观的把这个国家
[00935.76-00938.22] 最为宁念的内核拿出来了
[00938.22-00941.48] 所以在这里它是叫做共同的思想基础
[00941.48-00943.02] 这个点大家一定要明确
[00943.02-00945.24] 这是收据和新加坡它的地位
[00945.24-00946.72] 这是需要的掌握的
[00946.72-00948.52] 第一个点
[00948.52-00949.52] 第二个点
[00949.52-00950.56] 大家要在这里明确
[00950.56-00952.74] 既然提到核新加坡官
[00952.74-00955.56] 我们就要知道我们国家的核新加坡官是什么
[00955.56-00959.40] 我们把它撑弄这位叫做社会主义核新加坡官
[00959.40-00961.56] 我们国家的收据和新加坡官的内容
[00961.56-00962.48] 大家注意一下
[00962.48-00964.00] 它也是一个重要的考点
[00964.00-00966.94] 这个地方的考点就是考察一个对应
[00966.94-00971.00] 我们都知道收据和新加坡官在大街小巷随数考见
[00971.00-00973.00] 我记得我以前在出差的时候
[00973.60-00975.10] 经常能看得你看现在的
[00975.10-00977.10] 我们看到大多数的标语什么
[00977.10-00978.20] 习近二十大
[00978.20-00980.30] 什么间级冠车二十大的理念精神
[00980.30-00981.70] 现在这样的标语要多
[00981.70-00985.70] 找在比如说最开始在出差的前几点的时候
[00985.70-00988.80] 你比如说像18年19年20年
[00988.80-00990.10] 这三年的时间
[00990.10-00992.00] 我看到的标语的最多的
[00992.00-00993.56] 就是那个路灯上都写的
[00993.56-00995.20] 富强民主文明核写
[00995.20-00997.16] 在那个墙上印的都是什么
[00997.16-00998.80] 收入主义核音价值观等等
[00998.80-01000.20] 我甚至去到了那个酒店
[01000.20-01002.64] 我都感觉我自己个人出的那个酒店的我都不害怕
[01002.64-01003.64] 大家都知道啊
[01003.64-01005.80] 我做一个间谍的美物主义战士
[01005.80-01007.36] 但也是有单小的时候
[01007.36-01008.84] 你这有的时候别人跟你说多了
[01008.84-01010.20] 你这心里都会犯敌过
[01010.20-01012.52] 虽然我知道正事情坚决不存在
[01012.52-01014.48] 比如说去住酒店的时候
[01014.48-01015.80] 因为有的时候你去住酒店
[01015.80-01016.84] 你那个客
[01016.84-01018.12] 他可能就你一个老师
[01018.12-01019.68] 没有其他老师跟你搭客的话
[01019.68-01021.52] 你这个酒店当中就自己一个人住
[01021.52-01023.08] 然后你自己个人住到也没有什么
[01023.08-01024.60] 如果你住在那个酒店的那个
[01024.60-01026.88] 正中间的话房间正中间有没有什么
[01026.88-01029.32] 但是我比较害怕的住的是这把头
[01029.32-01031.56] 就是最多最镜头的房间
[01031.56-01034.08] 又或者是走浪最伟端的房间
[01034.08-01035.20] 就是靠楼梯的整无
[01035.20-01036.88] 我是不太喜欢住的
[01036.88-01039.84] 因为你感觉这地方人比较少
[01039.84-01041.52] 你自己的安全感就不会很高嘛
[01041.52-01041.92] 对吧
[01041.92-01043.44] 然后你又是因为从小到大
[01043.44-01043.96] 你就会
[01043.96-01045.88] 然后人呢就比较相相相相
[01045.88-01047.20] 一个人的时候想要那些无限
[01047.20-01048.52] 然后你就会想一些其他人
[01048.52-01049.04] 你把它造了
[01049.04-01050.80] 然后就会有点害怕
[01050.80-01052.04] 尤其是晚上的时候
[01052.04-01052.88] 但是当然啊
[01052.88-01053.68] 现在我长大了
[01053.68-01055.44] 是我有一个监定的没有主意战士
[01055.44-01056.48] 然后这个难不到我
[01056.48-01057.64] 但是那个时候你这
[01057.64-01058.62] 我多少年前
[01058.62-01061.20] 你一几年的时候我那个时候我
[01061.20-01062.60] 我当年为12月20日
[01062.60-01064.24] 20多岁的青年
[01064.24-01065.42] 所以那个时候呢
[01065.42-01066.44] 你就会想一些
[01066.44-01067.04] 然后呢
[01067.04-01069.24] 就有一天我在去一个地区上课的时候
[01069.24-01070.52] 他就给我安排到了什么呢
[01070.52-01072.52] 就安排到了这个走狼的最近头
[01072.52-01073.92] 那个走狼的那个灯外
[01073.92-01074.72] 不是特别的亮
