[00000.00-00005.00] 了解了整個行政法以行政訴訟法的一個基本價格之後
[00293.58-00295.74] 我们的一个破体的关键就是要掌握
[00295.74-00296.98] 形成把记得原则
[00296.98-00298.50] 它的一个框架
[00298.50-00300.26] 就是你只有把它的框架
[00300.26-00302.46] 从六大我们所说的记得原则
[00302.46-00305.10] 再到每一大记得原则下面有几个子原则
[00305.10-00306.30] 都给个记住之后
[00306.30-00308.66] 你这个时候才能够很好的应对
[00308.66-00310.14] 有些案例
[00310.14-00312.86] 那说老师这里面没有什么记忆的技巧
[00312.86-00314.14] 没有记忆的技巧
[00314.14-00316.26] 因为在这就是没有办法
[00316.26-00318.42] 去给大家去花工作的时间
[00318.82-00322.14] 去给大家去讲解太多的这种口觉
[00322.14-00324.38] 因为在法律上我一关
[00324.38-00327.10] 讲课的习惯也好
[00327.10-00328.74] 或者是同学们变成一个方式
[00328.74-00330.14] 就是宽价的书里
[00330.14-00331.98] 所以在记得原则这一块
[00331.98-00333.54] 没有给大家去变口觉
[00333.54-00335.02] 但是没有关系
[00335.02-00336.86] 你只要把这个宽价反复拿出来
[00336.86-00338.46] 去多开两眼就OK了
[00338.46-00341.86] 所以这是我们所说的小作队基本原则这一类题目
[00341.86-00342.86] 它的一个关键
[00342.86-00347.46] 接下来就需要先耐心主意地把这几个原则来给大家说清楚
[00347.46-00350.26] 首先第一个原则就是在形容法当中
[00350.26-00351.94] 我们的第一个原则就叫做什么
[00351.94-00353.66] 就叫做合法行政
[00353.66-00355.46] 热老师为什么要合法行政
[00355.46-00357.46] 我在前面其实又给大家去说过
[00357.46-00360.26] 咱们当时就给大家说了说关管您
[00360.26-00363.66] 如果他就是国家机关比如说关局
[00363.66-00365.66] 比如说顺务局对吧等等
[00365.66-00366.86] 像这些国家机关
[00366.86-00369.00] 它是必要常见的一类行政主体
[00369.00-00371.10] 它在激进行管理国家事务的时候
[00371.10-00373.28] 它如果不尊许法律的事情
[00373.28-00376.24] 或者是不尊许法律法规的这种规章制度
[00376.24-00377.70] 去行使它的权利的话
[00377.70-00379.10] 很认出现什么问题
[00379.10-00381.38] 很认出现权利的练用
[00381.38-00382.58] 比如说什么时候
[00382.58-00384.66] 你可以把我行政具留啊关局
[00384.66-00386.78] 什么时候你可以把我行事具留啊
[00386.78-00389.26] 对吧这是不是都有法律的名文规定啊
[00389.26-00390.42] 如果没有名文规定啊
[00390.42-00391.50] 那好加过行了
[00391.50-00393.46] 那关于国家公泉的想着不抓人
[00393.46-00395.38] 怎么抓人想怎么扣人怎么扣人
[00395.38-00397.38] 那简直了 反了天安了 对不对
[00397.38-00399.78] 所以在这面为了保护公民的权益
[00399.78-00402.30] 大助一下整个形容法 形容素素法
[00402.30-00404.30] 本身上都是在控权
[00404.30-00407.10] 尽可能的保护到我们所说的什么
[00407.10-00411.26] 民事去了形正当中的民的权益
[00411.26-00412.70] 所以它的本身上在控权
[00412.70-00413.90] 所以在控权当中的第一个
[00413.90-00415.54] 就是国家权力机关也好
[00415.54-00417.02] 所谓的形容主体
[00417.02-00421.22] 它在形使相的直权的时候必须要遵徐相的法律
[00421.22-00423.34] 所以在这里我们才会提到交给什么
[00423.34-00426.92] 叫做第一个合法行政
[00426.92-00428.92] 这时候首先就要知道
[00428.92-00430.52] 既然提到了合法行政
[00430.52-00432.94] 合法行政是放在第一个讲的
[00432.94-00434.66] 所以它就可以成为什么
[00434.66-00436.86] 它就可以成为行政法
[00436.86-00437.94] 基本原则当中的
[00437.94-00439.66] 同一把它的地位标出来了
[00439.66-00441.14] 这是一个实际型的点
[00441.94-00442.74] 打出一
[00442.74-00445.98] 合法行政是行政法的首要原则
[00448.42-00449.38] 首要原则
[00449.38-00451.20] 因为只有依法办事
[00451.20-00453.32] 才能約束權力計官的
[00453.32-00454.64] 我們所說的國家
[00454.64-00455.60] 公權力計官
[00455.60-00457.28] 他的一個權力的運行
[00457.28-00457.64] 對吧
[00457.64-00459.96] 如果沒有給他相當這種制度的話
[00459.96-00461.36] 他與法無據
[00461.36-00462.28] 他想怎麼辦
[00462.28-00463.84] 那這時候就亂了套了
[00463.84-00465.20] 所以在這裡面我們說了
[00465.20-00466.04] 行政法
[00466.04-00467.16] 這個合法原則
[00467.16-00467.72] 他是什麼
[00467.72-00468.96] 合法行政原則
[00468.96-00470.04] 他是由行政法紀委員
[00470.04-00471.04] 则當中的第一個
[00471.04-00472.56] 就是首要原則
[00472.56-00473.68] 而合法行政
[00473.68-00474.88] 他約束的是什麼
[00474.88-00476.16] 他約束的是
[00476.16-00477.44] 我們所說的這種
[00477.44-00478.52] 國家機關
[00478.52-00479.96] 他和民法不太一樣
[00479.96-00481.88] 民法当中是强调什么
[00481.88-00483.92] 强调双方当时的这种合意
[00483.92-00485.04] 就是你只要你愿意做
[00485.04-00485.76] 你不为法呢
[00485.76-00486.36] OK
[00486.36-00487.88] 只要法律没有禁止
[00487.88-00489.00] 民法当中
[00489.00-00490.00] 你想怎么做
[00490.00-00490.68] 就怎么做
[00490.68-00492.84] 你还法律没有禁止说哪些不能买卖
[00492.84-00493.72] 那就意味着什么
[00493.72-00494.68] 那就意味着
[00494.68-00496.16] 只要法律没有名文规定
[00496.16-00497.44] 哪些不可以买卖的
[00497.44-00499.60] 那你这个时候你想买卖什么就买卖什么
[00499.60-00500.56] 所以我们说了
[00500.56-00501.72] 民法开始强调什么
[00501.72-00503.52] 是法无受权及自由
[00503.52-00505.20] 民法强调你不要过渡的干语
[00505.20-00506.60] 老百姓只要大分合意
[00506.60-00508.20] 符合法律性规范的话OK
[00508.20-00510.92] 对外你别过多的身手干扰我桌开了
[00510.92-00513.80] 所以民法他强调的是法无受权
[00513.80-00514.60] 即自由
[00514.60-00518.44] 我们强调这是民法是法无受权
[00520.24-00521.00] 即自由
[00522.28-00523.12] 这是民法
[00523.12-00524.84] 那同位来看一下行政法的
[00524.84-00525.28] 什么的这样
[00525.28-00526.84] 行政法能够做到法无受权
[00526.84-00527.40] 即自由呢
[00527.40-00529.64] 就是不给行政法任何的规犯
[00529.64-00532.84] 也不在于对于国家公权力机关系进行控权
[00532.84-00533.48] 不行的
[00533.48-00535.00] 因为行政自由我刚才说了
[00535.00-00537.20] 很容易侵犯老百姓的权利
[00537.20-00539.12] 所以行政法当中强调什么
[00539.12-00541.88] 行政法当中所有的行政机关也好
[00541.88-00544.72] 所有的所谓的行政法层次的这种关也好
[00544.72-00547.16] 他来去进行相当的国家管理的时候
[00547.16-00549.92] 他必须都有明确的法律授权
[00549.92-00551.20] 所以在行政法当中
[00551.20-00553.08] 我们强调叫法无授权
[00553.08-00553.88] 怎么样
[00553.88-00555.68] 法无授权及进职
[00555.68-00558.16] 就是法律没有说让你做的
[00558.16-00560.98] 你这个机关你啥你也不能做
[00560.98-00563.00] 所以在这里叫强调法徒收拾权决
[00563.00-00563.64] 禁止
[00563.64-00565.34] 所以在这里我们就会发现
[00565.34-00569.44] 合法形装其实很好地就把民法和行政法怎么样
[00569.44-00570.44] 区分开了
[00570.44-00572.68] 所以在这里合法行政的第二个地位
[00572.68-00574.04] 同时标注在旁边
[00574.04-00578.00] 它是行政活动区别于民事活动的主要标志
[00578.00-00583.08] 所以现在旁边叫区别于民事活动的
[00586.08-00587.12] 主要标志
[00587.12-00589.92] 所以他有的時候考單選題直接問
[00589.92-00592.48] 說形狀法的基本原則是啥
[00592.48-00595.76] 或者問區別與民視活動的主要標誌是啥
[00595.76-00599.92] 你知知理就要知道是我們所提到的叫做合法行政
[00599.92-00600.88] 叫合法行政
[00600.88-00603.92] 這是第一個我們要明確合法行政他的地位
[00603.92-00605.56] 那明確他的地位之後呢
[00605.56-00609.52] 第二個我們就來看一下合法行政他所包含的內容
[00609.52-00613.44] 所以合法行政他所包含的內容其實是包括兩個方面的
[00613.44-00616.56] 第一個方面叫做法律優先
[00616.56-00618.80] 第二方便叫做法律暴流
[00618.80-00621.68] 在这里我们去被法律游戏和法律暴流
[00621.68-00622.60] 相对来说
[00622.60-00624.80] 它不太变于我们做理解形式题目
[00624.80-00628.16] 所以我们要把法律游戏和法律暴流
[00628.16-00630.44] 这两个寒异展开来讲讲
[00630.44-00631.92] 我们先来看一下第一个点
[00631.92-00633.96] 这是我们所说的法律游戏
[00633.96-00634.72] 我现在这
[00634.72-00635.12] 好吧
[00635.12-00638.12] 法律游戏其实有两个方面的寒异
[00638.12-00641.60] 是需要同学们在大家的这个讲印上做补充的
[00641.60-00644.00] 法律游戏是哪两个方面的寒异
[00644.00-00660.40] 第一個,同一般在旁邊,標準一下,就強調的是,形容機關所實施的所有的這種,我們所說的這種規定和決定都不得於法律相底處,所以在這裡面,在旁標準一下就是任何規定和決定。
[00660.40-00667.40] 这说任何规定和决定
[00667.40-00672.50] 不得 现在旁边不得
[00672.50-00678.50] 与法律 相体处
[00678.50-00686.50] 任何规定和决定都不得和法律相体处
[00686.50-00688.50] 如果他真的和法律相体处总办
[00688.50-00690.38] 它的管理性能位
[00690.38-00692.82] 或者是形狀器官所做的形狀器位
[00692.82-00694.26] 超出法律规定的犯委
[00694.26-00695.30] 那就意味着怎么样
[00695.30-00697.54] 那就意味着是五校的
[00697.54-00698.82] 那就意味着是五校的
[00698.82-00700.02] 所以第一个就是
[00700.02-00702.70] 形狀器官所做的任何规定和绝训
[00702.70-00705.46] 都不得于法律相底处
[00705.46-00706.98] 这是法律先当中的
[00706.98-00707.90] 第一个罕意
[00707.90-00709.38] 就个简单的例子也说
[00709.38-00711.70] 比如说之前
[00711.70-00712.90] 我举个简单例子
[00712.90-00714.06] 之前的时候
[00714.06-00715.50] 我们都知道前几年的
[00715.50-00716.78] 对我们生活影响掉大
[00716.78-00717.94] 其实做什么问题
[00717.94-00719.42] 其实就是疫情这个问题
[00719.42-00720.62] 但现在疫情已经结束了
[00720.62-00720.82] 对吧
[00720.82-00721.74] 在疫情最开始
[00721.74-00722.46] 直出的时候
[00722.46-00725.62] 国家出于对人民生命安全的考量
[00725.62-00726.14] 我们说了
[00726.14-00728.62] 我们放弃了国家生产国家投入大量的钱
[00728.62-00729.86] 保证老百姓的权业
[00729.86-00730.54] 那时候说了
[00730.54-00732.50] 我们要进行严格的这种管理
[00732.50-00732.98] 对吧
[00732.98-00734.66] 你进出都有严格的管理
[00734.66-00735.70] 也不能随利的
[00735.70-00737.14] 我们所说的想去的人去的
[00737.14-00738.42] 就那个时候我们都知道
[00738.42-00740.22] 这个病毒它的毒性太强了
[00740.22-00743.14] 它很容易对老百姓的生命健康造成损伤
[00743.14-00744.78] 所以国家下令严格管理
[00744.78-00746.38] 那今天严格管理的时候说了
[00746.38-00747.78] 我们要进行管控措
[00747.78-00749.78] 他是管控措施是不是也是
[00749.78-00751.78] 与法有趣根据法律相应的规定
[00751.78-00754.78] 他才能够把管控措施做到什么程度
[00754.78-00756.78] 那他如果在这种情况之下
[00756.78-00758.78] 说有一个地区做得特别极端
[00758.78-00760.78] 你比如说我们经常在新闻上的看到
[00760.78-00761.78] 说对事要实行隔离
[00761.78-00762.78] 事要实行管控
[00762.78-00764.78] 结果那个时候就走得很偏
[00764.78-00765.78] 偏到什么程度
[00765.78-00767.78] 我们看到很多的小区
[00767.78-00768.78] 说小区里面出现了一次病例
[00768.78-00770.78] 这后再往上就暴时来说
[00770.78-00771.78] 怎么样
[00771.78-00772.78] 巫业还是谁的
[00772.78-00774.78] 是个就把小区的什么
[00774.78-00778.46] 这个小区所在单楼的单梦给看死了
[00778.46-00780.02] 这看死了之后你也不让人出去
[00780.02-00781.74] 那人家上证所买东西
[00781.74-00783.14] 是否都没有办法解决
[00783.14-00784.62] 那你看这种情况之下
[00784.62-00787.58] 如果说现在看死大门的这个事情
[00787.58-00789.34] 是国家机关所实行的
[00789.34-00790.38] 比如说关局
[00790.38-00792.22] 他去把人家小区的门和看死了
[00792.22-00793.78] 他这个行为就属于什么
[00793.78-00795.66] 就属于他哪怕你看
[00795.66-00798.46] 他所做的这项管控的规定
[00798.46-00800.82] 你看这是不是他要实行格里管控规定
[00800.82-00803.22] 他所实施的这种国里管控规定是啥呢
[00803.22-00804.98] 反正一次有一次病例的
[00804.98-00806.94] 大家们的这个罗卡一下给他害死了
[00806.94-00809.10] 他的这种规定就与什么相对出了
[00809.10-00810.62] 就与法律相对出了
[00810.62-00813.30] 如果他的这相对定与法律相对出的话
[00813.30-00814.22] 我们就认为怎么样
[00814.22-00816.54] 这个形正行为是无销的
[00816.54-00817.86] 因为为法无销
[00817.86-00819.94] 所以所谓的合法形正第一点
[00819.94-00821.26] 法律无线当中说什么
[00821.26-00822.94] 说的就是任何规定和决定
[00822.94-00824.82] 都不能和法律相对出
[00824.82-00826.02] 如果底出怎么办
[00826.02-00826.90] 底出无销
[00830.34-00831.90] 如果底出那怎么样
[00831.90-00835.30] 底床无效,该行为就是违法
[00835.30-00836.70] 违法是可以告诉它
[00836.70-00838.10] 你可以申请行中服役
[00838.10-00840.30] 也可以申请行中服送,对吧
[00840.30-00842.50] 所以,它如果真的违法给你造成所事的话
[00842.50-00844.42] 它对你愈也配偿
[00844.42-00845.38] 愈配偿
[00845.38-00848.30] 所以,在这里,大家注意,这是法律线当中的低个点
[00848.30-00851.62] 任何规定和决定都不得和法律线底床
[00851.62-00853.42] 底床无效,这是低一个
[00853.42-00856.10] 那第二个呢,就是我们所说的法律线当中
[00856.10-00857.58] 第二个点,强调的是什么
[00857.58-00860.18] 强调的是,竟然强调法律线
[00860.18-00866.72] 既然常掉合法行政,那就意味着,行政机关它有15G率型,现行法率规定了什么?
[00866.72-00887.46] 15所以法率型的第二点,同时标准一下,就是行政机关,简单写,就是由15直行和实施,现行法,规定的,
[00887.46-00890.46] 行政一物
[00894.46-00897.46] 这个就是有意误去职行和实施
[00897.46-00898.46] 你就记着几个点
[00898.46-00900.46] 就是法律所规定的所有的您该做的事
[00900.46-00902.46] 这个时候你就应该去做
[00902.46-00904.46] 比如说你的价照考试
[00904.46-00905.46] 对吧
[00905.46-00907.46] 可以课课分课分 面满分通过
[00907.46-00908.46] 对吧 全部都满分通过
[00908.46-00910.46] 那你就符合什么
[00910.46-00911.46] 就符合给你办法
[00911.46-00913.46] 价使正的这样的一个条件了
[00913.46-00915.46] 如果你去申请价使正
[00915.46-00917.66] 然后给你办法架政的单位
[00917.66-00919.18] 对你的申请不离不财
[00919.18-00919.82] 那他怎么办
[00919.82-00921.70] 他就没有尊重现行法
[00922.42-00924.10] 将的一个规定去執行探位
[00924.10-00925.82] 你发挣的这个一无吧
[00925.82-00927.62] 那他如果不给你发挣太是怎么样
[00927.62-00929.10] 他也是违法的
[00929.10-00929.78] 违法怎么样
[00929.78-00930.58] 违法不需要
[00930.58-00932.22] 就是告诉他其分你的权益
[00932.22-00932.62] 对吧
[00932.62-00933.54] 所以在这里面
[00933.54-00934.18] 大家要明确
[00934.18-00935.78] 所谓的这个法律优先
[00935.78-00938.38] 他强调叫做法以规定不可为
[00938.38-00939.30] 什么叫法以规定呢
[00939.30-00940.74] 法律已经规定的
[00940.74-00942.66] 那这个时候你在去进色订院
[00942.66-00943.34] 进行管理的时候
[00943.34-00944.78] 不能和法律接触
[00944.78-00948.46] 法律已經規定你要做的是你就必須要怎麼樣必須要做
[00948.46-00950.46] 所以法律優先一共是兩個方面
[00950.46-00951.74] 同意沒有記的是什麼呢
[00951.74-00954.82] 同意要記的就是合法行政原則當中法律優先
[00954.82-00957.42] 這兩個方面的那種而不是法律優先這幾個字
[00957.42-00960.86] 因為他考試的時候很少會考察到法律優先這個詞
[00960.86-00962.14] 反而會考察到什麼呢
[00962.14-00964.26] 考察到後面這兩種表述
[00964.26-00966.30] 這是法律優先當中的第一個
[00967.26-00969.66] 任何規定和決定不得一法律相底處
[00969.66-00971.46] 第二個就是他已經規定好了
[00971.46-00973.82] 那就必須去做有一物執行
[00973.82-00975.26] 它所規定的現行物
[00975.26-00978.44] 這個就叫做法律優先法律先
[00978.44-00979.38] 這是第一個點
[00979.38-00980.86] 除了法律優先之外
[00980.86-00981.90] 在合法行論中
[00981.90-00985.86] 還有第二個那種就叫做法律保留
[00985.86-00989.26] 法律保留場論是法務規定不可為
[00989.26-00991.26] 你就畫一下這就畫就行了
[00991.26-00993.30] 叫法務規定不可為
[00993.30-00994.98] 什麼叫法務規定不可為呢
[00994.98-00996.22] 這是如果說
[00996.22-00997.22] 行論機關
[00997.22-00999.86] 它在去進行箱的管理活動的時候
[00999.86-01001.46] 没有法律授权的话
[01001.46-01002.38] 指定是不行的
[01002.38-01003.38] 所以我们经常说了
[01003.38-01005.10] 法无授权及禁止嘛
[01005.10-01006.70] 叫无授权和无行政
[01006.70-01008.82] 有授权才有行政
[01008.82-01010.86] 所以法律规定了什么
[01010.86-01012.90] 这个时候你只能去做这些
[01012.90-01014.78] 这个叫做法律暴力
[01014.78-01016.42] 所以法律暴力你就旁边写上
[01016.42-01017.58] 叫法律规定不可为
[01017.58-01021.18] 那欢迎话说的就是不得法位设定权利
[01023.58-01026.34] 叫不得法位设定
[01026.34-01030.18] 全定不得法院设定权利
[01030.18-01032.22] 所以在这里面去叫做法律暴流
[01032.22-01034.06] 而考试的时候怎么考呢
[01034.06-01034.78] 大家注意一下
[01034.78-01037.34] 它会重置三个角度当中
[01037.34-01039.90] 然后给你去考察
[01039.90-01041.70] 考察的方式给你论描述
[01041.70-01043.94] 它说一下ABCD色选当中
[01043.94-01046.30] 哪一个选项不符合和法行政
[01046.30-01048.22] 那就知道色选当中不符合的
[01048.22-01050.14] 那就是在这三个川之外的
[01050.14-01050.90] 第二个呢
[01050.90-01052.14] 它就会给你一个案例
[01052.14-01052.70] 问
[01052.70-01055.70] 它为法了哪一个行政法机会原作
[01055.70-01059.28] 这时候就给到A和法行政避合理行政等等这些
[01059.28-01062.34] 所以他会把我给大家解释的这几句话
[01062.34-01064.92] 或者是考试当中长出现的这个选项
[01064.92-01066.20] 变成具体的案例
[01066.20-01067.48] 一旦变成具体的案例
[01067.48-01070.30] 你要能够回后到他属于合法行政
[01070.30-01072.26] 所以合法行政大家计两个违度
[01072.26-01074.04] 第一个就是合法行政是
[01074.04-01078.36] 行政法的基本首要原则是区别于民事活动的主要标志
[01078.36-01081.14] 第二个违度就是合法行政如果弃化下来
[01081.14-01083.70] 他是有三个资物规则的
[01083.70-01085.24] 第1个就叫做什么
[01085.24-01087.38] 就是不得于法律相体触
[01087.38-01089.18] 第2个法律规定的应该去做
[01089.18-01091.38] 第3一个就是不得机行法卖
[01091.38-01092.62] 设定的权利
[01092.62-01093.88] 就是不得法卖数权
[01093.88-01096.68] 所以这是第1个叫做和法行政
[01096.68-01098.76] 想要就是任何的形狀关的行为
[01098.76-01101.10] 都必须符合相当的法律规分
[01101.10-01102.60] 这是第1个和法行政
[01102.60-01104.94] 但是只有法和弄的会计觉得
[01105.66-01107.20] 有点冷酷无情
[01107.20-01107.58] 对吧
[01107.58-01109.26] 如果单单只有法的话
[01109.26-01111.22] 那这时候形狀关率就会变得怎么样
[01111.22-01112.94] 就会变得冷冰冰的
[01112.94-01114.22] 所以這種情況之下
[01114.22-01114.72] 說了
[01114.72-01115.76] 除了有和它形成之外
[01115.76-01117.04] 還必須要什麼形成
[01117.04-01118.16] 還必須要有
[01118.16-01119.84] 合理形證
[01119.84-01122.16] 所以在這個時候就給到了形證法當中的
[01122.16-01125.14] 第二個原則就叫做合理形證
[01125.14-01127.10] 也就是說形證決定
[01127.10-01129.02] 它應當具有什麼理性
[01129.02-01130.36] 而最低限度的理性
[01130.36-01131.50] 就是強調形證決定
[01131.50-01135.22] 它必須用一個正常智利的普通人的
[01135.22-01137.30] 所能達到的合理和實當
[01137.30-01139.30] 所以這種情況之下就要合理形證
[01139.30-01140.34] 也是我們常說的說
[01140.34-01141.98] 你別太離譜對不對
[01141.98-01146.76] 所以在这里面形容法机会严则第二个就是他在进行形容法设定的时候
[01146.76-01148.32] 他不能太离谱
[01148.32-01149.74] 不能让老百姓接受不了
[01149.74-01152.22] 所以在这里就会强调什么 合理形状
[01152.22-01154.68] 合理形状一共有三个方面的内容
[01154.68-01155.80] 同样注意一下
[01155.80-01159.48] 这三个方面内容第一个就叫做公平公正原则
[01159.48-01161.18] 公平公正其实强调的重什么
[01161.18-01163.48] 其实强调就是平等原则
[01163.48-01165.58] 在这里面公平公正原则
[01165.58-01167.28] 同能长入的第一个点就要知道
[01167.28-01169.46] 他其实合理形状当中的一个子原则
[01169.46-01171.42] 同能把公平公正化出来
[01171.42-01174.22] 而公平公正元則他有個時候比較喜歡考什麼呢
[01174.22-01177.34] 大家知道公平公正我們一般強調就是什麼
[01177.34-01179.46] 這是你不能待也有色眼睛去看
[01179.46-01182.58] 你不能就是對人不對勁
[01182.58-01184.82] 你說換句話說呢你不能有私心
[01184.82-01186.42] 你不能搞歧視對不對
[01186.42-01187.78] 那這種情況之下我們說了
[01187.78-01190.10] 這種公平他屬於同能情況
[01190.10-01191.10] 同能對待
[01194.34-01196.14] 他屬於同能情況
