[00000.00-00004.04] 小朋友大家好 欢迎大家来学习新的知识板块
[00004.04-00005.80] 我是结束青年的解锐
[00082.72-00084.60] 测证在党史考察
[00084.60-00086.48] 终合理解这样的题目
[00086.48-00088.48] 那说老师什么叫综合理解呢
[00088.48-00089.56] 他都综合理解呢
[00089.56-00092.04] 其实在这么几个角度上来看
[00092.04-00092.56] 第一个呢
[00092.56-00094.72] 就是它会考察时间的排序
[00094.72-00097.04] 那在这里面所谓的时间的排序呢
[00097.04-00102.88] 这是让我们在全面系统的旧之上了解整个中国历史的发展时期
[00102.88-00104.16] 然后在这发展时期当中
[00104.16-00106.04] 他偶尔挑几个时间
[00106.04-00108.56] 然后给到我们让我们去给这些时间排序
[00108.56-00110.76] 那这样的话就不是单一的一个事件
[00110.76-00111.56] 就可以解决的
[00111.56-00115.36] 而是要宋观整个我们所说的近代史的时间线
[00115.36-00116.76] 才能就给他书理清楚
[00116.76-00118.56] 所以第一个会考排序
[00118.56-00119.12] 第二个呢
[00119.12-00120.76] 就是在排序的旧之上
[00120.76-00122.40] 把他和什么结合在块呢
[00122.40-00126.84] 把他和师哥或者是一些其他的我们所说的一些描述
[00126.84-00127.84] 结合在一起
[00127.84-00128.64] 然后呢
[00128.64-00131.44] 在从他的旧之上去排序
[00131.44-00132.72] 那这种情况之下呢
[00132.72-00136.20] 就是我们会考察师哥和世界的一个对应
[00136.20-00139.20] 那这里面我们如果不了解这个事发生了什么
[00139.20-00141.60] 那他给到的师哥给到的描述再多
[00141.60-00142.96] 咱们其实也对应不上
[00142.96-00144.48] 所以在这里面他会考察一个
[00144.48-00146.04] 师哥和描述的对应
[00146.04-00147.76] 那如果在难度升级的话
[00147.76-00150.76] 他都会把这两个结合在一块来考察
[00150.76-00151.94] 那这是我们所说的
[00151.94-00155.08] 宋观宁考察当中不要常见的第一个角度
[00155.08-00156.08] 那第二个角度呢
[00156.08-00157.52] 就是在宋观考察的时候
[00157.52-00160.88] 他会考察一些和实正相决合的知识
[00164.16-00166.28] 和实正只是点相决合的
[00166.28-00168.72] 比如说在二年考过生好的时候
[00168.72-00171.16] 二一年咱们出现了一个非常重要的一个事情
[00171.16-00173.68] 就是庆祝中国工程量成立也一百周年
[00173.68-00177.16] 那你看在二年的时候的紧接着就以这个时正为背景
[00177.16-00178.24] 然后就考察到了
[00178.24-00182.20] 以下关于中国工程量说法正确或者错误的事
[00182.20-00185.84] 那在这里面你看他给到的这一系列的说法正确的错误
[00185.84-00187.76] 是不是就会会实正相决合
[00187.76-00190.00] 然后把党使当中和他相关的知点
[00190.00-00192.20] 挑出来赚而作为选项
[00192.20-00193.92] 那这些点的就不是单一流
[00193.92-00196.04] 把这一个知识背下就能搞定的
[00196.04-00196.76] 而是要怎么样
[00196.76-00200.00] 而是要全面的系统的去学习
[00200.00-00203.56] 所以这是我们在综合理解性考察当中
[00203.56-00205.16] 他给到的出体的角度
[00205.16-00207.84] 比如说我在这里面同们举的例子来看
[00207.84-00209.68] 比如说在这里面他考察为到底啊
[00209.68-00211.48] 这到底是国考的整体
[00211.48-00215.12] 他说长征是宣言书是宣传对是郭总机
[00215.12-00217.88] 下来关于长征祖哥的失聚当中
[00217.88-00221.08] 事件瞭写些后甚至正确的事
[00221.08-00223.64] 那你看这里面就是给事件干嘛排序
[00223.64-00226.28] 排序他是一种比较基础的考察角度
[00226.28-00229.04] 但是我说了这个排序他可能会结合
[00229.04-00231.56] 一些相用的试歌或者系统的描述
[00231.64-00233.44] 那这里面其实就是一个
[00233.44-00235.28] 你看在这里面他就考察了
[00235.28-00237.72] 说第一个叫六盘山上红西山
[00237.72-00240.44] 你说老师这六盘山和长征祖书关系呢
[00240.44-00242.76] 如果我们去系统的学了之后你就知道
[00242.76-00245.00] 六盘山他其实是在长征
[00245.00-00246.80] 勝利的第一个结段之后
[00246.80-00248.64] 所以我们所说的出现的
[00248.64-00251.36] 对吧所以在这里面他其实是在1935年
[00251.36-00253.32] 那这这里面就出现六盘山就知道
[00253.32-00255.52] 阿是长征的第一个结段对吧
[00255.52-00257.92] 那第二个穷追蒙打多努定
[00258.64-00260.96] 大陆学过非读努定条
[00260.96-00263.80] 对吧那这里面也是长征祖书先生的一个
[00263.80-00266.92] 那你看排序山过草地对不对
[00266.92-00269.04] 还有四度赤水出奇编
[00269.04-00274.08] 他其实总体能考察的是红寓长征的路线
[00274.08-00275.60] 那你看在路线当中
[00275.60-00278.80] 就把它和世界的排序和相的十字结合
[00278.80-00279.48] 再了一起
[00279.48-00282.24] 那其实就是让我们能够掌握他的时候
[00282.24-00283.96] 相对来说细制一点
[00283.96-00285.88] 然后能够系统全面一点
[00285.88-00287.28] 你这时候再去调度支点
[00287.28-00289.36] 来应对题目的时候就给听送一些
[00289.36-00291.64] 那像这种呢是我们所说的国生考挖
[00291.64-00294.04] 军队文质考试出了相对来说
[00294.04-00296.40] 偏难一点的理解性的
[00296.40-00298.36] 我们所说的综合性的党事题目
[00298.36-00300.20] 那当然还有一些在三十一步考试
[00300.20-00302.36] 或者是部分地区的世界单位考试
[00302.36-00303.40] 考得比较简单
[00303.40-00305.60] 就是我刚才我们所说的纯粹的背售
[00305.60-00307.40] 比如说在这里面他提到了
[00307.40-00309.24] 说南城北利来见到
[00309.24-00311.64] 那这里面的南城北利分别指的是
[00311.64-00313.32] 那这个大家都知道了
[00313.32-00315.92] 就是程度就先选择和李大朝先生
[00315.92-00317.96] 其实你看目前他在考试的时候
[00317.96-00320.28] 如果画没两个大类的话
[00320.28-00321.64] 其实就是这两个大类
[00321.64-00324.68] 第一个就是单纯的单一的支持点的背售
[00324.68-00326.24] 第二个就是综合的
[00326.24-00328.64] 我们所说的全面的应用和考察
[00328.64-00330.20] 但是无论是哪一种
[00330.20-00332.20] 他的学习的核心
[00332.20-00333.60] 其实就是两句话
[00333.60-00334.52] 核心在意哪呢
[00334.52-00336.32] 第一个叫做一条主线
[00336.32-00338.12] 我们想要把整个党事
[00338.12-00339.48] 学得非常的透确
[00339.48-00340.76] 甚至考试当中
[00340.76-00342.84] 尽量地让他不丢分拿本份
[00342.84-00344.64] 必须把握主义条主线
[00344.64-00347.60] 这要主线就是时间发展满落
[00347.60-00349.24] 但是他虽然是时间线
[00349.24-00350.60] 或时间发展满落
[00350.60-00352.20] 同时不要线为一个物曲
[00352.20-00354.24] 就说那个老师那我这些东西
[00354.24-00355.56] 我就把它从头到尾
[00355.56-00357.76] 从哪一年哪一天哪一日
[00357.76-00359.76] 然后给他背起来不就可以了吗
[00359.76-00360.76] 那这种情况
[00360.76-00362.84] 他适用于我们所说的高考
[00362.84-00364.32] 或者是我们所说的中考
[00364.32-00366.68] 有时候我们出中和高中学律师的时候
[00366.68-00369.20] 每一个时间几点都被送得特别的信
[00369.20-00370.84] 但是我们现在是什么
[00370.84-00373.20] 是世界单位考试或国生考考试
[00373.20-00375.40] 他考察的不会要求这么细致
[00375.40-00377.32] 他考察的是综合的应用
[00377.32-00378.96] 所以在这条主线当中
[00378.96-00381.68] 不要求同学们把每一个世界的时间
[00381.68-00383.16] 都给他背从下来
[00383.16-00385.16] 效率低且没有必要
[00385.16-00386.32] 因为我们在考试的时候
[00386.32-00387.68] 他不会给你挖矿
[00387.68-00389.84] 说中共一那照片是在那一年
[00389.84-00391.52] 他不会这么去考的
[00391.52-00393.24] 所以我们需要做到的是什么呢
[00393.24-00394.56] 我们在这条主线当中
[00394.56-00396.96] 只要去了解他的一个世界的
[00396.96-00400.48] 大概时间已经世界发生的些物生就行了
[00400.48-00402.72] 我再讲解的时候会大家尽量的
[00402.72-00404.96] 从时间现场去串联
[00404.96-00407.36] 然后给大家去讲出箱的背景和故事
[00407.36-00409.12] 我换句话说的在这边一点
[00409.12-00411.00] 就同时把这些故事听明白
[00411.00-00413.52] 你知道哪个故事发生在前哪个故事发生在后
[00413.52-00416.32] 每一件事发生都会有前后的关系的
[00416.32-00418.92] 你大概知道这些故事发生的心事
[00418.92-00420.32] 就像你看小说一样
[00420.32-00422.04] 对吧你看到我们笔记也好
[00422.04-00423.32] 你看鬼吹灯也好
[00423.32-00425.20] 或者你看一些其他个小说也好
[00425.20-00426.32] 你怎么能记住的
[00426.32-00427.12] 我说你给我讲讲
[00427.12-00428.40] 那个到底是怎么回事
[00428.40-00429.72] 那云林天空咋样的
[00429.72-00431.36] 你宽话其他你就说出来了
[00431.36-00431.68] 对吧
[00431.68-00433.72] 你没啥能够讲的如此执情心
[00433.72-00434.84] 很简单
[00434.84-00436.32] 因为你知道这个故事
[00436.32-00438.12] 它的发生的心虎社群
[00438.12-00440.12] 我们学党史其实也是一样的
[00440.12-00443.48] 我们知道每一个时间它后面都是先活的人
[00443.48-00444.64] 都是先活的故事
[00444.64-00446.80] 我们都把这些故事大开知道
[00446.80-00447.76] 先发生了这个
[00447.76-00449.68] 所以保持的结果要发生另外一件事
[00449.68-00451.28] 把事件苏里清楚
[00451.28-00453.72] 就足以应对这条主线的体目
[00453.72-00454.56] 不需要同一门说
[00454.56-00456.48] 把每一个时间背得特别精准
[00456.48-00457.20] 大可不必
[00457.20-00458.36] 所以在这里给同一门
[00458.36-00459.28] 修正低个点
[00459.28-00460.44] 就是一条主线
[00460.44-00461.84] 而我们这条主线当中
[00461.84-00462.84] 就是最维重要的
[00462.84-00464.28] 事件的相似许许
[00464.28-00465.28] 就是低一个
[00465.28-00466.12] 那第二个就是
[00466.12-00467.12] 有了主线
[00467.12-00469.24] 如果把党史比作一颗树的话
[00469.24-00470.84] 它其实只是有了之干
[00470.84-00472.48] 而一个树如果只有主干的话
[00472.48-00474.20] 光突突的看起来不是很好看
[00474.20-00474.68] 对吧
[00474.68-00475.88] 所以有了主线之后
[00475.88-00476.72] 第二个要干嘛呢
[00476.72-00477.84] 要填充细节
[00480.12-00483.28] 填充细节就是每一个事件
[00483.28-00484.72] 它具体要考那些
[00484.72-00486.44] 比如说中文一大考点有几个
[00486.44-00487.56] 我们就把这些考点
[00487.56-00488.56] 一二三四
[00488.56-00490.08] 全都螺丽出来就可以了
[00490.08-00490.56] 所以所谓的
[00490.56-00492.04] 填充细节就是
[00492.04-00493.72] 螺丽学习
[00493.72-00495.68] 尽量地把和这一个
[00495.68-00496.76] 知识点有关的
[00496.76-00499.08] 它可能会涉及到的考点
[00499.08-00500.28] 全部都摘出来
[00500.28-00501.28] 你让副习的话
[00501.28-00502.84] 就不用去前后翻书了
[00502.84-00504.72] 那相当来说就会轻松很多
[00504.72-00505.84] 所以在整个
[00505.84-00506.52] 我们所说的
[00506.52-00507.28] 党史的学习
[00507.28-00508.80] 一条主干是时间线
[00508.80-00509.76] 那我们的细节
[00509.76-00511.40] 就相当于这条树的什么
[00511.40-00512.00] 只干
[00512.00-00513.00] 或者是之一
[00513.00-00515.36] 所以我们在整个学习当中
[00515.36-00516.36] 最维核心的就是
[00516.36-00518.96] 一条主线和填充细节
[00518.96-00520.36] 我在这里面会把这两个
[00520.36-00521.84] 都在刻党当中
[00521.84-00523.56] 给同学们去书里好
[00523.56-00525.84] 这个就是我们在学习当时当中
[00525.84-00527.84] 同学们应该注意的事情
[00527.84-00529.96] 我们就把整个党史的考察
[00529.96-00531.08] 和它要注意的事情
[00531.08-00533.28] 在这里就给同学们说这么多
[00533.28-00534.72] 那经常说到当时
[00534.72-00536.56] 很多同学可能会稍微的
[00536.56-00538.20] 有那么一点点的底处
[00538.20-00539.80] 它的底处不是在于说
[00539.80-00541.40] 老实他说不够热爱这个国家
[00541.40-00542.12] 其实不是的
[00542.12-00543.48] 在同学们的印象当中
[00543.48-00544.40] 就会觉得说
[00544.40-00545.72] 和政策有关的东西
[00545.72-00547.16] 或者是和历史的关的东西
[00547.16-00548.60] 就会有一点哭造
[00548.60-00549.76] 那是因为我们以前在
[00549.76-00551.04] 应试考试的时候
[00551.04-00553.16] 省越了很多的故事性
[00553.16-00554.36] 或者是把他背后
[00554.36-00555.88] 很精采的东西都给
[00555.88-00556.88] 我们所说的
[00556.88-00557.72] 讲话掉了
[00557.72-00560.20] 反而是强化他的记忆和背宋
[00560.20-00560.84] 那这样的话
[00560.84-00562.16] 大家一提到历史
[00562.16-00563.44] 有很多同学就会觉得
[00563.44-00564.56] 有一些哭造
[00564.56-00565.88] 但其实真正的历史
[00565.88-00567.88] 它是由先活的人够成的
[00567.88-00569.20] 尤其是我们所说的
[00569.20-00571.16] 1921年中国共产党成立
[00571.16-00573.12] 我们整个中国革命
[00573.12-00574.36] 它走的这条路
[00574.36-00576.68] 它从来都不是花团紧错
[00576.68-00579.16] 说一条先花铺的红壇就走过来了
[00579.16-00581.04] 它是半水一路的
[00581.04-00583.64] 凯可一路的留学西生走过来的
[00583.64-00584.60] 那它在背后
[00584.60-00586.24] 其实有很多波浪状况
[00586.24-00588.28] 让我们感人之深的这样一个故事
[00588.28-00590.24] 这学习当时对我们来说
[00590.24-00591.48] 最为大的一个意义
[00591.48-00593.00] 就是我们经常听到的一句话
[00593.00-00593.56] 这是历史
[00593.56-00596.00] 其实不应该被遞忘的
[00596.00-00597.08] 我们聊聊的数语
[00597.08-00599.20] 可能是前人为这份都的一生
[00599.20-00600.92] 我们习以为长得生活
[00600.92-00602.76] 可能是前人流进先学
[00602.76-00603.92] 换来的期待
[00603.92-00605.52] 接一难教授在它的苦难
[00605.52-00606.76] 灰谎的一书当中
[00606.76-00608.24] 写过章的一段话
[00608.24-00610.56] 这的话是写在书的前眼的
[00610.56-00612.28] 书里是这么写的
[00612.28-00614.28] 说我们曾经是努力
[00614.28-00616.76] 否则不会有一840到1949年
[00616.76-00618.40] 民族的百年成论
[00618.40-00619.72] 我们也拥有英雄
[00619.72-00622.12] 否则不会有一949到2050年
[00622.12-00624.04] 中华民族的伟大父亲
[00624.04-00625.24] 幸福起来的人们
[00625.24-00627.84] 于是不想承认自己曾经是努力
[00627.84-00630.56] 也不谢于承认曾经有过英雄
[00630.56-00631.52] 不知不觉中
[00631.52-00632.92] 那不热血奔同
[00632.92-00635.40] 震撼人心的历史被廢棄了
[00635.40-00636.32] 抽干了
[00636.32-00638.96] 弄成一部哭造干脉的室内标本
[00638.96-00640.92] 放在那里无人问金
[00640.92-00642.96] 任何民族都需要自己的英雄
[00642.96-00644.04] 真正的英雄
[00644.04-00646.44] 具有那种深刻的悲剧意味
[00646.44-00648.68] 不种但不参与生活
[00648.68-00650.80] 这就是民族的几两
[00650.80-00653.28] 而我们要在历史当中所讲解的
[00653.28-00655.28] 在当时里面所给大家讲解的
[00655.28-00658.44] 出现在我们交科书上每一个名字
[00658.44-00661.32] 其实都是这个国家民族几两组成部分
[00661.32-00662.72] 甚至有很多人的名字
[00662.72-00664.04] 他没有办法出现在
[00664.04-00665.28] 教科书当中
[00665.28-00666.88] 但他却用他的医生
[00666.88-00668.56] 去换累了这个国家
[00668.56-00670.48] 去助力于这个国家的成长
[00670.48-00672.96] 这些人都是这个民族的几两
[00672.96-00674.24] 我希望通过这样的一个
[00674.24-00676.52] 党史课通过这样的一个屏幕
[00676.52-00677.76] 我在这段的讲解
[00677.76-00679.88] 同时在那边的铃铃铃
[00679.88-00681.72] 能够一方面帮助同行去找
[00681.72-00684.08] 我客团当中在考试当中
[00684.08-00685.84] 他出体的一些角度
[00685.84-00687.44] 对同时们考试有所注意
[00687.44-00690.32] 但我同时也希望通过这样的一个讲解
[00690.32-00692.44] 能够让同学们更多的去了解
[00692.44-00694.64] 国家的过去去了解
[00694.64-00697.52] 我们国家所经历的百年的成痛
[00697.52-00699.28] 能够去知道我们现在
[00699.28-00701.40] 所拥有的评论的幸福的生活
[00701.40-00704.20] 他是格外珍贵格外值得珍惜的
[00704.20-00705.40] 因为每一个生活
[00705.40-00708.56] 在今天都我们都是前人用生命区
[00708.56-00709.40] 行为的
[00709.40-00711.24] 所以我也希望通过这样的讲解
[00711.24-00712.24] 能够让同学的了解
[00712.24-00713.96] 过去参与现在
[00713.96-00715.24] 也能够一起和我
[00715.24-00716.80] 一样掌握国家的未来
[00716.80-00718.00] 做一个中国人
[00718.00-00720.28] 我很幸运同时做一个中国人
[00720.36-00721.36] 我很教
[00721.36-00723.32] 那了解完整个当时
[00723.32-00725.36] 他考察了一个基本情况之后
[00725.36-00726.44] 接着来看一下
[00726.44-00729.24] 我们在前面学习的时候给大家说了
[00729.24-00730.60] 我们想要学好当时
[00730.60-00732.52] 最重要的是一条主线
[00732.52-00734.84] 这条主线是从什么时候开始的呢
[00734.84-00737.08] 是从第一次压骗战争
[00737.08-00738.72] 也就是1840年开始的
[00738.72-00739.28] 大家都知道
[00739.28-00741.88] 1840年爆发了第一次压骗战争
[00741.88-00743.08] 我们说压骗战争
[00743.08-00745.20] 打个之后签订了南京条约
[00745.20-00749.08] 从此中国开始走向半直名地办风景社会
[00749.08-00752.28] 这一位这是中国近代史的一个开端
[00752.28-00755.24] 那至于压骗战争给中国带来到程痛的灾呢
[00755.24-00756.84] 我们其实在各种各样的演示
[00756.84-00757.72] 据作当中
[00757.72-00759.32] 我们在以前的客人当中
[00759.32-00760.76] 其实都有去学到
[00760.76-00761.80] 第一次压骗战争
[00761.80-00764.36] 他无意是想世界释放了一个信号
[00764.36-00766.52] 这原本书写在书中的
[00766.52-00767.96] 那个物资风扰
[00767.96-00768.36] 对吧
[00768.36-00770.68] 我们传说当中的天朝上过
[00770.68-00772.36] 他其实是不堪意激的
[00772.36-00773.88] 马国罗行计当中
[00773.88-00775.40] 曾经是这么描写中国的
[00775.40-00778.12] 说在遥远的东方有一个神秘的国度
[00778.12-00780.52] 那个国度是变地铺码黄金的
[00780.52-00783.88] 也就能看得出来中国的物资是几切丰富的
[00783.88-00786.12] 而且在我们所说的前堂史也好前
[00786.12-00789.64] 所以我们之前给大家讲过我们所说的古代史
[00789.64-00790.04] 对吧
[00790.04-00792.68] 也能够看得出来中国古代和其亏谎
[00792.68-00795.64] 尤其知道原朝的时候原朝的体体
[00795.64-00796.04] 对吧
[00796.04-00797.96] 那几乎打到了欧洲的边界
[00797.96-00800.52] 那真因为有海不然的话都都打出去了
[00800.52-00802.92] 所以那时候战斗力也非常惊认
[00802.92-00805.32] 但是一发思练压定战争之后来了
[00805.32-00805.72] 对吧
[00805.72-00807.40] 列强来了之后是了一下说
[00807.40-00810.52] 这样的一个中国以前在交回初党中
[00810.52-00813.00] 也好或者是在大家所描写的这种
[00813.00-00815.56] 初级当中的中国其实不堪意激的
[00815.56-00817.24] 那这种情况之下就会出现
[00817.24-00818.12] 你又有钱
[00818.12-00819.08] 你又不堪意激
[00819.08-00821.88] 这对立场来说中国那个时候就是一支什么
[00821.88-00823.08] 就是一支贡阳
[00823.08-00825.64] 所以才会先起瓜分中国的什么
[00825.64-00826.44] 狂炒
[00826.44-00828.52] 于是在第一次压片战争之后
[00828.52-00831.32] 中国开始轮为半殖民地半分间社会
[00831.32-00835.64] 列强都已经开始分分它入中国的国土来亲率中国
[00835.64-00837.96] 于是在后面爆发了我们所说的什么
[00837.96-00839.40] 第二次压片战争
[00839.40-00841.80] 爆发了我们所说的八国联金寻化战争
[00841.80-00844.44] 这都是帝国主义对于中国的压迫
[00844.44-00845.24] 但是我们说了
[00845.24-00847.56] 其实有压迫就有反抗
[00847.56-00851.08] 所以在帝国主义压迫不许我们的时候
[00851.08-00853.32] 有很多的结极都在去探索
[00853.32-00854.44] 就往途存的道路
[00854.44-00856.52] 你比如说在这里面我们所说的什么呢
[00856.52-00857.96] 我们所说的農民
[00857.96-00859.96] 農民他就就国的
[00859.96-00860.92] 这样的一个道路
[00860.92-00862.44] 主要就是我们所说的
[00862.44-00863.56] 派平天国运动
[00863.56-00864.96] 大陆这套平天国运动
[00864.96-00867.00] 打下了中国的半帝江山
[00867.00-00870.20] 和清朝行程了非常强大的阵队之的局面
[00870.20-00872.84] 但是最后局限一套農民自身的局限性
[00872.84-00873.80] 我们也知道
[00873.80-00875.16] 派平天国运动
[00875.16-00878.52] 他就国的这样的一个道路在中国是怎么样
[00878.52-00879.24] 行不通的
[00879.24-00882.44] 于是派平天国最终野失败高中
[00882.44-00884.20] 那派平天国以失败高中
[00884.20-00885.40] 其实宣示了什么呢
[00885.40-00888.12] 就是单纯的一口農民
[00888.12-00890.28] 去探索就往途存的道路
[00890.28-00893.00] 单纯的一口農民接近来整就中国
[00893.00-00895.56] 这条路在中国是行不通的
[00895.56-00896.84] 于是这一个接近
[00896.84-00900.12] 他小独立领导革命带领国家总相付墙
[00900.12-00900.76] 不行
[00900.76-00902.28] 農民接近失败了之后
[00902.28-00903.24] 还有什么接近
[00903.24-00904.44] 可以去带领运国家
[00904.44-00906.44] 就看一下当时的社会好像那些来
[00906.44-00908.60] 还有我们所说的风见第五节级
[00908.60-00909.64] 风见第五节级
[00909.64-00910.60] 他所进行了的
[00910.60-00912.12] 我们所说的这个探索
[00912.12-00914.60] 他其实就是我们所说的洋运动
[00914.60-00916.76] 但洋运动他本身是一个什么
[00916.76-00918.52] 本身是一个风见第五节级的
[00918.52-00919.40] 自救运动
[00919.40-00920.28] 他的本身呢
[00920.28-00921.80] 其实说我没有说
[00921.80-00924.56] 就是以想让中国完全的
[00924.56-00925.88] 摆脱烈墙的这样
[00925.88-00926.92] 那个清略为主的
[00926.92-00927.96] 他的自由运动
[00927.96-00930.84] 其实更多的小运故自己的风见统治
[00930.84-00932.20] 所以在最开始的时候
[00932.20-00934.20] 你看洋运动打出来的口号
[00934.20-00936.04] 叫做求赐墙
[00936.04-00938.20] 然后在自强的旧之上最后怎么样
[00938.20-00938.92] 求赐
[00938.92-00939.96] 但是我们也知道
[00939.96-00941.72] 北洋水是个全军副末
[00941.72-00943.16] 也是加入中的战争之后
[00943.16-00943.40] 对吧
[00943.40-00945.48] 北洋水是全军副末宣告
[00945.48-00948.44] 我们所说的洋运动的彻底示办
[00948.44-00950.68] 那就因为单纯的靠地主接级
[00950.68-00952.20] 来旧王图存的道路
[00952.20-00954.04] 在中国能不能行了通
[00954.04-00956.20] 在中国也是行不通的
[00956.20-00957.32] 那这个时候
[00957.32-00960.28] 风见第五节级也要退出历史舞台
[00960.28-00962.20] 那农民节级就表中国
[00962.20-00963.80] 风见第五节级就表中国
[00963.80-00965.16] 那接级了还有谁呢
[00965.16-00966.92] 当时的中国还有一个节级
[00966.92-00969.24] 就是我们所说的资产节级
[00969.24-00971.80] 那当时的我们所说的资产节级
[00971.80-00973.48] 他其实是分为两派的
[00973.48-00974.44] 那两派呢
[00974.44-00975.00] 第一个
[00975.00-00975.32] 就是说
[00975.32-00976.84] 我们不要留学
[00976.84-00977.80] 不要西声
[00977.80-00979.16] 我们把这一派称为叫
[00979.16-00981.56] 自然接接改良派
[00981.56-00982.68] 自然接一改良派
[00982.68-00983.96] 最典型的代表
[00983.96-00985.32] 就是我们所说的
[00985.32-00987.16] 物需变法当中的这些人
[00988.20-00989.72] 大家都听过物需变法
[00989.72-00991.24] 也被冲这位叫做
[00991.24-00992.12] 百日为心
[00992.12-00992.92] 对吧
[00992.92-00995.08] 我们经常提到了靠个为凉起朝
[00995.08-00996.20] 是物需变法
[00996.20-00997.64] 非常重要的代表人物
[00997.64-00999.16] 那物需变法强调的是什么
[00999.16-01001.40] 说我们可以通过向西方学习
[01001.40-01001.96] 对吧
[01001.96-01003.48] 就学习他们的一些制度
[01003.48-01005.32] 不留学也能够救中国
[01005.32-01007.64] 于是物需变法就把他们的这样的一个
[01007.64-01011.72] 注意力放在了当时没有实际权力的小黄认身上
[01011.72-01013.00] 结果触动了
[01013.00-01013.88] 此理太后
[01013.88-01014.68] 最后
[01014.68-01016.04] 把黄认关起来了
[01016.04-01019.00] 那不杀开始变法的这些人士
[01019.00-01021.00] 于是洋文所说的物需变法
[01021.00-01021.96] 最终就也
[01021.96-01023.00] 失败高中了
[01023.00-01024.44] 那物需变法也失败高中
[01024.44-01025.16] 那就意味着
[01025.16-01026.76] 自然接一当中的这些人
[01026.76-01029.24] 他没有办法独立凌岛中国副强
[01029.24-01030.36] 那当时的中国
[01030.36-01031.48] 还能一靠谁呢
[01031.48-01032.28] 当时的中国
[01032.28-01033.88] 还有自然接级的另一排
[01033.88-01035.08] 叫自然接结
[01035.08-01035.96] 革命派
[01035.96-01037.32] 那自然接级革命派
[01037.32-01038.28] 但是以谁为手
[01038.28-01039.16] 自然接一个革命派
[01039.16-01039.96] 当然是以孙中
[01039.96-01041.00] 让先生没受了
[01041.00-01041.48] 对吧
[01041.48-01042.52] 所以孙中先说
[01042.52-01043.64] 小整就这个国家
[01043.64-01045.08] 不留学牺牲这不可能的
[01045.08-01046.44] 所以他要革命
[01046.44-01047.72] 于是他就发动了
[01047.72-01048.60] 我们所说的
[01048.60-01049.56] 新害革命
[01049.56-01051.00] 但新害革命的结果
[01051.00-01052.36] 大家其实也是知道的
[01052.36-01053.32] 新害革命的结果
[01053.32-01054.76] 只是把黄地感触了
[01054.76-01055.48] 子劲策
[01055.48-01056.52] 那欢迎话说
[01056.52-01057.48] 新害革命
[01057.48-01059.72] 他只是把中国的
[01059.72-01061.32] 风劲军主专制
[01061.32-01062.12] 给
[01062.12-01063.00] 提出掉了
[01063.00-01064.28] 但是他没有结束
[01064.28-01065.48] 中国办指名地办
[01065.48-01066.68] 风劲社会的局面
[01066.68-01067.56] 所以一方面
[01067.56-01068.92] 我们还是受帝国压迫的
[01068.92-01070.12] 但另外一方面
[01070.12-01071.24] 还有我们所说的
[01071.24-01072.52] 各种各样的势力存在
[01072.52-01073.72] 当时的中国
[01073.72-01075.32] 也还是没有摆脱鲜
[01075.32-01076.36] 我的社会情况
[01076.36-01078.52] 老百姓真正正正的实现富强
[01078.52-01079.48] 这一时候
[01079.48-01080.44] 中国可以说是
[01080.44-01081.72] 先入到了黑暗当中
[01081.72-01083.16] 因为鲜害革命
[01083.16-01084.12] 他最终
[01084.12-01085.40] 也是以失败告中
