[00:00:00] 好,那我们就沿着这样一条主线来主意来看一下这些具体的事件。
[00:11:24] 大家能看到的分析问题,
[00:11:25] 也是非常非常的犀利的,
[00:11:27] 一针,
[00:11:28] 箭血,
[00:11:29] 所以他当时呢,
[00:11:30] 就,
[00:11:31] 把自己关在屋子里,
[00:11:32] 就开始去写小说,
[00:11:33] 那这个图片,
[00:11:34] 其实就是在他小说写成的时候,
[00:11:36] 他躺在地上的时候,
[00:11:38] 那样的一个情况,对吧,
[00:11:39] 一边写一边流泪,
[00:11:40] 一边脑海当中闪过,
[00:11:42] 最开始他所看到的这样一个景象,
[00:11:44] 而他当时所写的那篇文章,
[00:11:46] 是什么呢,
[00:11:47] 大家注意一下,
[00:11:48] 就是狂人日记,
[00:11:49] 我们把狂人日记,
[00:11:50] 画下来,
[00:11:51] 然后在旁边写上,
[00:11:52] 这个点,
[00:11:53] 经常会在文学当中考察啊,
[00:11:55] 我们就把它捏在一块儿讲了,
[00:11:56] 狂人日记呢,
[00:11:57] 是中国第一篇,
[00:12:00] 白画文小说,
[00:12:04] 第一篇,
[00:12:05] 白画文小说,
[00:12:07] 那像这样一篇小说,
[00:12:08] 大家其实在网上经常会调侃,
[00:12:10] 说什么,
[00:12:11] 救救孩子吧,
[00:12:12] 或怎么样的,对吧,
[00:12:13] 像这样的救救孩子,
[00:12:14] 其实就出自在狂人日记,
[00:12:16] 狂人日记呢,
[00:12:17] 一共分成十几个部分,
[00:12:19] 然后在那个第三个部分里面,
[00:12:21] 他其实就说到,
[00:12:22] 他说当时有一个村,
[00:12:23] 叫狼子村,
[00:12:25] 狼子村呢,
[00:12:26] 当时有一个殿户,
[00:12:28] 就是一个农户,
[00:12:29] 他就告荒,
[00:12:30] 说他们村里有个大哥人,
[00:12:31] 被打死了,
[00:12:32] 他说他们村里有个狼子村,
[00:12:34] 说他们村里有个大哥人,
[00:12:35] 被打死了,
[00:12:36] 然后被打死了之后,
[00:12:37] 这个大哥人呢,
[00:12:38] 他的心肝呢,
[00:12:39] 就被人挖出来吃了,
[00:12:40] 然后呢,
[00:12:41] 为什么要吃这个人的心肝呢,
[00:12:43] 说炒一炒吃了之后,
[00:12:44] 能够撞胆,
[00:12:45] 后来呢,
[00:12:46] 他当时就说,
[00:12:47] 说我就插了几嘴,
[00:12:48] 然后结果呢,
[00:12:49] 当时所有的人,
[00:12:50] 他在那个小说里面写的,
[00:12:51] 说所有的人呢,
[00:12:52] 就看着他,
[00:12:53] 像看外人一样,
[00:12:54] 后来呢,
[00:12:55] 他就在小说当中,
[00:12:56] 描绘的这个人物,
[00:12:57] 就说他们会吃人,
[00:12:58] 就未必不会吃我,
[00:13:00] 他们能吃人,
[00:13:01] 就认为,
[00:13:02] 人就是恶人,
[00:13:03] 所以古来时常有吃人的情况,
[00:13:05] 我也记得,
[00:13:06] 但是不深清楚了,
[00:13:08] 他在书中,
[00:13:09] 就在小说里面这么写啊,
[00:13:10] 他说翻开历史书一查啊,
[00:13:12] 就是没有年代,
[00:13:13] 歪歪写写的,
[00:13:14] 每页上都写着,
[00:13:15] 人意道德几个字,
[00:13:16] 我横述睡不着,
[00:13:18] 仔细看了半夜,
[00:13:19] 才从字缝里,
[00:13:20] 扣出几个字来,
[00:13:21] 满本都写着是,
[00:13:23] 吃人,
[00:13:24] 所以他在这个,
[00:13:25] 狂日记当中,
[00:13:26] 其实就在写,
[00:13:27] 封建理教对人的,
[00:13:28] 迫害,
[00:13:29] 后来他就后面说了,
[00:13:30] 他说,
[00:13:31] 我和尚没有吃过人呢,
[00:13:32] 他的哥哥,
[00:13:33] 在那个小说当中的,
[00:13:34] 这个主人公的哥哥,
[00:13:35] 对吧,
[00:13:36] 也吃过人,
[00:13:37] 他说了,
[00:13:38] 吃人的是我哥哥,
[00:13:39] 我是吃人的人的兄弟,
[00:13:41] 后来他就在书的,
[00:13:42] 最后面他就说了,
[00:13:43] 说没吃过人的孩子,
[00:13:45] 或许还有吧,
[00:13:46] 舅舅孩子,
[00:13:47] 那就是当时,
[00:13:48] 这篇小说写完了之后,
[00:13:50] 然后参培先生,
[00:13:51] 陈总学先生,
[00:13:52] 他们围在那个地方,
[00:13:53] 一块读,
[00:13:54] 就读这个小说的这个情况,
[00:13:55] 所以鲁迅先生写文章,
[00:13:57] 比丰非常非常的犀利,
[00:13:59] 所以在这里面,
[00:14:00] 大家要知道,
[00:14:01] 所以在他的著作里面,
[00:14:02] 你看他写什么,
[00:14:03] 那喊的,
[00:14:04] 彭华,
[00:14:05] 纪念刘和真军,
[00:14:06] 等等这一系列的内容,
[00:14:07] 其实都是批判,
[00:14:09] 我们所说的现实的,
[00:14:10] 所以在这里面,
[00:14:11] 大家知道,
[00:14:12] 这是鲁迅,
[00:14:13] 大家在旁边,
[00:14:14] 标注一下,
[00:14:15] 狂人日记,
[00:14:16] 是要大家去,
[00:14:17] 实际的内容,
[00:14:18] 那这是我们所说的,
[00:14:20] 有关于,
[00:14:21] 西罗花运动的代表人物,
[00:14:23] 那西罗花运动之后,
[00:14:24] 那我们就来看一下,
[00:14:26] 在西罗花运动之后,
[00:14:27] 我们刚才说了,
[00:14:28] 1914年到1918年,
[00:14:30] 是第一次世界大战,
[00:14:31] 西罗花运动在北京大学开展的,
[00:14:33] 可以说是如火如荼,
[00:14:35] 那解放了很多人的思想,
[00:14:37] 甚至在整个北大的内部,
[00:14:39] 他的文化的包容度,
[00:14:40] 依旧是特别特别的高,
[00:14:42] 其实大家也能够看到,
[00:14:43] 当时的这样的一个场景,
[00:14:45] 我印象当中特别深刻的就是,
[00:14:47] 当时有很多学生反对陈督秀,对吧,
[00:14:50] 举的那个,
[00:14:51] 彭博就在那个,
[00:14:53] 北京大学里面到处走,
[00:14:55] 那前面,
[00:14:56] 就一共两排学生,
[00:14:57] 举着那个横幅在那走,
[00:14:58] 一边走一边,
[00:14:59] 就上面写上说,
[00:15:00] 陈督秀滚出北大,
[00:15:01] 什么打倒陈督秀之类的,
[00:15:03] 举着这样一个牌子有行,
[00:15:04] 结果呢,
[00:15:05] 这么多学生看到陈督秀先生之后呢,
[00:15:06] 非常尴尬,对吧,
[00:15:08] 两伙人碰上了,
[00:15:09] 陈督秀看着他们迎面走来,
[00:15:11] 就让陈督秀滚出北大,
[00:15:12] 然后陈督秀呢,
[00:15:13] 就站在他的面前,
[00:15:15] 就是现在就类似于,
[00:15:16] 我就站在你面前,
[00:15:17] 你看过几分像从前,
[00:15:18] 那当时的学生怎么样,
[00:15:19] 当时学生看到陈督秀之后,
[00:15:21] 把举的横幅放下了,
[00:15:23] 给陈督秀拘了一共说,
[00:15:24] 先生,
[00:15:25] 然后陈督秀笑了笑说,
[00:15:27] 好,
[00:15:28] 然后呢,互相看着,
[00:15:29] 陈督秀就说,
[00:15:30] 你们继续,
[00:15:31] 然后陈督秀就从人群当中穿过,
[00:15:33] 学生看陈督秀走了之后,
[00:15:34] 又开始举着牌,
[00:15:35] 就开始,
[00:15:36] 陈督秀滚出北大之类的,对吧,
[00:15:38] 因为能看到,
[00:15:39] 有这种激烈的争草,
[00:15:40] 才有这样的,
[00:15:41] 我们所说的学生的思想,
[00:15:43] 这样的一个开放,
[00:15:44] 这就是在我们所说的1915年,
[00:15:46] 之后所呈现的景象,
[00:15:48] 那我们在前面,
[00:15:49] 其实给大家说了,
[00:15:50] 1914年到1918年,
[00:15:51] 是第一次世界大战,
[00:15:52] 那个时候的世界大战呢,
[00:15:54] 中国,说实话,
[00:15:55] 它其实是,
[00:15:56] 被迫参加战争的,
[00:15:58] 就是它不想卷入到,
[00:15:59] 我们所说的西方战场,
[00:16:00] 当然它没有办法,
[00:16:01] 但是那个时候,
[00:16:02] 像,
[00:16:03] 比较凭若的中国,
[00:16:04] 它参加到了第一次世界大战,
[00:16:06] 它能干嘛呢,
[00:16:07] 你说它是去,
[00:16:08] 贡献兵力,
[00:16:09] 这个是不太可能的,
[00:16:10] 所以当时呢,
[00:16:11] 中国其实派了很多人,
[00:16:13] 去到欧洲,
[00:16:14] 去当劳工,
[00:16:15] 也是挖战好,
[00:16:16] 所以我们也是
[00:16:17] 减入到了,
[00:16:18] 第一次世界大战当中的,
[00:16:19] 但是减入到世界大战当中之后,
[00:16:21] 1918年,
[00:16:22] 第一次世界大战结束之后,
[00:16:23] 中国是成为战胜国的,
[00:16:25] 因为我们当时去挖战好,
[00:16:27] 去做了很多的,
[00:16:28] 这样的一些保障,
[00:16:29] 其实中国对于一战,
[00:16:30] 也做出一些贡献,
[00:16:31] 所以那个时候,
[00:16:32] 中国是战胜国,
[00:16:33] 作为一个战胜国来说,
[00:16:35] 中国这么多年了,
[00:16:36] 从1940年到1918年,
[00:16:38] 这七十多年的时间,
[00:16:40] 是没有打过任何的胜仗的,
[00:16:42] 所以这样的一个喜讯传来之后,
[00:16:44] 可以是举国欢腾啊,
[00:16:46] 所以当时的,
[00:16:48] 我们所说的这个,
[00:16:49] 国务院总理,
[00:16:50] 汪大谢说,
[00:16:51] 半夜就给蔡英培打电话,
[00:16:53] 当年半夜给蔡英培打电话的时候,
[00:16:54] 开心的不得了,对吧,
[00:16:56] 说这是非常值得,
[00:16:57] 庆祝的这样的一个事情,
[00:16:59] 当时半夜了,
[00:17:00] 蔡英培先生就给汪大谢就说,
[00:17:02] 他说,
[00:17:03] 我们这样的一个国家,
[00:17:04] 打赢了这样的胜仗,
[00:17:05] 他有什么值得庆祝的呢,
[00:17:07] 当时汪大谢就说什么,
[00:17:09] 汪大谢就说,
[00:17:10] 我们现在不庆祝,
[00:17:11] 什么时候庆祝呢,
[00:17:13] 所以第二天的时候,
[00:17:14] 我们就能看到,
[00:17:15] 北京大学,
[00:17:16] 他就开展了各种各样的,
[00:17:17] 我们所说的这样的一个演讲和讲说,
[00:17:20] 对吧,当时,
[00:17:21] 李达瑞先生说什么呢,
[00:17:23] 说,
[00:17:24] 将来是看将来的世界,
[00:17:26] 将是,
[00:17:27] 我们所说的,
[00:17:28] 庶民的世界,
[00:17:29] 将来的次期,
[00:17:30] 将插满全世界,
[00:17:31] 就是次期,
[00:17:32] 插满全世界这个故事,对吧,
[00:17:33] 当时还有,
[00:17:34] 就是陈东云先生说了什么,
[00:17:36] 说宫里必然会战胜强权,
[00:17:38] 那甚至是,
[00:17:39] 我们再去,
[00:17:40] 记者再去采访,
[00:17:41] 当时的北洋政府,
[00:17:42] 对外的发言人的时候,
[00:17:44] 也就是我们所说的这个,
[00:17:46] 采访他的时候就说,
[00:17:48] 因为他们,
[00:17:49] 要去到这个,
[00:17:50] 参加去巴黎合会嘛,
[00:17:51] 然后当时那个记者就问,
[00:17:53] 这个人,
[00:17:54] 就问他说,
[00:17:55] 说,
[00:17:56] 第一次世界大战结束了之后,
[00:17:58] 然后马上中国,
[00:17:59] 就要派代表团,
[00:18:00] 去参加巴黎合会了,
[00:18:01] 你觉得你,
[00:18:02] 我们会,
[00:18:03] 就是作为中国,
[00:18:04] 他会在巴黎合会上,
[00:18:05] 获得他享有的权益嘛,
[00:18:06] 那当时我们所说的这个,
[00:18:08] 被采访的这个人,
[00:18:09] 他说,
[00:18:10] 其实,
[00:18:10] 觉得会获得被采访作为一个战胜国的权益吗?
[00:18:14] 因为当时德国作为战败国,我们想要的其实很简单。
[00:18:17] 这是把德国他手里的山东青岛、澇州的主权拿回来就可以了,对吧?
