[00000.00-00002.00] 大家好 我是杰瑞
[00002.00-00004.00] 这奖批战次应合的考试知识
[00137.12-00140.64] 所以在整個人的社會存在發展的基礎當中
[00140.64-00143.20] 最何興的就是去了解社會存在和
[00143.20-00144.28] 社会一时
[00144.28-00146.50] 好,那这是整个我们要讲
[00146.50-00147.30] 第一个问题
[00147.30-00149.92] 需要给大家去进行了一个说明
[00149.92-00151.84] 那么首先先来看一下第一个点
[00151.84-00154.58] 就是人类社会存在和发展的基础
[00154.58-00156.90] 要了解人类社会发展的基础
[00156.90-00159.40] 那就必须先搞懂社会历史关的
[00159.40-00160.10] 基本问题
[00160.10-00163.28] 同样把这个点去标出一个一星级的点
[00163.28-00165.28] 它既可以考理解形的题目
[00165.28-00167.24] 也可以考实际形的题目
[00167.24-00170.14] 首先第一个我们必须非常的明确
[00170.14-00173.10] 就是歷史官的基本問題是什麼問題
[00173.10-00174.62] 在書上把它畫出來
[00174.62-00181.02] 是社會存在和社會意識的關係問題是歷史官的基本問題
[00181.02-00183.76] 同門有沒有覺得這句話和咱們前面講
[00183.76-00185.26] 哲學的基本問題有點像
[00185.26-00187.90] 咱們在之前說了說哲學的基本問題是
[00187.90-00190.30] 思維與存在的關係問題
[00190.30-00193.02] 你說老師那既然存在一個哲學的基本問題
[00193.02-00196.74] 為什麼在這裡還有一個社會歷史官的基本問題呢
[00196.74-00198.54] 咱們其實在之前講
[00198.54-00200.18] 思维个存在关系的时候
[00200.18-00201.70] 其实又给大家去说过
[00201.70-00203.98] 我们说了思维个存在的关系
[00203.98-00205.78] 就是思维存在的关系问题
[00205.78-00207.94] 它是哲学的记得问题
[00211.14-00212.62] 是哲学的记得问题
[00212.62-00215.46] 但是哲学研究的是整个世界
[00215.46-00218.10] 所以哲学研究的范围是整个世界
[00218.10-00220.02] 那它在研究世界的时候
[00220.02-00221.70] 就分为了第一个
[00221.70-00224.58] 自然间这是物质世界的第一个组成部分
[00224.58-00225.10] 对吧
[00225.10-00227.34] 第二个就是人类社会
[00227.34-00231.94] 那思维和存在的关系,如果放在自然接当中去进行探讨
[00231.94-00236.24] 就会变成物质和意识之间的关系。
[00237.94-00249.94] 如果放在人类社会来探讨,那这个时候就要把思维和存在更加巨想化在你的画一个名称,就变成了社会存在于社会意识的关系问题。
[00252.34-00256.54] 社会存在于社会意识的关系问题。
[00256.54-00260.92] 这里面就会引出第二个小的细节考察电
[00260.92-00261.72] 考什么呢?
[00261.72-00263.66] 就是考思维和存在
[00263.66-00267.38] 他与社会存在还有社会意识之间是什么关系
[00267.38-00268.14] 我们说了
[00268.14-00270.48] 所以和存在是整个哲学
[00270.48-00272.20] 他的一个基本问题
[00272.20-00273.50] 而我们所说的
[00273.50-00274.84] 社会存在社会意识
[00274.84-00276.00] 或者是我们所说的
[00276.00-00277.74] 研究历史观的基本问题
[00277.74-00281.48] 他其实是整个哲学研究的一个组成部分
[00281.48-00281.94] 对吧
[00281.94-00284.34] 他是哲學的一個內容
[00284.34-00286.74] 就是研究人類社會的公別
[00286.74-00289.34] 所以隨和存在的範圍更大
[00289.34-00290.86] 而是我存在社會議員
[00290.86-00293.02] 相對來說更為具體一點
[00293.02-00295.58] 所以隨和存在的關係
[00295.58-00297.54] 與是我存在和社會議員之間
[00297.54-00299.46] 是什麼呢 在旁邊寫上
[00299.46-00302.78] 他們之間是一般與各別的關係
[00305.94-00308.10] 叫做一般與各別的關係
[00308.10-00310.62] 這個點在之前的考試過程當中
[00310.62-00311.78] 考察過一做
[00311.78-00313.78] 单线题大家一定要注意一下
[00313.78-00316.26] 在世界单位考试当中考问有单线题
[00316.26-00319.46] 这就叫做历史观的基本问题
[00319.46-00321.26] 所以历史观的基本问题其实
[00321.26-00323.86] 只要学基本问题的一个具体表现
[00323.86-00325.14] 大家就知道在这
[00325.14-00325.86] 那么说了
[00325.86-00327.70] 既然历史观的基本问题是
[00327.70-00330.34] 社会存在和社会意识的关系问题
[00330.34-00333.86] 在这里面就可能存在两种情况
[00333.86-00336.10] 如果你认为是社会存在
[00336.10-00337.94] 绝订阅社会意识
[00337.94-00338.66] 我加拿下
[00338.66-00340.10] 如果是社会存在
[00340.10-00341.38] 绝订阅社会意识
[00341.38-00343.10] 那重情况之下同学们
[00343.10-00346.82] 你觉得你这个时候坚持的是维护主义还是维心主义
[00346.82-00349.82] 只订是维护主义 对不对
[00349.82-00351.30] 那这个维护主义呢
[00351.30-00353.02] 我们说了是研究自然界
[00353.02-00355.54] 叫做变政维护主义的手所提到的
[00355.54-00357.54] 我们现在是在研究人类社会
[00357.54-00358.70] 那就加上什么
[00358.70-00360.94] 就加上人类社会研究的历史员
[00360.94-00364.02] 所以在这里就变成了历史维护主义
[00364.02-00365.18] 但是如果反过来
[00365.18-00366.82] 你认为的是社会议史
[00366.82-00368.58] 我社会两个字就不险了
[00368.58-00372.06] 如果你是认为社会议使起到绝论作用
[00372.06-00374.72] 那议使起论作用那一定是什么主意
[00374.72-00377.54] 一定是维新主意对吧
[00377.54-00379.34] 就因为你研究的是
[00379.34-00380.82] 历史关的基本体
[00380.82-00384.46] 所以前面加上两个字就叫做历史维新主意
[00384.46-00387.02] 所以在这里社会历史关
[00387.02-00388.80] 他存在两种情况
[00388.80-00390.78] 一种叫做历史维吴主意
[00390.78-00392.90] 一种叫做历史维新主意
[00392.90-00394.78] 而这里面的历史维吴主意
[00394.78-00397.50] 我没办法称着维吴使关
[00398.58-00403.98] 而歷史為新主義,也被稱為叫做為新使館。
[00403.98-00409.18] 這兩個點,同學們一定要分析。
[00409.18-00412.98] 這個也是我們在講義當中給大家去標誌的,說歷史為無主義,
[00412.98-00418.28] 是收穫存在決定收益,而歷史為新主義是收回意識決定,收回存在。
[00418.28-00422.98] 因為考點到這裡就結束了嗎?並沒有,大主一下還有第三重考點。
[00422.98-00424.52] 第三重考虑是什么呢?
[00424.52-00429.20] 就是在歷史为务主义当中有一种非常典型的观点
[00429.20-00430.62] 同时需要记在旁边
[00430.62-00434.12] 你可以记在这个位置的后面
[00434.12-00436.06] 你也可以像我这样画一个框架
[00436.06-00437.58] 记在这个框架的后面
[00437.58-00438.90] 大指消记的
[00438.90-00442.10] 北悟使观太有一种非常重要的观点
[00442.10-00443.90] 就叫做群众使观
[00443.90-00446.90] 群众使观是一个非常典型的
[00447.18-00448.70] 北悟使观的观点
[00448.70-00450.78] 也就是强调人民群众的实际
[00450.78-00452.94] 人民群众的活动是社会变革的
[00452.94-00456.26] 決定力量強調人民群眾的作用
[00456.26-00458.32] 而我們所說的這種
[00458.32-00460.62] 微心使館或者叫歷史微心主義
[00460.62-00462.92] 它有一種非常典型的觀點
[00462.92-00464.98] 叫什麼叫做英雄使館
[00468.82-00471.62] 認為是少數人的
[00471.62-00474.44] 它的一種想法觀點觀念等等
[00474.44-00475.72] 少數人的作用
[00475.72-00478.02] 它推動了整個社會的進步
[00478.02-00479.82] 這種就叫做英雄使館
[00479.82-00481.10] 所以在英雄使館當中
[00481.10-00482.90] 我们经常会听到一句话
[00482.90-00485.30] 叫做英雄造实事
[00485.30-00486.70] 英雄造实事
[00486.70-00489.30] 说这个时代的发展是有个别小事的无所决定
[00489.30-00490.90] 那只定是错的
[00490.90-00492.50] 那就是微心时关了
[00492.50-00494.10] 我们正常的观念叫什么
[00494.10-00496.10] 叫实事造英雄
[00496.10-00499.70] 所以实事造英雄才是典型的微误时关
[00499.70-00502.30] 所以在整个历史关的基本问题里面
[00502.30-00503.10] 大家注意一下
[00503.10-00504.10] 眼神出来的点
[00504.10-00505.30] 一共是三个
[00505.30-00507.10] 第一个就叫做历史关的
[00507.10-00508.30] 基本问题
[00508.30-00509.90] 大家要知道这是第一个
[00509.90-00514.56] 第二个就是社会存在于社会意识
[00514.56-00518.80] 他们直接与最和存在之间的关系叫做一百亿个别
[00518.80-00525.28] 第三个就是我们再去进行社会存在和社会意识之间的关系判定的时候
[00525.28-00526.80] 也生出来了两种观点
[00526.80-00528.60] 一种是歷史为务主意
[00528.60-00530.32] 一种是歷史为新主意
[00530.32-00533.26] 你要知道歷史为务主意有一种非常典型的观点
[00533.26-00534.40] 群众使观
[00534.40-00537.24] 而歷史为新疮有一个就叫做英雄使观
[00537.24-00539.50] 大家注意一下这一共是在三个点
[00539.50-00541.18] 而這三個點我剛才說了
[00541.18-00545.86] 他考察的是實際性或者是理解性的體積性
[00545.86-00547.66] 就像把這些地方都挖控
[00547.66-00549.26] 而理解性的體積就給你一句話
[00549.26-00551.34] 讓你看看它屬於哪一種觀點
[00551.34-00554.14] 所以現在我們要能夠去判斷
[00554.14-00556.22] 這是在歷史官的基本問題當中
[00556.22-00559.06] 我們去了解了它的一個大概情況
[00559.06-00560.82] 那了解了這個大概情況之後
[00560.82-00563.18] 只是知道了社會的發展
[00563.18-00565.10] 我們強調的是為誤主義
[00565.10-00567.54] 但有兩個基本概念是沒有解決的
[00567.54-00571.22] 就是在这里所强调的社会存在和社会议室
[00571.22-00572.90] 那么接下来就严赵
[00572.90-00578.54] 历史观的经过问题来看一下到底什么是社会存在 什么是社会议室
[00578.54-00581.34] 那我首先来看一下第一个 叫社会存在
[00581.34-00584.18] 什么是社会存在呢 再书上有一句话
[00584.18-00588.70] 他说呢 社会存在是指社会物质生活条件的总和儿
[00588.70-00593.74] 也就是在这里出现了一个官子 就是他代表的是物质条件的总和儿
[00593.74-00596.94] 既然是社会赉存在和发展的物质生活条件
[00596.94-00599.30] 那咱們其實不看它這個定義
[00600.02-00601.18] 我們自己去分析
[00601.18-00603.06] 其實也能夠測試地出來
[00603.30-00606.90] 現在社會存在是我們生活所必為的物質條件
[00606.90-00609.74] 咱們就想想我們生活當中都需要哪些東西
[00609.74-00611.54] 你比如說我們最為朝天的
[00611.54-00614.14] 我們居家過日子是否帶有產品有研的
[00614.14-00617.54] 那這個產品有研就是我們生活的必須條件
[00617.54-00619.74] 它其實就是我們所說的什麼
[00619.74-00621.74] 社會物質生活條件的一個部分
[00621.74-00625.02] 那第二個就是我們想生活過去
[00625.02-00627.10] 我們是在整個社會疫情當中
[00627.10-00629.38] 是不是要接受和別人之間的關係
[00629.38-00631.42] 整個社會的運行或者是整個人
[00631.42-00632.46] 社會想要構成
[00632.46-00633.54] 最起碼社會當中
[00633.54-00635.38] 待會有人 對吧
[00635.38-00636.54] 那等等這些系列
[00636.54-00638.22] 它其實都是我們所說的
[00638.22-00639.82] 社會存在的一種體現
[00639.82-00641.82] 那把社會存在的條件
[00641.82-00642.78] 給它歸類之後
[00642.78-00644.38] 我們發現社會存在
[00644.38-00647.10] 它主要包括三個方面的內容
[00647.10-00649.18] 這三個方面第一個就是
[00649.18-00650.46] 自然地理環境
[00650.46-00652.62] 這個點是需要通常去被送難
[00652.62-00653.62] 同樣的標準
[00653.62-00654.34] 全一
[00654.58-00657.42] 社群在首先第一個包括叫自然地理環境
[00657.42-00658.78] 也是剛才我們所說的
[00658.78-00660.46] 人類社會要存序下去
[00660.46-00661.86] 我們想要活下去
[00661.86-00663.62] 要不要吃飯,要吃飯
[00663.62-00666.58] 我們吃飯吃的大米吃的面粉
[00666.58-00667.62] 它從那兒來的
[00667.62-00668.62] 不是平空
[00668.62-00670.62] 我們坐在家裡想像它就有的
[00670.62-00672.34] 而是從地理長出來的
[00672.34-00674.74] 對吧,水道才生大米
[00674.74-00676.26] 小麥才生面粉
[00676.26-00678.06] 包括我們的衣服
[00678.06-00680.02] 我們的衣服要用布料
[00680.02-00683.74] 那不了那来的也是从自然当中掌出来的
[00683.74-00685.14] 所以人类时候会要存去
[00685.14-00688.50] 第一个他必须要有自然地理环境
[00688.50-00690.86] 有了自然地理环境了山城和流
[00690.86-00692.42] 我们才能够从自然当中
[00692.42-00694.10] 或去生产自料
[00694.10-00698.82] 所以自然地理环境是人类时候会存在和产生的一个前提
[00698.82-00701.22] 你联生存的空间和地方都没有
[00701.22-00702.74] 你说人类时候会早存在吗
[00702.74-00703.14] 对吧
[00703.14-00705.94] 所以第一个必须要有自然地理环境
[00705.94-00708.50] 但是单纯的只有自然地理环境
[00708.50-00712.02] 比如说只有大字啊 只有动我只有职务
[00712.02-00713.62] 能不能顾承人的社会呢
[00713.62-00716.34] 其实是没有办法顾承人类社会的
[00716.34-00718.42] 所以想顾承人的社会还需要什么呢
[00718.42-00721.62] 第二个因素还需要人口因素
[00721.62-00723.70] 有些顾承人的社会当中
[00723.70-00726.34] 这些法这个社会里面担有人吧
[00726.34-00728.50] 所以对整个社会的运行来看
[00729.22-00731.22] 人类对于社会的发展
[00731.22-00733.14] 起到了巨大的推动作用
[00733.14-00737.70] 人口的治疗和素质会影响一个社会的经济水平分发展
[00737.70-00740.22] 一个社会人口秘度过大行不行
[00740.22-00742.62] 人口秘度过大自然分配不均
[00742.62-00745.26] 这个时候社会没有办法长组的发展
[00745.26-00746.86] 人口秘度过小行不行
[00746.86-00748.62] 就是这个国家人太少了
[00748.62-00749.74] 那直接也不行了
[00749.74-00752.26] 人一少这一代过去下一代怎么办呢
[00752.26-00754.26] 这个社会没有办法长组发展
[00754.26-00756.66] 所以我们会发现在面临人口老灵化
[00756.66-00758.30] 加据的这种情况之下
[00758.30-00760.86] 我们国家是不是又搞了心灵的
[00760.86-00762.14] 计划生育政策
[00762.14-00764.62] 这种情况之下其实就是体现的是什么
[00764.62-00768.38] 人口因素对于社会存在对人类社会
[00768.38-00770.18] 他的发展产生的影响
[00770.18-00772.02] 甚包括一个国家内部的
[00772.02-00774.02] 他的男女的之间的比例
[00774.02-00776.10] 他也会影响到国家的发展
[00776.10-00778.54] 我刚才所说的年龄治量
[00778.54-00779.86] 男女性别的比例
[00779.86-00781.98] 他都属于人口因素
[00781.98-00783.14] 所以在这里大家知道
[00783.14-00784.78] 除了有赞劝款金之外
[00784.78-00786.98] 想过程的社会带有人
[00786.98-00788.18] 所以第二个是人
[00788.18-00790.66] 我们说了赞劝款金也有了
[00790.66-00791.74] 人也有了
[00791.74-00795.86] 那人如何从大载是从获取我们想要的东西呢
[00795.86-00799.10] 比如说我想要棉花我想吃鱼
[00799.10-00800.18] 我想喝水
[00800.18-00802.78] 人如何从大载那种获取这东西呢
[00802.78-00804.26] 那有同一说老师
[00804.26-00805.78] 那就去打水员
[00805.78-00808.30] 那就去中棉花员非常好
[00808.30-00809.94] 我们所谓的打水
[00809.94-00811.26] 所谓的中棉花
[00811.26-00814.94] 其实他是通过一系列的手段和方式
[00814.94-00817.38] 从自然当中获取我们想要的东西吧
[00817.38-00820.82] 所以想要把人和自然连接起来必须通过什么
[00820.82-00823.46] 物質資料的生產方式
[00823.46-00826.38] 所以在這裡面就給到了第三個條件
[00826.38-00828.38] 就是物質資料的生產方式
[00828.38-00831.46] 它可以連結地理環境和人口
[00831.46-00834.02] 如果說怎麼理解物質資料的生產方式
[00834.02-00835.94] 你就把它簡單的理解
[00835.94-00837.38] 它是你從大戰中
[00837.38-00839.90] 或取生產資料的一種手段
[00842.34-00843.54] 我們把這種手段
[00843.54-00847.02] 稱之為叫做物質資料的生產方式
[00847.02-00848.66] 叫物質資料的生產方式
[00848.66-00849.98] 所以在這裡我們就知道
[00849.98-00852.78] 社會存在第一個要有自然
[00852.78-00854.66] 但是單手有自然夠成人的社會
[00854.66-00855.94] 以前住邏機的時候
[00855.94-00856.94] 還都是大自然
[00856.94-00857.98] 但是沒有人的社會
[00857.98-00859.34] 所以第二必須該有人
[00859.34-00861.74] 如何把自然和人放在一塊
[00861.74-00864.38] 你要通過相用的生產方式
[00864.38-00867.98] 這個就是我們所說的社會存在的三個因素
[00867.98-00869.66] 但這三個因素當中
[00869.66-00871.66] 還有第二重考點在誰呢
[00871.66-00875.22] 第二重考點就在於物質資料的生產方式上
[00875.22-00877.22] 無說物質資料的生產方式是
[00877.22-00882.14] 人從自然當中獲取生產資料的手段
[00882.14-00882.60] 對吧
[00882.60-00885.14] 這個就叫做物質資料的生產方式
[00885.14-00887.12] 所以對於人類社會來說
[00887.12-00889.38] 你的這種生產方式
[00889.38-00892.14] 它其實決定了人類社會的發展
[00892.14-00894.46] 你獲得物質資料的生產方式
[00894.46-00896.42] 越先進或越發達
[00896.42-00897.18] 這種情況
[00897.18-00899.42] 這想能從大自然露的東西就越多
[00899.42-00900.38] 那這個時候
[00900.38-00902.46] 你也生活所需要的產品就越多
[00902.46-00904.62] 說你日子過得就非常資熱
[00904.62-00906.74] 所以在物質資料的生產方式裡面
[00906.74-00907.54] 大家要注意一下
[00907.54-00908.74] 它的地位是什么呢
[00908.74-00910.14] 在旁边记一下
[00910.14-00912.38] 叫物质资料的生产方式是
[00912.38-00915.14] 人类社会
[00915.14-00921.74] 物质资料的事件方式是人类社会存在
[00921.74-00926.46] 和发展的基础
[00926.46-00929.02] 物质资料的事件方式是人类社会存在
[00929.02-00931.14] 和发展的基础
[00931.14-00932.74] 大家一定要注意一下
[00932.74-00934.70] 在这里面把它洗在旁边
[00934.70-00938.34] 这是物子这要生产方式它的地位
[00938.34-00940.84] 若老师为什么物子刘的生产方式
[00940.84-00943.20] 他做一种手段就会变得这么重要呢
[00943.20-00946.94] 那主要还是和物子刘生产方式自身的组成有关
[00946.94-00949.04] 因为这种物子刘的生产方式
[00949.04-00952.54] 他是什么呢是生产力和生产关系的统业
[00954.30-00958.70] 是生产力和生产关系的统业
[00960.74-00963.02] 所以他之所以能成为基础
[00963.02-00964.82] 就是因为他涵盖了什么
[00964.82-00968.22] 他涵盖了我们所说的生产力和生产关系
[00968.22-00971.98] 我们都知道社会推动社会发展的最终决定力量
[00971.98-00975.14] 或者是我们所说的最维更深层次的力量
[00975.14-00979.22] 或者说是根本力量其实就在于生产力上
[00979.22-00982.38] 所以因为生产方式是生产力和生产关系的统业
[00982.38-00985.90] 所以他就成为了人类社会存在和发展的基础
[00985.90-00986.94] 所以在这里面
[00986.94-00990.10] 物质资料的生产方式是第2个考察点
[00990.10-00993.58] 大家在这要知道一共是有两个考电的
[00993.58-00995.78] 这个就叫做社会存在
[00995.78-00997.78] 这个是物质生活条件
[00997.78-00999.30] 物质生活条件
[00999.30-01003.02] 几个人类存在和发展的一些基础和前提
[01003.02-01005.14] 但人类存在和发展下去之后
[01005.14-01008.02] 就会在我们所生活的社会里面
[01008.02-01009.30] 形成各种各样的什么
[01009.30-01011.34] 形成各种各样的精神文明
[01011.34-01013.14] 我们可以把这种精神文明
[01013.14-01015.30] 或者精神线线的总合
[01015.30-01017.54] 称之为叫做社会议室
[01017.54-01019.82] 所以社会议室在书上给到了一句话
[01019.82-01023.06] 說是人們的社會精神現象的總合
[01023.06-01025.66] 是對社會存在的一種反應
[01025.66-01026.86] 所以在這裡面
[01026.86-01028.22] 這種東西就叫做什麼
[01028.22-01029.66] 就叫做社會醫師
[01029.66-01032.30] 你就想當你吃飽了穿了了之後
[01032.30-01035.38] 你總規會想要一些精神上的一些慢組
[01035.38-01035.86] 對吧
[01035.86-01038.02] 那這個時候你會產生一些情感
[01038.02-01039.38] 產生一些喜好
[01039.38-01040.82] 甚至產生一些
[01040.82-01042.70] 我們所說的文學作品
[01042.70-01043.38] 文學作作
[01043.38-01045.42] 那你就說你吃飽了你就想寫詩
[01045.42-01047.02] 你吃飽了就想寫歌
[01047.02-01048.58] 你甚至吃飽了就想拍電影
[01048.58-01049.90] 这场写书呢
[01049.90-01052.60] 那这里面的师哥哥娶
[01052.60-01054.28] 电影和文学住座
[01054.28-01056.98] 它都是社会精神现象的一种表现
[01056.98-01059.58] 我们把这种所有的社会精神现象放在一块
[01059.58-01062.28] 就称着为叫做社会意识
[01062.28-01065.40] 所以社会意识代表的是组观层面的精神现象
[01065.40-01066.44] 它注意下
[01066.44-01067.74] 但这种精神现象
[01067.74-01070.08] 它的内容就非常的广泛了
[01070.08-01071.18] 所以大家要注意
[01071.18-01072.74] 这是社会意识
[01072.74-01074.74] 那么了解了社会意识是什么之后呢
[01074.74-01075.46] 我们就说了
[01075.46-01079.48] 那我們可以對於這種精神現象給它進行分類
[01079.48-01082.08] 所以我們就可以把社會意識進行分類
[01082.08-01084.22] 只我有於分類的標準不一樣
[01084.22-01086.10] 在這裡面社會意識
[01086.10-01089.50] 它其實也會產生不同的畫紛
[01089.50-01091.62] 那首先來看一下第一個
[01091.62-01095.42] 如果社會意識是按照主體的構成來畫紛的話
[01095.42-01098.10] 那這種情況之下就可能畫紛出來
[01098.10-01102.54] 叫做我們所說的社會的個人意識和全體意識
[01102.54-01106.02] 就是看你这种精神或者是你精神现象
[01106.02-01107.54] 精神文明等等
[01107.54-01109.14] 就看你这种精神现象
[01109.14-01111.94] 它是大多数人的意志表现
[01111.94-01113.74] 还是少数人的意志表现
[01113.74-01115.26] 如果你这种精神现象
[01115.26-01117.14] 它是大多数人的意志表现
[01117.14-01119.34] 它就叫做群体意识
[01119.34-01121.74] 如果只是你个人的一种想法观点
[01121.74-01122.74] 它就叫做什么
[01122.74-01123.94] 个体意识
[01123.94-01126.34] 比如说我们在中国
[01126.34-01128.34] 中国自古以来就会谈到一个词
[01128.34-01130.54] 因为我们是同意的多民族的国家
[01130.54-01131.74] 一个国家这么大
[01131.74-01132.76] 他还要统一
[01132.76-01134.42] 他就必须内部实现团结
[01134.42-01137.88] 所以我们整个社会的主流价值观就是宣扬
[01138.64-01140.30] 什么主意 集体主义
[01140.30-01142.94] 所以你看集体主义是这个社会的主流价值观
[01142.94-01145.82] 它是不是大多数人的精神现象
[01145.82-01147.62] 或者大多数人的意识表现
[01147.86-01149.40] 那这种就属于什么
[01149.66-01151.46] 就属于群体意识
[01151.70-01152.94] 那什么是个体义是呢
[01152.98-01154.26] 个体义是你
[01154.52-01156.06] 自己产生的这种看法
[01156.06-01158.10] 少数人的这种就叫做
[01158.10-01160.06] 个体义是比如说你今天看了一个电影
[01160.06-01162.06] 觉得因为真不错这个电影
[01162.06-01165.36] 你看这种属于你个人的这样的一种
[01165.36-01167.46] 认知一种想法一种经人现象
[01167.46-01169.36] 那他就属于个人一使
[01169.36-01171.46] 或者你自己写了一首诗
[01171.46-01173.56] 去再样出生的太阳说
[01173.56-01175.96] 太阳真美感叹号
[01175.96-01177.76] 你觉得这诗写的相当不错了
[01177.76-01180.06] 那你看这也是你自己的
[01180.06-01181.06] 对吧个人的
[01181.06-01182.26] 那这种句叫做什么
[01182.26-01183.66] 就叫做个人一使
[01183.66-01185.06] 所以群体以后个人一使
[01185.06-01187.86] 他的话分相对来说会率要简单
[01187.86-01189.06] 我们只需要在这里
[01189.06-01196.16] 如果分辨出来就行,但他不是考察的一个重点,这是第一个分类,叫做安主体来分。
[01196.16-01204.66] 那第二个就是按照层次来话分,按照层次来话分的话,就会话分为社会心理和社会意识形势。
[01204.66-01209.06] 同时没一旦提到这个层次,大家应该还记得吧,层次一定会分什么?
[01209.06-01210.76] 一定会分高低的。
[01210.76-01215.66] 答案记得吧,在狂妙那个电视剧当中,许江怎么说的。
[01215.66-01221.26] 所以你这电视等你子的,什么当此,跟我用一个词,什么水平的电视,对吧?
[01221.26-01230.26] 你看他一说过曾嘴说到当死的时候,他其实是分高低的,那按照曾嘴来发生的话,社会意识他也分为高和低。
[01230.26-01234.26] 那相对来说比较低曾嘴的社会意识,就叫做社会心理。
[01234.26-01238.82] 相當來說比較高層次的社會議事就叫做社會議事顯示
[01238.82-01241.00] 若老師那什麼樣的社會議事
[01241.00-01242.84] 他是第一層次的呢
[01242.84-01245.60] 這種社會心理他到底指的是什麼呢
[01245.60-01248.62] 社會心理他指的是那種直接的
[01248.62-01252.62] 或者是我們所說的沒有經過任何的抽象和整理的
[01252.62-01254.92] 那這種就叫做社會心理
[01254.92-01256.02] 這麼說的抽象
[01256.02-01257.00] 我舉個簡單例子
[01257.00-01259.00] 比如說人的情感
[01259.00-01269.72] 一个人的生活习惯等等,你看像这种情感爱恨情仇 对吧
[01269.72-01273.72] 那像这种情感,它其实是你自发产生的这种
[01273.72-01277.20] 你接触的外在东西之后你就直接产生了这样的一种情感
[01277.20-01279.52] 喜欢或不喜欢讨厌或者是恨
[01279.52-01282.24] 那这种是没有经过加工整理和抽象的
[01282.24-01283.80] 那它就属于比较什么
[01283.80-01287.28] 比较我们所说的第一点的收回是行事
[01287.28-01289.36] 那还有一种是比较高层c点的
[01289.36-01290.72] 我们所说的社会议事
[01290.72-01292.88] 那他就属于社会议事行事
[01292.88-01295.28] 你比如说我们所说的学科
[01295.28-01297.12] 我们所说的议数等等
[01297.12-01299.96] 那他就是经过加工总理抽象之后的
[01299.96-01302.04] 那他就属于社会议事行事
[01302.04-01304.52] 所以在这里面同学不需要去花和那么信
[01304.52-01306.16] 说老师我说一定要知道
[01306.16-01307.72] 哪些是社会心理
[01307.72-01309.76] 哪些是我们所说的社会议事
[01309.76-01310.60] 其实不需要
